period_end,period_key,frequency,period_start,period_n_obs,period_is_partial,dce_corn_close,target_date_fwd,target_price_fwd,target_return_fwd,target_direction_fwd,factor_price_momentum,factor_basis_tightness,factor_processing_demand,factor_market_activity,factor_external_support,factor_weather_anomaly,factor_supply_pressure,factor_risk_volatility,factor_price_momentum_coverage,factor_basis_tightness_coverage,factor_processing_demand_coverage,factor_market_activity_coverage,factor_external_support_coverage,factor_weather_anomaly_coverage,factor_supply_pressure_coverage,factor_risk_volatility_coverage,factor_harvest_pressure,seasonal_sin,seasonal_cos
2016-06-30,2016-06,monthly,2016-06-29,2,1,1581,2016-07-29,1446,-0.0853889943,0,0,0,0,0,0,0,0,0,0.3333333333,0.5,0.6666666667,0.5,0.25,1,0,0,0,0,-1
2016-07-29,2016-07,monthly,2016-07-01,21,0,1446,2016-08-31,1450,0.0027662517,1,0,0,0,0,0,0,0,0,0.5,1,1,1,0.75,1,0,0.3333333333,0,-0.5,-0.8660254038
2016-08-31,2016-08,monthly,2016-08-01,23,0,1450,2016-09-30,1394,-0.0386206897,0,0,0,0,0,0,0,0,0,0.5,1,1,1,0.75,1,0,1,0,-0.8660254038,-0.5
2016-09-30,2016-09,monthly,2016-09-01,20,0,1394,2016-10-31,1517,0.0882352941,1,0,0,0,0,0,0,0,0,0.6666666667,1,1,1,0.75,1,0,1,1,-1,0
2016-10-31,2016-10,monthly,2016-10-10,16,0,1517,2016-11-30,1544,0.0177982861,1,0,0,0,0,0,0,0,0,0.6666666667,1,1,1,0.75,1,0,1,1,-0.8660254038,0.5
2016-11-30,2016-11,monthly,2016-11-01,22,0,1544,2016-12-30,1519,-0.0161917098,0,0,0,0,0,0,0,0,0,0.6666666667,1,1,1,0.75,1,0,1,1,-0.5,0.8660254038
2016-12-30,2016-12,monthly,2016-12-01,22,0,1519,2017-01-26,1560,0.0269914417,1,0.1887556993,-0.4367697506,-0.65769546,0.4457246488,-0.2705530872,1.4774125224,0,0,0.8333333333,1,1,1,1,1,0,1,0,0,1
2017-01-26,2017-01,monthly,2017-01-02,19,0,1560,2017-02-28,1603,0.0275641026,1,0.4539995886,-0.8144241321,-1.0392528254,0.9076696461,0.3275964814,1.1938418228,0,-0.1309363873,0.8333333333,1,1,1,1,1,0,1,0,0.5,0.8660254038
2017-02-28,2017-02,monthly,2017-02-03,18,0,1603,2017-03-31,1672,0.043044292,1,0.5531014057,-0.9072089461,0.4604772665,0.5930894314,0.3426914708,0.8028743226,0,-1.061338066,0.8333333333,1,1,1,1,1,0,1,0,0.8660254038,0.5
2017-03-31,2017-03,monthly,2017-03-01,23,0,1672,2017-04-28,1622,-0.0299043062,0,0.8864050234,-0.6993744501,0.9218636073,0.0821960921,-0.5067800632,0.5062538607,0,-1.2597182675,0.8333333333,1,1,1,1,1,0,1,0,1,0
2017-04-28,2017-04,monthly,2017-04-05,18,0,1622,2017-05-31,1608,-0.0086313194,0,-0.1697466013,0.217909861,-0.2609435325,-0.8651393815,0.0162748672,0.4102532452,0,-0.7745947779,0.8333333333,1,1,1,1,1,0,1,0,0.8660254038,-0.5
