period_end,period_key,frequency,period_start,period_n_obs,period_is_partial,dce_corn_close,target_date_fwd,target_price_fwd,target_return_fwd,target_direction_fwd,factor_price_momentum,factor_basis_tightness,factor_processing_demand,factor_market_activity,factor_external_support,factor_weather_anomaly,factor_supply_pressure,factor_risk_volatility,factor_price_momentum_coverage,factor_basis_tightness_coverage,factor_processing_demand_coverage,factor_market_activity_coverage,factor_external_support_coverage,factor_weather_anomaly_coverage,factor_supply_pressure_coverage,factor_risk_volatility_coverage,factor_harvest_pressure,seasonal_sin,seasonal_cos
2016-07-01,2016-W26,weekly,2016-06-29,3,1,1550,2016-07-08,1523,-0.0174193548,0,0,0,0,0,0,0,0,0,0.3333333333,0.5,0.6666666667,0.5,0.25,1,0,0,0,0,-1
2016-07-08,2016-W27,weekly,2016-07-04,5,0,1523,2016-07-15,1514,-0.0059093894,0,0,0,0,0,0,0,0,0,0.5,1,1,1,0.75,1,0,0.3333333333,0,-0.1205366803,-0.9927088741
2016-07-15,2016-W28,weekly,2016-07-11,5,0,1514,2016-07-22,1477,-0.0244385733,0,0,0,0,0,0,0,0,0,0.5,1,1,1,0.75,1,0,1,0,-0.2393156643,-0.9709418174
2016-07-22,2016-W29,weekly,2016-07-18,5,0,1477,2016-07-29,1446,-0.0209884902,0,0,0,0,0,0,0,0,0,0.5,1,1,1,0.75,1,0,1,0,-0.354604887,-0.9350162427
2016-07-29,2016-W30,weekly,2016-07-25,5,0,1446,2016-08-05,1472,0.0179806362,1,0,0,0,0,0,0,0,0,0.6666666667,1,1,1,0.75,1,0,1,0,-0.464723172,-0.8854560257
2016-08-05,2016-W31,weekly,2016-08-01,5,0,1472,2016-08-12,1456,-0.0108695652,0,0,0,0,0,0,0,0,0,0.6666666667,1,1,1,0.75,1,0,1,0,-0.5680647467,-0.8229838659
2016-08-12,2016-W32,weekly,2016-08-08,5,0,1456,2016-08-19,1467,0.0075549451,1,0,0,0,0,0,0,0,0,0.6666666667,1,1,1,0.75,1,0,1,0,-0.6631226582,-0.7485107482
2016-08-19,2016-W33,weekly,2016-08-15,5,0,1467,2016-08-26,1448,-0.0129516019,0,0,0,0,0,0,0,0,0,0.6666666667,1,1,1,0.75,1,0,1,0,-0.7485107482,-0.6631226582
2016-08-26,2016-W34,weekly,2016-08-22,5,0,1448,2016-09-02,1455,0.0048342541,1,0,0,0,0,0,0,0,0,0.6666666667,1,1,1,0.75,1,0,1,0,-0.8229838659,-0.5680647467
2016-09-02,2016-W35,weekly,2016-08-29,5,0,1455,2016-09-09,1436,-0.0130584192,0,0,0,0,0,0,0,0,0,0.6666666667,1,1,1,0.75,1,0,1,0.4,-0.8854560257,-0.464723172
2016-09-09,2016-W36,weekly,2016-09-05,5,0,1436,2016-09-14,1446,0.0069637883,1,0,0,0,0,0,0,0,0,0.6666666667,1,1,1,0.75,1,0,1,1,-0.9350162427,-0.354604887
2016-09-14,2016-W37,weekly,2016-09-12,3,0,1446,2016-09-23,1419,-0.0186721992,0,0,0,0,0,0,0,0,0,0.6666666667,1,1,1,0.75,1,0,1,1,-0.9709418174,-0.2393156643
2016-09-23,2016-W38,weekly,2016-09-19,5,0,1419,2016-09-30,1394,-0.0176180409,0,-0.3453152074,0.1521833346,-1.2442436354,0.5605474013,-0.2099622625,1.4455869692,0,0,0.8333333333,1,1,1,1,1,0,1,1,-0.9927088741,-0.1205366803
2016-09-30,2016-W39,weekly,2016-09-26,5,0,1394,2016-10-14,1444,0.0358680057,1,-0.814795648,-0.0992712003,-0.4128084031,-0.4998490152,-0.1856600091,1.7935687585,0,0.2147221201,0.8333333333,1,1,1,1,1,0,1,1,-1,0
2016-10-14,2016-W41,weekly,2016-10-10,5,0,1444,2016-10-21,1479,0.0242382271,1,1.4515119004,-2.1506401992,0.4396836495,-0.6561749354,0.55059218,2.2420038031,0,2.8343201215,0.8333333333,1,1,1,1,1,0,1,1,-0.9709418174,0.2393156643
2016-10-21,2016-W42,weekly,2016-10-17,5,0,1479,2016-10-28,1521,0.0283975659,1,1.74674095,-0.5512827328,0.2749815469,-0.1286218907,-0.4564276033,1.7584003221,0,1.8155722908,0.8333333333,1,1,1,1,1,0,1,1,-0.9350162427,0.354604887
2016-10-28,2016-W43,weekly,2016-10-24,5,0,1521,2016-11-04,1511,-0.006574622,0,2.5605989029,-2.3183984417,-2.2592235648,-0.201194424,-0.4653477455,1.7106382037,0,1.4901646244,0.8333333333,1,1,1,1,1,0,1,1,-0.8854560257,0.464723172
2016-11-04,2016-W44,weekly,2016-10-31,5,0,1511,2016-11-11,1642,0.0866975513,1,1.1662816466,-0.7353890193,-0.657048766,-1.2669500351,-0.2581272405,1.7957467004,0,0.2110596869,0.8333333333,1,1,1,1,1,0,1,1,-0.8229838659,0.5680647467
2016-11-11,2016-W45,weekly,2016-11-07,5,0,1642,2016-11-18,1538,-0.0633373934,0,3.4248012994,-1.677748726,-1.0186565935,-1.7969731285,-0.5447373719,1.35734488,0,5.338191212,0.8333333333,1,1,1,1,1,0,1,1,-0.7485107482,0.6631226582
2016-11-18,2016-W46,weekly,2016-11-14,5,0,1538,2016-11-25,1520,-0.0117035111,0,-0.2128142206,0.3376985022,0.721459707,-0.1847673562,0.6629777937,1.4206776796,0,3.9878794067,0.8333333333,1,1,1,1,1,0,1,1,-0.6631226582,0.7485107482
2016-11-25,2016-W47,weekly,2016-11-21,5,0,1520,2016-12-02,1565,0.0296052632,1,-0.1588499889,0.0380875946,0.3934362531,0.7505009296,-0.2893776177,1.6391865121,0,1.8342691963,0.8333333333,1,1,1,1,1,0,1,1,-0.5680647467,0.8229838659
2016-12-02,2016-W48,weekly,2016-11-28,5,0,1565,2016-12-09,1543,-0.014057508,0,0.5663384656,-1.0566225499,0.4722121893,0.7743411085,-0.8088907629,1.0861539432,0,1.7704919806,0.8333333333,1,1,1,1,1,0,1,0.6,-0.464723172,0.8854560257
2016-12-09,2016-W49,weekly,2016-12-05,5,0,1543,2016-12-16,1554,0.0071289695,1,-0.229120931,-0.2086500669,-0.1426651824,0.1740264319,0.1152748804,1.3137783269,0,0.8002714626,0.8333333333,1,1,1,1,1,0,1,0,-0.354604887,0.9350162427
2016-12-16,2016-W50,weekly,2016-12-12,5,0,1554,2016-12-23,1509,-0.028957529,0,0.2544594244,-0.9406368664,-0.1940111999,0.6287991413,-0.406730494,1.3149226168,0,0.2757793288,0.8333333333,1,1,1,1,1,0,1,0,-0.2393156643,0.9709418174
2016-12-23,2016-W51,weekly,2016-12-19,5,0,1509,2016-12-30,1519,0.0066269052,1,-0.4024304419,-0.2174853278,-0.191924049,0.3692695873,-1.0170448635,0.9864984613,0,0.7303677166,0.8333333333,1,1,1,1,1,0,1,0,-0.1205366803,0.9927088741
2016-12-30,2016-W52,weekly,2016-12-26,5,0,1519,2017-01-06,1515,-0.0026333114,0,-0.0265548059,-0.4228162676,-0.9562356058,0.5105361183,0.2869605163,1.2453964564,0,0.1109339903,0.8333333333,1,1,1,1,1,0,1,0,0,1
2017-01-06,2017-W01,weekly,2017-01-02,5,0,1515,2017-01-13,1513,-0.001320132,0,-0.1622593237,-0.5650680624,-0.8047712694,0.6080814965,0.2543289496,1.0407456875,0,-0.0217617276,1,1,1,1,1,1,0,1,0,0.1205366803,0.9927088741
2017-01-13,2017-W02,weekly,2017-01-09,5,0,1513,2017-01-20,1564,0.0337078652,1,-0.2221316922,-0.7108419531,-0.3121691796,0.806676582,-0.1184979882,1.1320628717,0,-0.0975662118,1,1,1,1,1,1,0,1,0,0.2393156643,0.9709418174
2017-01-20,2017-W03,weekly,2017-01-16,5,0,1564,2017-01-26,1560,-0.0025575448,0,0.5843580058,-1.0012737115,-1.109015963,1.439990283,0.089542644,0.9789132843,0,0.5172115525,1,1,1,1,1,1,0,1,0,0.354604887,0.9350162427
2017-01-26,2017-W04,weekly,2017-01-23,4,0,1560,2017-02-03,1573,0.0083333333,1,0.218330274,-0.3935413996,-1.0464548954,-0.3830159489,-0.2755425058,0.8640684944,0,-0.0454603047,1,1,1,1,1,1,0,1,0,0.464723172,0.8854560257
2017-02-03,2017-W05,weekly,2017-02-03,1,0,1573,2017-02-10,1605,0.0203432931,1,0.1550727772,-0.6382308267,-0.6892307657,-1.3803465873,0.1385605829,0.7518322292,0,-0.2813569862,1,1,1,1,1,1,0,1,0,0.5680647467,0.8229838659
2017-02-10,2017-W06,weekly,2017-02-06,5,0,1605,2017-02-17,1566,-0.0242990654,0,0.698785166,-1.0091641999,-1.1365629998,9.5039634864,0.6725007565,0.823104083,0,-0.3035118438,1,1,1,1,1,1,0,1,0,0.6631226582,0.7485107482
2017-02-17,2017-W07,weekly,2017-02-13,5,0,1566,2017-02-24,1591,0.0159642401,1,-0.210875128,-0.231842799,-0.9831466273,0.5420901969,0.3754540173,0.6693271464,0,-0.1136113046,1,1,1,1,1,1,0,1,0,0.7485107482,0.6631226582
2017-02-24,2017-W08,weekly,2017-02-20,5,0,1591,2017-03-03,1626,0.0219987429,1,0.244102218,-0.9566093577,0.4033597198,0.1956374086,-0.0762690969,0.5520430471,0,-0.2827732005,1,1,1,1,1,1,0,1,0,0.8229838659,0.5680647467
2017-03-03,2017-W09,weekly,2017-02-27,5,0,1626,2017-03-10,1665,0.0239852399,1,0.654106177,-1.0703888041,-0.3322251649,0.2653321692,0.359027711,0.548552076,0,-0.1172516545,1,1,1,1,1,1,0,1,0,0.8854560257,0.464723172
2017-03-10,2017-W10,weekly,2017-03-06,5,0,1665,2017-03-17,1659,-0.0036036036,0,0.9411179537,-1.2881429071,-2.0771990356,-0.0412827181,-0.7165930449,0.5237138645,0,-0.0340518631,1,1,1,1,1,1,0,1,0,0.9350162427,0.354604887
2017-03-17,2017-W11,weekly,2017-03-13,5,0,1659,2017-03-24,1705,0.0277275467,1,0.6845860741,-0.6825011596,-1.3308696264,0.6323643932,0.0507078632,0.3333653967,0,-0.7611141709,1,1,1,1,1,1,0,1,0,0.9709418174,0.2393156643
2017-03-24,2017-W12,weekly,2017-03-20,5,0,1705,2017-03-31,1672,-0.0193548387,0,1.1620026266,-1.2280018054,2.6237284992,0.608901145,-0.743070694,0.3245128693,0,-0.1991109866,1,1,1,1,1,1,0,1,0,0.9927088741,0.1205366803
2017-03-31,2017-W13,weekly,2017-03-27,5,0,1672,2017-04-07,1669,-0.0017942584,0,0.4664532418,0.0958594883,0.5264299983,0.1555385945,-0.0721006996,0.3026117175,0,-0.1156449597,1,1,1,1,1,1,0,1,0,1,0
2017-04-07,2017-W14,weekly,2017-04-05,3,0,1669,2017-04-14,1639,-0.0179748352,0,0.4205888383,-0.4275961757,0.2146343406,-0.2724767051,-0.5391491947,0.3684776027,0,-0.5361687583,1,1,1,1,1,1,0,1,0,0.9927088741,-0.1205366803
2017-04-14,2017-W15,weekly,2017-04-10,5,0,1639,2017-04-21,1649,0.0061012813,1,-0.3399591917,-0.0109209899,0.7790303306,0.1273498707,-0.1310013627,0.4213725027,0,-0.1577365234,1,1,1,1,1,1,0,1,0,0.9709418174,-0.2393156643
2017-04-21,2017-W16,weekly,2017-04-17,5,0,1649,2017-04-28,1622,-0.0163735597,0,-0.1462668822,-0.4403877255,0.763014123,-0.5038063177,-0.8815826043,0.3070255677,0,-0.6300409829,1,1,1,1,1,1,0,1,0,0.9350162427,-0.354604887
2017-04-28,2017-W17,weekly,2017-04-24,5,0,1622,2017-05-05,1640,0.0110974106,1,-0.6615886041,0.0579142912,-0.3364403711,-0.4065447053,-0.0270886315,0.4191849757,0,-0.3965665438,1,1,1,1,1,1,0,1,0,0.8854560257,-0.464723172
2017-05-05,2017-W18,weekly,2017-05-02,4,0,1640,2017-05-12,1644,0.0024390244,1,-0.2103409568,-0.564529374,0.0940551051,-0.3650597555,0.0735340409,0.4865120603,0,-0.4366441483,1,1,1,1,1,1,0,1,0,0.8229838659,-0.5680647467
2017-05-12,2017-W19,weekly,2017-05-08,5,0,1644,2017-05-19,1643,-0.0006082725,0,-0.3162082669,-0.3327755931,-0.1157767133,-0.3031037464,-0.7153014082,0.612873881,0,-0.7536856898,1,1,1,1,1,1,0,1,0,0.7485107482,-0.6631226582
2017-05-19,2017-W20,weekly,2017-05-15,5,0,1643,2017-05-26,1619,-0.0146074254,0,-0.2350181746,0.1732505055,-0.7226816535,-0.4683956392,-0.2800532068,0.809244602,0,-0.8042904349,1,1,1,1,1,1,0,1,0,0.6631226582,-0.7485107482
2017-05-26,2017-W21,weekly,2017-05-22,5,0,1619,2017-06-02,1636,0.0105003088,1,-0.6550138474,0.082396201,0.0696897641,-0.3679905754,-0.3964019794,0.8103242348,0,-0.5320920047,1,1,1,1,1,1,0,1,0,0.5680647467,-0.8229838659
2017-06-02,2017-W22,weekly,2017-05-31,3,0,1636,2017-06-09,1672,0.02200489,1,-0.4033318662,-0.4915856312,0.3390712585,-0.6139364506,-0.6117608803,0.5350379319,0,-0.667637963,1,1,1,1,1,1,0,1,0,0.464723172,-0.8854560257
2017-06-09,2017-W23,weekly,2017-06-05,5,0,1672,2017-06-16,1674,0.0011961722,1,0.233388144,-1.1271624238,-0.0967478992,-0.1943275167,0.6598821562,0.5850302578,0,-0.2280513412,1,1,1,1,1,1,0,1,0,0.354604887,-0.9350162427
2017-06-16,2017-W24,weekly,2017-06-12,5,0,1674,2017-06-23,1676,0.0011947431,1,-0.0345942679,-0.1672415146,-0.176730135,-0.39677471,1.5676109788,0.8278445484,0,-0.7654994866,1,1,1,1,1,1,0,1,0,0.2393156643,-0.9709418174
2017-06-23,2017-W25,weekly,2017-06-19,5,0,1676,2017-06-30,1687,0.0065632458,1,0.1401510076,-0.1197971269,0.3443713261,-0.7180655251,-0.9790757725,1.0348835706,0,-0.9399755046,1,1,1,1,1,1,0,1,0,0.1205366803,-0.9927088741
2017-06-30,2017-W26,weekly,2017-06-26,5,0,1687,2017-07-07,1676,-0.0065204505,0,0.2092185339,0.239912711,0.0663497522,-0.8629499401,2.3794896127,0.7115923921,0,-0.8031616696,1,1,1,1,1,1,0,1,0,0,-1
2017-07-07,2017-W27,weekly,2017-07-03,5,0,1676,2017-07-14,1666,-0.0059665871,0,-0.1007258847,0.2875254818,0.3611393624,-0.4915475098,1.8408976906,0.9266100903,0,-0.9505188511,1,1,1,1,1,1,0,1,0,-0.1205366803,-0.9927088741
2017-07-14,2017-W28,weekly,2017-07-10,5,0,1666,2017-07-21,1675,0.0054021609,1,-0.2680689115,0.0804105431,0.0825922576,-0.7643413673,0.1788614334,1.3367335277,0,-0.9167997754,1,1,1,1,1,1,0,1,0,-0.2393156643,-0.9709418174
2017-07-21,2017-W29,weekly,2017-07-17,5,0,1675,2017-07-28,1661,-0.008358209,0,-0.1096157941,-0.4498945008,-0.4012554876,-0.8210086948,0.4418916748,1.4257529837,0,-0.9406784671,1,1,1,1,1,1,0,1,0,-0.354604887,-0.9350162427
2017-07-28,2017-W30,weekly,2017-07-24,5,0,1661,2017-08-04,1676,0.0090307044,1,-0.4635733747,-0.216789306,-0.5746891285,-1.6702700988,-0.2468377013,0.5203701638,0,-0.8757397045,1,1,1,1,1,1,0,1,0,-0.464723172,-0.8854560257
2017-08-04,2017-W31,weekly,2017-07-31,5,0,1676,2017-08-11,1727,0.0304295943,1,-0.1009452859,-0.4944317559,-0.6508406675,-1.1809398495,-0.7623084266,4.2898579846,0,-0.7777383696,1,1,1,1,1,1,0,1,0,-0.5680647467,-0.8229838659
2017-08-11,2017-W32,weekly,2017-08-07,5,0,1727,2017-08-18,1728,0.0005790388,1,0.7349786317,-0.9571254661,-0.5431268689,-0.0358595828,-0.8196957946,1.4729994641,0,0.014567391,1,1,1,1,1,1,0,1,0,-0.6631226582,-0.7485107482
2017-08-18,2017-W33,weekly,2017-08-14,5,0,1728,2017-08-25,1719,-0.0052083333,0,0.5174698801,-0.5565719418,-0.3450211047,-0.1941306049,-1.2931163288,0.6753608147,0,-0.6882065763,1,1,1,1,1,1,0,1,0,-0.7485107482,-0.6631226582
2017-08-25,2017-W34,weekly,2017-08-21,5,0,1719,2017-09-01,1690,-0.0168702734,0,0.1530111233,-0.442741553,-0.1063266744,-0.6666957487,-1.2024876048,0.7186667147,0,-0.5901525873,1,1,1,1,1,1,0,1,0,-0.8229838659,-0.5680647467
