"period_end","period_key","frequency","instrument","factor_id","value","coverage","asof_date","quality_flag","source_version"
"2016-06-30","2016-06","monthly","corn","basis_tightness","0","0.5","2016-06-30","partial_period","corn_factors_monthly"
"2016-07-29","2016-07","monthly","corn","basis_tightness","0","1","2016-07-29","ok","corn_factors_monthly"
"2016-08-31","2016-08","monthly","corn","basis_tightness","0","1","2016-08-31","ok","corn_factors_monthly"
"2016-09-30","2016-09","monthly","corn","basis_tightness","0","1","2016-09-30","ok","corn_factors_monthly"
"2016-10-31","2016-10","monthly","corn","basis_tightness","0","1","2016-10-31","ok","corn_factors_monthly"
"2016-11-30","2016-11","monthly","corn","basis_tightness","0","1","2016-11-30","ok","corn_factors_monthly"
"2016-12-30","2016-12","monthly","corn","basis_tightness","-0.4367697506","1","2016-12-30","ok","corn_factors_monthly"
"2017-01-26","2017-01","monthly","corn","basis_tightness","-0.8144241321","1","2017-01-26","ok","corn_factors_monthly"
"2017-02-28","2017-02","monthly","corn","basis_tightness","-0.9072089461","1","2017-02-28","ok","corn_factors_monthly"
"2017-03-31","2017-03","monthly","corn","basis_tightness","-0.6993744501","1","2017-03-31","ok","corn_factors_monthly"
"2017-04-28","2017-04","monthly","corn","basis_tightness","0.217909861","1","2017-04-28","ok","corn_factors_monthly"
"2017-05-31","2017-05","monthly","corn","basis_tightness","0.1421535015","1","2017-05-31","ok","corn_factors_monthly"
"2017-06-30","2017-06","monthly","corn","basis_tightness","-0.3098324133","1","2017-06-30","ok","corn_factors_monthly"
"2017-07-31","2017-07","monthly","corn","basis_tightness","-0.0245711547","1","2017-07-31","ok","corn_factors_monthly"
"2017-08-31","2017-08","monthly","corn","basis_tightness","-0.518178901","1","2017-08-31","ok","corn_factors_monthly"
"2017-09-29","2017-09","monthly","corn","basis_tightness","-0.2575406612","1","2017-09-29","ok","corn_factors_monthly"
"2017-10-31","2017-10","monthly","corn","basis_tightness","-0.0207245147","1","2017-10-31","ok","corn_factors_monthly"
"2017-11-30","2017-11","monthly","corn","basis_tightness","-0.8987061657","1","2017-11-30","ok","corn_factors_monthly"
"2017-12-29","2017-12","monthly","corn","basis_tightness","-0.6379853154","1","2017-12-29","ok","corn_factors_monthly"
"2018-01-31","2018-01","monthly","corn","basis_tightness","0.1464771226","1","2018-01-31","ok","corn_factors_monthly"
"2018-02-28","2018-02","monthly","corn","basis_tightness","-0.6239688594","1","2018-02-28","ok","corn_factors_monthly"
"2018-03-30","2018-03","monthly","corn","basis_tightness","1.0240836966","1","2018-03-30","ok","corn_factors_monthly"
"2018-04-27","2018-04","monthly","corn","basis_tightness","0.1783005324","1","2018-04-27","ok","corn_factors_monthly"
"2018-05-31","2018-05","monthly","corn","basis_tightness","-0.5371296641","1","2018-05-31","ok","corn_factors_monthly"
"2018-06-29","2018-06","monthly","corn","basis_tightness","-0.2879223211","1","2018-06-29","ok","corn_factors_monthly"
"2018-07-31","2018-07","monthly","corn","basis_tightness","-0.6432122077","1","2018-07-31","ok","corn_factors_monthly"
"2018-08-31","2018-08","monthly","corn","basis_tightness","-0.7976228959","1","2018-08-31","ok","corn_factors_monthly"
"2018-09-28","2018-09","monthly","corn","basis_tightness","-0.0721793431","1","2018-09-28","ok","corn_factors_monthly"
"2018-10-31","2018-10","monthly","corn","basis_tightness","-0.5145592516","1","2018-10-31","ok","corn_factors_monthly"
"2018-11-30","2018-11","monthly","corn","basis_tightness","-0.5954230404","1","2018-11-30","ok","corn_factors_monthly"
"2018-12-28","2018-12","monthly","corn","basis_tightness","0.393280322","1","2018-12-28","ok","corn_factors_monthly"
"2019-01-31","2019-01","monthly","corn","basis_tightness","-0.6041076777","1","2019-01-31","ok","corn_factors_monthly"
"2019-02-28","2019-02","monthly","corn","basis_tightness","0.3240998996","1","2019-02-28","ok","corn_factors_monthly"
"2019-03-29","2019-03","monthly","corn","basis_tightness","-0.8493938936","1","2019-03-29","ok","corn_factors_monthly"
"2019-04-30","2019-04","monthly","corn","basis_tightness","-0.7369346685","1","2019-04-30","ok","corn_factors_monthly"
"2019-05-31","2019-05","monthly","corn","basis_tightness","-0.3352536506","1","2019-05-31","ok","corn_factors_monthly"
"2019-06-28","2019-06","monthly","corn","basis_tightness","-0.1153452005","1","2019-06-28","ok","corn_factors_monthly"
"2019-07-31","2019-07","monthly","corn","basis_tightness","-0.4620147097","1","2019-07-31","ok","corn_factors_monthly"
"2019-08-30","2019-08","monthly","corn","basis_tightness","0.7996803754","1","2019-08-30","ok","corn_factors_monthly"
"2019-09-30","2019-09","monthly","corn","basis_tightness","0.3169236818","1","2019-09-30","ok","corn_factors_monthly"
"2019-10-31","2019-10","monthly","corn","basis_tightness","-0.3833976358","1","2019-10-31","ok","corn_factors_monthly"
"2019-11-29","2019-11","monthly","corn","basis_tightness","-0.0734323601","1","2019-11-29","ok","corn_factors_monthly"
"2019-12-31","2019-12","monthly","corn","basis_tightness","-0.2415943699","1","2019-12-31","ok","corn_factors_monthly"
"2020-01-23","2020-01","monthly","corn","basis_tightness","-0.5277210257","1","2020-01-23","ok","corn_factors_monthly"
"2020-02-28","2020-02","monthly","corn","basis_tightness","-0.1957708498","1","2020-02-28","ok","corn_factors_monthly"
"2020-03-31","2020-03","monthly","corn","basis_tightness","-1.5096899239","1","2020-03-31","ok","corn_factors_monthly"
"2020-04-30","2020-04","monthly","corn","basis_tightness","-0.2828394875","1","2020-04-30","ok","corn_factors_monthly"
"2020-05-29","2020-05","monthly","corn","basis_tightness","-0.0632718625","1","2020-05-29","ok","corn_factors_monthly"
"2020-06-30","2020-06","monthly","corn","basis_tightness","0.1956233768","1","2020-06-30","ok","corn_factors_monthly"
"2020-07-31","2020-07","monthly","corn","basis_tightness","-0.2892366103","1","2020-07-31","ok","corn_factors_monthly"
"2020-08-31","2020-08","monthly","corn","basis_tightness","0.3054290404","1","2020-08-31","ok","corn_factors_monthly"
"2020-09-30","2020-09","monthly","corn","basis_tightness","-1.680849004","1","2020-09-30","ok","corn_factors_monthly"
"2020-10-30","2020-10","monthly","corn","basis_tightness","-1.1379440134","1","2020-10-30","ok","corn_factors_monthly"
"2020-11-30","2020-11","monthly","corn","basis_tightness","-0.6963987723","1","2020-11-30","ok","corn_factors_monthly"
"2020-12-31","2020-12","monthly","corn","basis_tightness","-0.3829275159","1","2020-12-31","ok","corn_factors_monthly"
"2021-01-29","2021-01","monthly","corn","basis_tightness","2.0170932212","1","2021-01-29","ok","corn_factors_monthly"
"2021-02-26","2021-02","monthly","corn","basis_tightness","0.1998498081","1","2021-02-26","ok","corn_factors_monthly"
"2021-03-31","2021-03","monthly","corn","basis_tightness","1.1713906147","1","2021-03-31","ok","corn_factors_monthly"
"2021-04-30","2021-04","monthly","corn","basis_tightness","-0.4081170466","1","2021-04-30","ok","corn_factors_monthly"
"2021-05-31","2021-05","monthly","corn","basis_tightness","0.788619848","1","2021-05-31","ok","corn_factors_monthly"
"2021-06-30","2021-06","monthly","corn","basis_tightness","0.8244696205","1","2021-06-30","ok","corn_factors_monthly"
"2021-07-30","2021-07","monthly","corn","basis_tightness","0.4394524464","1","2021-07-30","ok","corn_factors_monthly"
"2021-08-31","2021-08","monthly","corn","basis_tightness","1.2602638422","1","2021-08-31","ok","corn_factors_monthly"
