period_end,period_key,frequency,instrument,factor_id,value,coverage,asof_date,quality_flag,source_version
2016-06-30,2016-06,monthly,corn,basis_rate_level_lag1,,0,,partial_period,corn_monthly_factors_v1
2016-06-30,2016-06,monthly,corn,basis_rate_zscore_12m_lag1,,0,,partial_period,corn_monthly_factors_v1
2016-07-29,2016-07,monthly,corn,basis_rate_level_lag1,,0,2016-06-30,insufficient_history,corn_monthly_factors_v1
2016-07-29,2016-07,monthly,corn,basis_rate_zscore_12m_lag1,,0,2016-06-30,insufficient_history,corn_monthly_factors_v1
2016-08-31,2016-08,monthly,corn,basis_rate_level_lag1,0.21413,1,2016-07-29,ok,corn_monthly_factors_v1
2016-08-31,2016-08,monthly,corn,basis_rate_zscore_12m_lag1,,0,2016-07-29,insufficient_history,corn_monthly_factors_v1
2016-09-30,2016-09,monthly,corn,basis_rate_level_lag1,0.214233,1,2016-08-31,ok,corn_monthly_factors_v1
2016-09-30,2016-09,monthly,corn,basis_rate_zscore_12m_lag1,,0,2016-08-31,insufficient_history,corn_monthly_factors_v1
2016-10-31,2016-10,monthly,corn,basis_rate_level_lag1,0.179358,1,2016-09-30,ok,corn_monthly_factors_v1
2016-10-31,2016-10,monthly,corn,basis_rate_zscore_12m_lag1,,0,2016-09-30,insufficient_history,corn_monthly_factors_v1
2016-11-30,2016-11,monthly,corn,basis_rate_level_lag1,0.099527,1,2016-10-31,ok,corn_monthly_factors_v1
2016-11-30,2016-11,monthly,corn,basis_rate_zscore_12m_lag1,,0,2016-10-31,insufficient_history,corn_monthly_factors_v1
2016-12-30,2016-12,monthly,corn,basis_rate_level_lag1,0.084945,1,2016-11-30,ok,corn_monthly_factors_v1
2016-12-30,2016-12,monthly,corn,basis_rate_zscore_12m_lag1,,0,2016-11-30,insufficient_history,corn_monthly_factors_v1
2017-01-26,2017-01,monthly,corn,basis_rate_level_lag1,0.047452,1,2016-12-30,ok,corn_monthly_factors_v1
2017-01-26,2017-01,monthly,corn,basis_rate_zscore_12m_lag1,,0,2016-12-30,insufficient_history,corn_monthly_factors_v1
2017-02-28,2017-02,monthly,corn,basis_rate_level_lag1,-0.00043,1,2017-01-26,ok,corn_monthly_factors_v1
2017-02-28,2017-02,monthly,corn,basis_rate_zscore_12m_lag1,,0,2017-01-26,insufficient_history,corn_monthly_factors_v1
2017-03-31,2017-03,monthly,corn,basis_rate_level_lag1,-0.049544,1,2017-02-28,ok,corn_monthly_factors_v1
2017-03-31,2017-03,monthly,corn,basis_rate_zscore_12m_lag1,,0,2017-02-28,insufficient_history,corn_monthly_factors_v1
2017-04-28,2017-04,monthly,corn,basis_rate_level_lag1,-0.056443,1,2017-03-31,ok,corn_monthly_factors_v1
2017-04-28,2017-04,monthly,corn,basis_rate_zscore_12m_lag1,,0,2017-03-31,insufficient_history,corn_monthly_factors_v1
2017-05-31,2017-05,monthly,corn,basis_rate_level_lag1,0,1,2017-04-28,ok,corn_monthly_factors_v1
2017-05-31,2017-05,monthly,corn,basis_rate_zscore_12m_lag1,,0,2017-04-28,insufficient_history,corn_monthly_factors_v1
2017-06-30,2017-06,monthly,corn,basis_rate_level_lag1,0.032491,1,2017-05-31,ok,corn_monthly_factors_v1
2017-06-30,2017-06,monthly,corn,basis_rate_zscore_12m_lag1,,0,2017-05-31,insufficient_history,corn_monthly_factors_v1
2017-07-31,2017-07,monthly,corn,basis_rate_level_lag1,-0.002973,1,2017-06-30,ok,corn_monthly_factors_v1
2017-07-31,2017-07,monthly,corn,basis_rate_zscore_12m_lag1,-0.692606757,1,2017-06-30,ok,corn_monthly_factors_v1
2017-08-31,2017-08,monthly,corn,basis_rate_level_lag1,0.020419,1,2017-07-31,ok,corn_monthly_factors_v1
2017-08-31,2017-08,monthly,corn,basis_rate_zscore_12m_lag1,-0.3215169631,1,2017-07-31,ok,corn_monthly_factors_v1
2017-09-29,2017-09,monthly,corn,basis_rate_level_lag1,-0.017577,1,2017-08-31,ok,corn_monthly_factors_v1
2017-09-29,2017-09,monthly,corn,basis_rate_zscore_12m_lag1,-0.6809674279,1,2017-08-31,ok,corn_monthly_factors_v1
2017-10-31,2017-10,monthly,corn,basis_rate_level_lag1,-0.016383,1,2017-09-29,ok,corn_monthly_factors_v1
2017-10-31,2017-10,monthly,corn,basis_rate_zscore_12m_lag1,-0.5862483223,1,2017-09-29,ok,corn_monthly_factors_v1
2017-11-30,2017-11,monthly,corn,basis_rate_level_lag1,0.002666,1,2017-10-31,ok,corn_monthly_factors_v1
2017-11-30,2017-11,monthly,corn,basis_rate_zscore_12m_lag1,-0.02676869952,1,2017-10-31,ok,corn_monthly_factors_v1
