period_end,period_key,frequency,instrument,factor_id,value,coverage,asof_date,quality_flag,source_version
2016-06-30,2016-06,monthly,corn,cbot_corn_momentum_1m,,0,2016-06-30,partial_period,corn_monthly_factors_v1
2016-06-30,2016-06,monthly,corn,domestic_minus_cbot_momentum_1m,,0,2016-06-30,partial_period,corn_monthly_factors_v1
2016-07-29,2016-07,monthly,corn,cbot_corn_momentum_1m,,0,2016-07-29,insufficient_history,corn_monthly_factors_v1
2016-07-29,2016-07,monthly,corn,domestic_minus_cbot_momentum_1m,,0,2016-07-29,insufficient_history,corn_monthly_factors_v1
2016-08-31,2016-08,monthly,corn,cbot_corn_momentum_1m,-0.05472263868,1,2016-08-31,ok,corn_monthly_factors_v1
2016-08-31,2016-08,monthly,corn,domestic_minus_cbot_momentum_1m,0.05748889041,1,2016-08-31,ok,corn_monthly_factors_v1
2016-09-30,2016-09,monthly,corn,cbot_corn_momentum_1m,0.06661379857,1,2016-09-30,ok,corn_monthly_factors_v1
2016-09-30,2016-09,monthly,corn,domestic_minus_cbot_momentum_1m,-0.1052344882,1,2016-09-30,ok,corn_monthly_factors_v1
2016-10-31,2016-10,monthly,corn,cbot_corn_momentum_1m,0.05427509294,1,2016-10-31,ok,corn_monthly_factors_v1
2016-10-31,2016-10,monthly,corn,domestic_minus_cbot_momentum_1m,0.03396020118,1,2016-10-31,ok,corn_monthly_factors_v1
2016-11-30,2016-11,monthly,corn,cbot_corn_momentum_1m,-0.01692524683,1,2016-11-30,ok,corn_monthly_factors_v1
2016-11-30,2016-11,monthly,corn,domestic_minus_cbot_momentum_1m,0.03472353292,1,2016-11-30,ok,corn_monthly_factors_v1
2016-12-30,2016-12,monthly,corn,cbot_corn_momentum_1m,0.007173601148,1,2016-12-30,ok,corn_monthly_factors_v1
2016-12-30,2016-12,monthly,corn,domestic_minus_cbot_momentum_1m,-0.02336531099,1,2016-12-30,ok,corn_monthly_factors_v1
2017-01-26,2017-01,monthly,corn,cbot_corn_momentum_1m,0.03632478632,1,2017-01-26,ok,corn_monthly_factors_v1
