period_end,period_key,frequency,instrument,factor_id,value,coverage,asof_date,quality_flag,source_version
2016-06-30,2016-06,monthly,corn,open_interest_log_change_1m,,0,2016-06-30,partial_period,corn_monthly_factors_v1
2016-06-30,2016-06,monthly,corn,volume_log_change_1m,,0,2016-06-30,partial_period,corn_monthly_factors_v1
2016-07-29,2016-07,monthly,corn,open_interest_log_change_1m,,0,2016-07-29,insufficient_history,corn_monthly_factors_v1
2016-07-29,2016-07,monthly,corn,volume_log_change_1m,,0,2016-07-29,insufficient_history,corn_monthly_factors_v1
2016-08-31,2016-08,monthly,corn,open_interest_log_change_1m,0.05673745333,1,2016-08-31,ok,corn_monthly_factors_v1
2016-08-31,2016-08,monthly,corn,volume_log_change_1m,-0.2158696019,1,2016-08-31,ok,corn_monthly_factors_v1
2016-09-30,2016-09,monthly,corn,open_interest_log_change_1m,-0.03439094218,1,2016-09-30,ok,corn_monthly_factors_v1
2016-09-30,2016-09,monthly,corn,volume_log_change_1m,0.07492610601,1,2016-09-30,ok,corn_monthly_factors_v1
2016-10-31,2016-10,monthly,corn,open_interest_log_change_1m,-0.146248008,1,2016-10-31,ok,corn_monthly_factors_v1
2016-10-31,2016-10,monthly,corn,volume_log_change_1m,-0.1213526723,1,2016-10-31,ok,corn_monthly_factors_v1
2016-11-30,2016-11,monthly,corn,open_interest_log_change_1m,0.04376271406,1,2016-11-30,ok,corn_monthly_factors_v1
2016-11-30,2016-11,monthly,corn,volume_log_change_1m,0.3779699454,1,2016-11-30,ok,corn_monthly_factors_v1
2016-12-30,2016-12,monthly,corn,open_interest_log_change_1m,0.1219543112,1,2016-12-30,ok,corn_monthly_factors_v1
2016-12-30,2016-12,monthly,corn,volume_log_change_1m,0.2040967894,1,2016-12-30,ok,corn_monthly_factors_v1
2017-01-26,2017-01,monthly,corn,open_interest_log_change_1m,0.1849215998,1,2017-01-26,ok,corn_monthly_factors_v1
2017-01-26,2017-01,monthly,corn,volume_log_change_1m,-0.1282902102,1,2017-01-26,ok,corn_monthly_factors_v1
2017-02-28,2017-02,monthly,corn,open_interest_log_change_1m,0.03098144814,1,2017-02-28,ok,corn_monthly_factors_v1
2017-02-28,2017-02,monthly,corn,volume_log_change_1m,0.3939892067,1,2017-02-28,ok,corn_monthly_factors_v1
2017-03-31,2017-03,monthly,corn,open_interest_log_change_1m,-0.09026174919,1,2017-03-31,ok,corn_monthly_factors_v1
2017-03-31,2017-03,monthly,corn,volume_log_change_1m,0.03373533286,1,2017-03-31,ok,corn_monthly_factors_v1
2017-04-28,2017-04,monthly,corn,open_interest_log_change_1m,-0.2961252916,1,2017-04-28,ok,corn_monthly_factors_v1
2017-04-28,2017-04,monthly,corn,volume_log_change_1m,-0.4390993072,1,2017-04-28,ok,corn_monthly_factors_v1
2017-05-31,2017-05,monthly,corn,open_interest_log_change_1m,-0.05561110004,1,2017-05-31,ok,corn_monthly_factors_v1
2017-05-31,2017-05,monthly,corn,volume_log_change_1m,-0.1793344725,1,2017-05-31,ok,corn_monthly_factors_v1
