period_end,period_key,frequency,instrument,factor_id,value,coverage,asof_date,quality_flag,source_version
2016-06-30,2016-06,monthly,corn,price_ma_gap_6m,,0,2016-06-30,partial_period,corn_monthly_factors_v1
2016-06-30,2016-06,monthly,corn,price_momentum_1m,,0,2016-06-30,partial_period,corn_monthly_factors_v1
2016-06-30,2016-06,monthly,corn,price_momentum_3m,,0,2016-06-30,partial_period,corn_monthly_factors_v1
2016-07-29,2016-07,monthly,corn,price_ma_gap_6m,,0,2016-07-29,insufficient_history,corn_monthly_factors_v1
2016-07-29,2016-07,monthly,corn,price_momentum_1m,,0,2016-07-29,insufficient_history,corn_monthly_factors_v1
2016-07-29,2016-07,monthly,corn,price_momentum_3m,,0,2016-07-29,insufficient_history,corn_monthly_factors_v1
2016-08-31,2016-08,monthly,corn,price_ma_gap_6m,,0,2016-08-31,insufficient_history,corn_monthly_factors_v1
2016-08-31,2016-08,monthly,corn,price_momentum_1m,0.002766251729,1,2016-08-31,ok,corn_monthly_factors_v1
2016-08-31,2016-08,monthly,corn,price_momentum_3m,,0,2016-08-31,insufficient_history,corn_monthly_factors_v1
2016-09-30,2016-09,monthly,corn,price_ma_gap_6m,,0,2016-09-30,insufficient_history,corn_monthly_factors_v1
2016-09-30,2016-09,monthly,corn,price_momentum_1m,-0.03862068966,1,2016-09-30,ok,corn_monthly_factors_v1
2016-09-30,2016-09,monthly,corn,price_momentum_3m,,0,2016-09-30,insufficient_history,corn_monthly_factors_v1
2016-10-31,2016-10,monthly,corn,price_ma_gap_6m,,0,2016-10-31,insufficient_history,corn_monthly_factors_v1
2016-10-31,2016-10,monthly,corn,price_momentum_1m,0.08823529412,1,2016-10-31,ok,corn_monthly_factors_v1
2016-10-31,2016-10,monthly,corn,price_momentum_3m,0.04910096819,1,2016-10-31,ok,corn_monthly_factors_v1
2016-11-30,2016-11,monthly,corn,price_ma_gap_6m,,0,2016-11-30,insufficient_history,corn_monthly_factors_v1
2016-11-30,2016-11,monthly,corn,price_momentum_1m,0.01779828609,1,2016-11-30,ok,corn_monthly_factors_v1
2016-11-30,2016-11,monthly,corn,price_momentum_3m,0.06482758621,1,2016-11-30,ok,corn_monthly_factors_v1
2016-12-30,2016-12,monthly,corn,price_ma_gap_6m,0.02750845547,1,2016-12-30,ok,corn_monthly_factors_v1
2016-12-30,2016-12,monthly,corn,price_momentum_1m,-0.01619170984,1,2016-12-30,ok,corn_monthly_factors_v1
2016-12-30,2016-12,monthly,corn,price_momentum_3m,0.08967001435,1,2016-12-30,ok,corn_monthly_factors_v1
2017-01-26,2017-01,monthly,corn,price_ma_gap_6m,0.04185218166,1,2017-01-26,ok,corn_monthly_factors_v1
2017-01-26,2017-01,monthly,corn,price_momentum_1m,0.02699144174,1,2017-01-26,ok,corn_monthly_factors_v1
2017-01-26,2017-01,monthly,corn,price_momentum_3m,0.02834541859,1,2017-01-26,ok,corn_monthly_factors_v1
2017-02-28,2017-02,monthly,corn,price_ma_gap_6m,0.05264309949,1,2017-02-28,ok,corn_monthly_factors_v1
2017-02-28,2017-02,monthly,corn,price_momentum_1m,0.02756410256,1,2017-02-28,ok,corn_monthly_factors_v1
2017-02-28,2017-02,monthly,corn,price_momentum_3m,0.03821243523,1,2017-02-28,ok,corn_monthly_factors_v1
2017-03-31,2017-03,monthly,corn,price_ma_gap_6m,0.06553372278,1,2017-03-31,ok,corn_monthly_factors_v1
2017-03-31,2017-03,monthly,corn,price_momentum_1m,0.04304429195,1,2017-03-31,ok,corn_monthly_factors_v1
2017-03-31,2017-03,monthly,corn,price_momentum_3m,0.1007241606,1,2017-03-31,ok,corn_monthly_factors_v1
2017-04-28,2017-04,monthly,corn,price_ma_gap_6m,0.02226890756,1,2017-04-28,ok,corn_monthly_factors_v1
2017-04-28,2017-04,monthly,corn,price_momentum_1m,-0.02990430622,1,2017-04-28,ok,corn_monthly_factors_v1
2017-04-28,2017-04,monthly,corn,price_momentum_3m,0.03974358974,1,2017-04-28,ok,corn_monthly_factors_v1
2017-05-31,2017-05,monthly,corn,price_ma_gap_6m,0.006677796327,1,2017-05-31,ok,corn_monthly_factors_v1
2017-05-31,2017-05,monthly,corn,price_momentum_1m,-0.008631319359,1,2017-05-31,ok,corn_monthly_factors_v1
2017-05-31,2017-05,monthly,corn,price_momentum_3m,0.003119151591,1,2017-05-31,ok,corn_monthly_factors_v1
2017-06-30,2017-06,monthly,corn,price_ma_gap_6m,0.03794093519,1,2017-06-30,ok,corn_monthly_factors_v1
2017-06-30,2017-06,monthly,corn,price_momentum_1m,0.04912935323,1,2017-06-30,ok,corn_monthly_factors_v1
2017-06-30,2017-06,monthly,corn,price_momentum_3m,0.008971291866,1,2017-06-30,ok,corn_monthly_factors_v1
2017-07-31,2017-07,monthly,corn,price_ma_gap_6m,0.003354681305,1,2017-07-31,ok,corn_monthly_factors_v1
2017-07-31,2017-07,monthly,corn,price_momentum_1m,-0.02489626556,1,2017-07-31,ok,corn_monthly_factors_v1
2017-07-31,2017-07,monthly,corn,price_momentum_3m,0.01418002466,1,2017-07-31,ok,corn_monthly_factors_v1
2017-08-31,2017-08,monthly,corn,price_ma_gap_6m,0.02026005443,1,2017-08-31,ok,corn_monthly_factors_v1
2017-08-31,2017-08,monthly,corn,price_momentum_1m,0.02553191489,1,2017-08-31,ok,corn_monthly_factors_v1
2017-08-31,2017-08,monthly,corn,price_momentum_3m,0.04912935323,1,2017-08-31,ok,corn_monthly_factors_v1
2017-09-29,2017-09,monthly,corn,price_ma_gap_6m,0.02172601086,1,2017-09-29,ok,corn_monthly_factors_v1
2017-09-29,2017-09,monthly,corn,price_momentum_1m,0.003556609366,1,2017-09-29,ok,corn_monthly_factors_v1
2017-09-29,2017-09,monthly,corn,price_momentum_3m,0.003556609366,1,2017-09-29,ok,corn_monthly_factors_v1
2017-10-31,2017-10,monthly,corn,price_ma_gap_6m,-0.003508068558,1,2017-10-31,ok,corn_monthly_factors_v1
2017-10-31,2017-10,monthly,corn,price_momentum_1m,-0.02126402835,1,2017-10-31,ok,corn_monthly_factors_v1
2017-10-31,2017-10,monthly,corn,price_momentum_3m,0.007294832827,1,2017-10-31,ok,corn_monthly_factors_v1
2017-11-30,2017-11,monthly,corn,price_ma_gap_6m,0.02042840143,1,2017-11-30,ok,corn_monthly_factors_v1
2017-11-30,2017-11,monthly,corn,price_momentum_1m,0.0350030175,1,2017-11-30,ok,corn_monthly_factors_v1
2017-11-30,2017-11,monthly,corn,price_momentum_3m,0.01659751037,1,2017-11-30,ok,corn_monthly_factors_v1
