period_end,period_key,frequency,instrument,factor_id,value,coverage,asof_date,quality_flag,source_version
2016-06-30,2016-06,monthly,corn,starch_corn_spread_ratio,,0,2016-06-30,partial_period,corn_monthly_factors_v1
2016-07-29,2016-07,monthly,corn,starch_corn_spread_ratio,0.2254495159,1,2016-07-29,ok,corn_monthly_factors_v1
2016-08-31,2016-08,monthly,corn,starch_corn_spread_ratio,0.1993103448,1,2016-08-31,ok,corn_monthly_factors_v1
2016-09-30,2016-09,monthly,corn,starch_corn_spread_ratio,0.1786226686,1,2016-09-30,ok,corn_monthly_factors_v1
2016-10-31,2016-10,monthly,corn,starch_corn_spread_ratio,0.1667765326,1,2016-10-31,ok,corn_monthly_factors_v1
2016-11-30,2016-11,monthly,corn,starch_corn_spread_ratio,0.2331606218,1,2016-11-30,ok,corn_monthly_factors_v1
2016-12-30,2016-12,monthly,corn,starch_corn_spread_ratio,0.1757735352,1,2016-12-30,ok,corn_monthly_factors_v1
2017-01-26,2017-01,monthly,corn,starch_corn_spread_ratio,0.1544871795,1,2017-01-26,ok,corn_monthly_factors_v1
2017-02-28,2017-02,monthly,corn,starch_corn_spread_ratio,0.1971303805,1,2017-02-28,ok,corn_monthly_factors_v1
2017-03-31,2017-03,monthly,corn,starch_corn_spread_ratio,0.2296650718,1,2017-03-31,ok,corn_monthly_factors_v1
2017-04-28,2017-04,monthly,corn,starch_corn_spread_ratio,0.1997533909,1,2017-04-28,ok,corn_monthly_factors_v1
2017-05-31,2017-05,monthly,corn,starch_corn_spread_ratio,0.1965174129,1,2017-05-31,ok,corn_monthly_factors_v1
2017-06-30,2017-06,monthly,corn,starch_corn_spread_ratio,0.2009484292,1,2017-06-30,ok,corn_monthly_factors_v1
2017-07-31,2017-07,monthly,corn,starch_corn_spread_ratio,0.1787234043,1,2017-07-31,ok,corn_monthly_factors_v1
2017-08-31,2017-08,monthly,corn,starch_corn_spread_ratio,0.1707172496,1,2017-08-31,ok,corn_monthly_factors_v1
2017-09-29,2017-09,monthly,corn,starch_corn_spread_ratio,0.1671588895,1,2017-09-29,ok,corn_monthly_factors_v1
2017-10-31,2017-10,monthly,corn,starch_corn_spread_ratio,0.1713940857,1,2017-10-31,ok,corn_monthly_factors_v1
2017-11-30,2017-11,monthly,corn,starch_corn_spread_ratio,0.1965014577,1,2017-11-30,ok,corn_monthly_factors_v1
2017-12-29,2017-12,monthly,corn,starch_corn_spread_ratio,0.1690528634,1,2017-12-29,ok,corn_monthly_factors_v1
2018-01-31,2018-01,monthly,corn,starch_corn_spread_ratio,0.1644295302,1,2018-01-31,ok,corn_monthly_factors_v1
2018-02-28,2018-02,monthly,corn,starch_corn_spread_ratio,0.1841530055,1,2018-02-28,ok,corn_monthly_factors_v1
2018-03-30,2018-03,monthly,corn,starch_corn_spread_ratio,0.2310779817,1,2018-03-30,ok,corn_monthly_factors_v1
2018-04-27,2018-04,monthly,corn,starch_corn_spread_ratio,0.2328134027,1,2018-04-27,ok,corn_monthly_factors_v1
2018-05-31,2018-05,monthly,corn,starch_corn_spread_ratio,0.2492965672,1,2018-05-31,ok,corn_monthly_factors_v1
2018-06-29,2018-06,monthly,corn,starch_corn_spread_ratio,0.2534974818,1,2018-06-29,ok,corn_monthly_factors_v1
2018-07-31,2018-07,monthly,corn,starch_corn_spread_ratio,0.2281553398,1,2018-07-31,ok,corn_monthly_factors_v1
2018-08-31,2018-08,monthly,corn,starch_corn_spread_ratio,0.2394957983,1,2018-08-31,ok,corn_monthly_factors_v1
2018-09-28,2018-09,monthly,corn,starch_corn_spread_ratio,0.2587980509,1,2018-09-28,ok,corn_monthly_factors_v1
2018-10-31,2018-10,monthly,corn,starch_corn_spread_ratio,0.2760444209,1,2018-10-31,ok,corn_monthly_factors_v1
2018-11-30,2018-11,monthly,corn,starch_corn_spread_ratio,0.2411674347,1,2018-11-30,ok,corn_monthly_factors_v1
2018-12-28,2018-12,monthly,corn,starch_corn_spread_ratio,0.2471910112,1,2018-12-28,ok,corn_monthly_factors_v1
2019-01-31,2019-01,monthly,corn,starch_corn_spread_ratio,0.2517444981,1,2019-01-31,ok,corn_monthly_factors_v1
2019-02-28,2019-02,monthly,corn,starch_corn_spread_ratio,0.2454695222,1,2019-02-28,ok,corn_monthly_factors_v1
2019-03-29,2019-03,monthly,corn,starch_corn_spread_ratio,0.2337310195,1,2019-03-29,ok,corn_monthly_factors_v1
2019-04-30,2019-04,monthly,corn,starch_corn_spread_ratio,0.240605428,1,2019-04-30,ok,corn_monthly_factors_v1
2019-05-31,2019-05,monthly,corn,starch_corn_spread_ratio,0.2283105023,1,2019-05-31,ok,corn_monthly_factors_v1
2019-06-28,2019-06,monthly,corn,starch_corn_spread_ratio,0.2243326489,1,2019-06-28,ok,corn_monthly_factors_v1
2019-07-31,2019-07,monthly,corn,starch_corn_spread_ratio,0.2264248705,1,2019-07-31,ok,corn_monthly_factors_v1
2019-08-30,2019-08,monthly,corn,starch_corn_spread_ratio,0.2175307322,1,2019-08-30,ok,corn_monthly_factors_v1
2019-09-30,2019-09,monthly,corn,starch_corn_spread_ratio,0.2057048821,1,2019-09-30,ok,corn_monthly_factors_v1
2019-10-31,2019-10,monthly,corn,starch_corn_spread_ratio,0.1873998932,1,2019-10-31,ok,corn_monthly_factors_v1
2019-11-29,2019-11,monthly,corn,starch_corn_spread_ratio,0.2021857923,1,2019-11-29,ok,corn_monthly_factors_v1
2019-12-31,2019-12,monthly,corn,starch_corn_spread_ratio,0.1910994764,1,2019-12-31,ok,corn_monthly_factors_v1
2020-01-23,2020-01,monthly,corn,starch_corn_spread_ratio,0.1809623431,1,2020-01-23,ok,corn_monthly_factors_v1
2020-02-28,2020-02,monthly,corn,starch_corn_spread_ratio,0.1597294485,1,2020-02-28,ok,corn_monthly_factors_v1
2020-03-31,2020-03,monthly,corn,starch_corn_spread_ratio,0.1088867188,1,2020-03-31,ok,corn_monthly_factors_v1
2020-04-30,2020-04,monthly,corn,starch_corn_spread_ratio,0.1615236258,1,2020-04-30,ok,corn_monthly_factors_v1
2020-05-29,2020-05,monthly,corn,starch_corn_spread_ratio,0.1645813282,1,2020-05-29,ok,corn_monthly_factors_v1
2020-06-30,2020-06,monthly,corn,starch_corn_spread_ratio,0.1598086124,1,2020-06-30,ok,corn_monthly_factors_v1
2020-07-31,2020-07,monthly,corn,starch_corn_spread_ratio,0.1588463194,1,2020-07-31,ok,corn_monthly_factors_v1
2020-08-31,2020-08,monthly,corn,starch_corn_spread_ratio,0.1366047745,1,2020-08-31,ok,corn_monthly_factors_v1
2020-09-30,2020-09,monthly,corn,starch_corn_spread_ratio,0.1179092382,1,2020-09-30,ok,corn_monthly_factors_v1
2020-10-30,2020-10,monthly,corn,starch_corn_spread_ratio,0.1217092713,1,2020-10-30,ok,corn_monthly_factors_v1
2020-11-30,2020-11,monthly,corn,starch_corn_spread_ratio,0.1391772395,1,2020-11-30,ok,corn_monthly_factors_v1
2020-12-31,2020-12,monthly,corn,starch_corn_spread_ratio,0.1269146608,1,2020-12-31,ok,corn_monthly_factors_v1
2021-01-29,2021-01,monthly,corn,starch_corn_spread_ratio,0.1440677966,1,2021-01-29,ok,corn_monthly_factors_v1
2021-02-26,2021-02,monthly,corn,starch_corn_spread_ratio,0.1854519265,1,2021-02-26,ok,corn_monthly_factors_v1
2021-03-31,2021-03,monthly,corn,starch_corn_spread_ratio,0.207145572,1,2021-03-31,ok,corn_monthly_factors_v1
2021-04-30,2021-04,monthly,corn,starch_corn_spread_ratio,0.1928283937,1,2021-04-30,ok,corn_monthly_factors_v1
2021-05-31,2021-05,monthly,corn,starch_corn_spread_ratio,0.1841710428,1,2021-05-31,ok,corn_monthly_factors_v1
2021-06-30,2021-06,monthly,corn,starch_corn_spread_ratio,0.153463452,1,2021-06-30,ok,corn_monthly_factors_v1
2021-07-30,2021-07,monthly,corn,starch_corn_spread_ratio,0.1329187719,1,2021-07-30,ok,corn_monthly_factors_v1
2021-08-31,2021-08,monthly,corn,starch_corn_spread_ratio,0.1403297145,1,2021-08-31,ok,corn_monthly_factors_v1
2021-09-30,2021-09,monthly,corn,starch_corn_spread_ratio,0.2051587302,1,2021-09-30,ok,corn_monthly_factors_v1
