period_end,period_key,frequency,instrument,factor_id,value,coverage,asof_date,quality_flag,source_version
2016-06-30,2016-06,monthly,corn,hot_dry_weather_stress,,0,2016-06-30,partial_period,corn_monthly_factors_v1
2016-06-30,2016-06,monthly,corn,precip_anomaly_same_month,,0,2016-06-30,partial_period,corn_monthly_factors_v1
2016-06-30,2016-06,monthly,corn,temperature_anomaly_same_month,,0,2016-06-30,partial_period,corn_monthly_factors_v1
2016-07-29,2016-07,monthly,corn,hot_dry_weather_stress,,0,2016-07-29,insufficient_history,corn_monthly_factors_v1
2016-07-29,2016-07,monthly,corn,precip_anomaly_same_month,,0,2016-07-29,insufficient_history,corn_monthly_factors_v1
2016-07-29,2016-07,monthly,corn,temperature_anomaly_same_month,,0,2016-07-29,insufficient_history,corn_monthly_factors_v1
2016-08-31,2016-08,monthly,corn,hot_dry_weather_stress,,0,2016-08-31,insufficient_history,corn_monthly_factors_v1
2016-08-31,2016-08,monthly,corn,precip_anomaly_same_month,,0,2016-08-31,insufficient_history,corn_monthly_factors_v1
2016-08-31,2016-08,monthly,corn,temperature_anomaly_same_month,,0,2016-08-31,insufficient_history,corn_monthly_factors_v1
2016-09-30,2016-09,monthly,corn,hot_dry_weather_stress,,0,2016-09-30,insufficient_history,corn_monthly_factors_v1
2016-09-30,2016-09,monthly,corn,precip_anomaly_same_month,,0,2016-09-30,insufficient_history,corn_monthly_factors_v1
2016-09-30,2016-09,monthly,corn,temperature_anomaly_same_month,,0,2016-09-30,insufficient_history,corn_monthly_factors_v1
2016-10-31,2016-10,monthly,corn,hot_dry_weather_stress,,0,2016-10-31,insufficient_history,corn_monthly_factors_v1
2016-10-31,2016-10,monthly,corn,precip_anomaly_same_month,,0,2016-10-31,insufficient_history,corn_monthly_factors_v1
2016-10-31,2016-10,monthly,corn,temperature_anomaly_same_month,,0,2016-10-31,insufficient_history,corn_monthly_factors_v1
2016-11-30,2016-11,monthly,corn,hot_dry_weather_stress,,0,2016-11-30,insufficient_history,corn_monthly_factors_v1
