period_end,period_key,frequency,instrument,factor_id,value,coverage,asof_date,quality_flag,source_version
2016-06-30,2016-06,monthly,corn,price_range_1m,,0,2016-06-30,partial_period,corn_monthly_factors_v1
2016-06-30,2016-06,monthly,corn,price_volatility_3m,,0,2016-06-30,partial_period,corn_monthly_factors_v1
2016-06-30,2016-06,monthly,corn,volatility_ratio_3m_12m,,0,2016-06-30,partial_period,corn_monthly_factors_v1
2016-07-29,2016-07,monthly,corn,price_range_1m,0.1037344398,1,2016-07-29,ok,corn_monthly_factors_v1
2016-07-29,2016-07,monthly,corn,price_volatility_3m,,0,2016-07-29,insufficient_history,corn_monthly_factors_v1
2016-07-29,2016-07,monthly,corn,volatility_ratio_3m_12m,,0,2016-07-29,insufficient_history,corn_monthly_factors_v1
2016-08-31,2016-08,monthly,corn,price_range_1m,0.04,1,2016-08-31,ok,corn_monthly_factors_v1
2016-08-31,2016-08,monthly,corn,price_volatility_3m,,0,2016-08-31,insufficient_history,corn_monthly_factors_v1
2016-08-31,2016-08,monthly,corn,volatility_ratio_3m_12m,,0,2016-08-31,insufficient_history,corn_monthly_factors_v1
2016-09-30,2016-09,monthly,corn,price_range_1m,0.06527977044,1,2016-09-30,ok,corn_monthly_factors_v1
2016-09-30,2016-09,monthly,corn,price_volatility_3m,,0,2016-09-30,insufficient_history,corn_monthly_factors_v1
2016-09-30,2016-09,monthly,corn,volatility_ratio_3m_12m,,0,2016-09-30,insufficient_history,corn_monthly_factors_v1
2016-10-31,2016-10,monthly,corn,price_range_1m,0.09162821358,1,2016-10-31,ok,corn_monthly_factors_v1
2016-10-31,2016-10,monthly,corn,price_volatility_3m,0.06469193245,1,2016-10-31,ok,corn_monthly_factors_v1
2016-10-31,2016-10,monthly,corn,volatility_ratio_3m_12m,,0,2016-10-31,insufficient_history,corn_monthly_factors_v1
2016-11-30,2016-11,monthly,corn,price_range_1m,0.1029792746,1,2016-11-30,ok,corn_monthly_factors_v1
2016-11-30,2016-11,monthly,corn,price_volatility_3m,0.06355694762,1,2016-11-30,ok,corn_monthly_factors_v1
2016-11-30,2016-11,monthly,corn,volatility_ratio_3m_12m,,0,2016-11-30,insufficient_history,corn_monthly_factors_v1
2016-12-30,2016-12,monthly,corn,price_range_1m,0.07044107966,1,2016-12-30,ok,corn_monthly_factors_v1
2016-12-30,2016-12,monthly,corn,price_volatility_3m,0.05326301262,1,2016-12-30,ok,corn_monthly_factors_v1
2016-12-30,2016-12,monthly,corn,volatility_ratio_3m_12m,,0,2016-12-30,insufficient_history,corn_monthly_factors_v1
2017-01-26,2017-01,monthly,corn,price_range_1m,0.05384615385,1,2017-01-26,ok,corn_monthly_factors_v1
2017-01-26,2017-01,monthly,corn,price_volatility_3m,0.02274722882,1,2017-01-26,ok,corn_monthly_factors_v1
2017-01-26,2017-01,monthly,corn,volatility_ratio_3m_12m,,0,2017-01-26,insufficient_history,corn_monthly_factors_v1
2017-02-28,2017-02,monthly,corn,price_range_1m,0.04928259513,1,2017-02-28,ok,corn_monthly_factors_v1
2017-02-28,2017-02,monthly,corn,price_volatility_3m,0.02509875044,1,2017-02-28,ok,corn_monthly_factors_v1
2017-02-28,2017-02,monthly,corn,volatility_ratio_3m_12m,,0,2017-02-28,insufficient_history,corn_monthly_factors_v1
2017-03-31,2017-03,monthly,corn,price_range_1m,0.07715311005,1,2017-03-31,ok,corn_monthly_factors_v1
2017-03-31,2017-03,monthly,corn,price_volatility_3m,0.009107306627,1,2017-03-31,ok,corn_monthly_factors_v1
2017-03-31,2017-03,monthly,corn,volatility_ratio_3m_12m,,0,2017-03-31,insufficient_history,corn_monthly_factors_v1
2017-04-28,2017-04,monthly,corn,price_range_1m,0.05363748459,1,2017-04-28,ok,corn_monthly_factors_v1
2017-04-28,2017-04,monthly,corn,price_volatility_3m,0.03843555699,1,2017-04-28,ok,corn_monthly_factors_v1
2017-04-28,2017-04,monthly,corn,volatility_ratio_3m_12m,,0,2017-04-28,insufficient_history,corn_monthly_factors_v1
2017-05-31,2017-05,monthly,corn,price_range_1m,0.03482587065,1,2017-05-31,ok,corn_monthly_factors_v1
2017-05-31,2017-05,monthly,corn,price_volatility_3m,0.03751534519,1,2017-05-31,ok,corn_monthly_factors_v1
2017-05-31,2017-05,monthly,corn,volatility_ratio_3m_12m,,0,2017-05-31,insufficient_history,corn_monthly_factors_v1
2017-06-30,2017-06,monthly,corn,price_range_1m,0.06283343213,1,2017-06-30,ok,corn_monthly_factors_v1
2017-06-30,2017-06,monthly,corn,price_volatility_3m,0.04089652511,1,2017-06-30,ok,corn_monthly_factors_v1
2017-06-30,2017-06,monthly,corn,volatility_ratio_3m_12m,,0,2017-06-30,insufficient_history,corn_monthly_factors_v1
2017-07-31,2017-07,monthly,corn,price_range_1m,0.03890577508,1,2017-07-31,ok,corn_monthly_factors_v1
2017-07-31,2017-07,monthly,corn,price_volatility_3m,0.03890294764,1,2017-07-31,ok,corn_monthly_factors_v1
2017-07-31,2017-07,monthly,corn,volatility_ratio_3m_12m,1.031833873,1,2017-07-31,ok,corn_monthly_factors_v1
2017-08-31,2017-08,monthly,corn,price_range_1m,0.05868405453,1,2017-08-31,ok,corn_monthly_factors_v1
2017-08-31,2017-08,monthly,corn,price_volatility_3m,0.03781453142,1,2017-08-31,ok,corn_monthly_factors_v1
2017-08-31,2017-08,monthly,corn,volatility_ratio_3m_12m,1.000405119,1,2017-08-31,ok,corn_monthly_factors_v1
2017-09-29,2017-09,monthly,corn,price_range_1m,0.03307737744,1,2017-09-29,ok,corn_monthly_factors_v1
2017-09-29,2017-09,monthly,corn,price_volatility_3m,0.02528333288,1,2017-09-29,ok,corn_monthly_factors_v1
2017-09-29,2017-09,monthly,corn,volatility_ratio_3m_12m,0.7364702282,1,2017-09-29,ok,corn_monthly_factors_v1
2017-10-31,2017-10,monthly,corn,price_range_1m,0.0343995172,1,2017-10-31,ok,corn_monthly_factors_v1
2017-10-31,2017-10,monthly,corn,price_volatility_3m,0.02341238424,1,2017-10-31,ok,corn_monthly_factors_v1
2017-10-31,2017-10,monthly,corn,volatility_ratio_3m_12m,0.8511673467,1,2017-10-31,ok,corn_monthly_factors_v1
2017-11-30,2017-11,monthly,corn,price_range_1m,0.0443148688,1,2017-11-30,ok,corn_monthly_factors_v1
2017-11-30,2017-11,monthly,corn,price_volatility_3m,0.02819846654,1,2017-11-30,ok,corn_monthly_factors_v1
2017-11-30,2017-11,monthly,corn,volatility_ratio_3m_12m,0.9891085267,1,2017-11-30,ok,corn_monthly_factors_v1
2017-12-29,2017-12,monthly,corn,price_range_1m,0.07433920705,1,2017-12-29,ok,corn_monthly_factors_v1
2017-12-29,2017-12,monthly,corn,price_volatility_3m,0.04115353267,1,2017-12-29,ok,corn_monthly_factors_v1
2017-12-29,2017-12,monthly,corn,volatility_ratio_3m_12m,1.344819533,1,2017-12-29,ok,corn_monthly_factors_v1
2018-01-31,2018-01,monthly,corn,price_range_1m,0.04362416107,1,2018-01-31,ok,corn_monthly_factors_v1
2018-01-31,2018-01,monthly,corn,price_volatility_3m,0.03793654585,1,2018-01-31,ok,corn_monthly_factors_v1
2018-01-31,2018-01,monthly,corn,volatility_ratio_3m_12m,1.201404564,1,2018-01-31,ok,corn_monthly_factors_v1
2018-02-28,2018-02,monthly,corn,price_range_1m,0.02732240437,1,2018-02-28,ok,corn_monthly_factors_v1
2018-02-28,2018-02,monthly,corn,price_volatility_3m,0.03716909909,1,2018-02-28,ok,corn_monthly_factors_v1
2018-02-28,2018-02,monthly,corn,volatility_ratio_3m_12m,1.183186913,1,2018-02-28,ok,corn_monthly_factors_v1
2018-03-30,2018-03,monthly,corn,price_range_1m,0.08314220183,1,2018-03-30,ok,corn_monthly_factors_v1
2018-03-30,2018-03,monthly,corn,price_volatility_3m,0.03530574195,1,2018-03-30,ok,corn_monthly_factors_v1
2018-03-30,2018-03,monthly,corn,volatility_ratio_3m_12m,1.042574002,1,2018-03-30,ok,corn_monthly_factors_v1
2018-04-27,2018-04,monthly,corn,price_range_1m,0.03177354131,1,2018-04-27,ok,corn_monthly_factors_v1
2018-04-27,2018-04,monthly,corn,price_volatility_3m,0.03532949431,1,2018-04-27,ok,corn_monthly_factors_v1
2018-04-27,2018-04,monthly,corn,volatility_ratio_3m_12m,1.090181783,1,2018-04-27,ok,corn_monthly_factors_v1
2018-05-31,2018-05,monthly,corn,price_range_1m,0.0377039955,1,2018-05-31,ok,corn_monthly_factors_v1
2018-05-31,2018-05,monthly,corn,price_volatility_3m,0.03681878417,1,2018-05-31,ok,corn_monthly_factors_v1
2018-05-31,2018-05,monthly,corn,volatility_ratio_3m_12m,1.130663478,1,2018-05-31,ok,corn_monthly_factors_v1
2018-06-29,2018-06,monthly,corn,price_range_1m,0.02182428651,1,2018-06-29,ok,corn_monthly_factors_v1
2018-06-29,2018-06,monthly,corn,price_volatility_3m,0.01716500692,1,2018-06-29,ok,corn_monthly_factors_v1
2018-06-29,2018-06,monthly,corn,volatility_ratio_3m_12m,0.5723299979,1,2018-06-29,ok,corn_monthly_factors_v1
2018-07-31,2018-07,monthly,corn,price_range_1m,0.05663430421,1,2018-07-31,ok,corn_monthly_factors_v1
2018-07-31,2018-07,monthly,corn,price_volatility_3m,0.0161936184,1,2018-07-31,ok,corn_monthly_factors_v1
2018-07-31,2018-07,monthly,corn,volatility_ratio_3m_12m,0.5451982183,1,2018-07-31,ok,corn_monthly_factors_v1
2018-08-31,2018-08,monthly,corn,price_range_1m,0.03466386555,1,2018-08-31,ok,corn_monthly_factors_v1
