period_end,period_key,frequency,instrument,factor_id,value,coverage,asof_date,quality_flag,source_version
2016-06-30,2016-06,monthly,corn,seasonal_cos,-1,1,2016-06-30,partial_period,corn_monthly_factors_v1
2016-06-30,2016-06,monthly,corn,seasonal_sin,1.224646799e-16,1,2016-06-30,partial_period,corn_monthly_factors_v1
2016-07-29,2016-07,monthly,corn,seasonal_cos,-0.8660254038,1,2016-07-29,ok,corn_monthly_factors_v1
2016-07-29,2016-07,monthly,corn,seasonal_sin,-0.5,1,2016-07-29,ok,corn_monthly_factors_v1
2016-08-31,2016-08,monthly,corn,seasonal_cos,-0.5,1,2016-08-31,ok,corn_monthly_factors_v1
2016-08-31,2016-08,monthly,corn,seasonal_sin,-0.8660254038,1,2016-08-31,ok,corn_monthly_factors_v1
2016-09-30,2016-09,monthly,corn,seasonal_cos,-1.836970199e-16,1,2016-09-30,ok,corn_monthly_factors_v1
2016-09-30,2016-09,monthly,corn,seasonal_sin,-1,1,2016-09-30,ok,corn_monthly_factors_v1
2016-10-31,2016-10,monthly,corn,seasonal_cos,0.5,1,2016-10-31,ok,corn_monthly_factors_v1
2016-10-31,2016-10,monthly,corn,seasonal_sin,-0.8660254038,1,2016-10-31,ok,corn_monthly_factors_v1
2016-11-30,2016-11,monthly,corn,seasonal_cos,0.8660254038,1,2016-11-30,ok,corn_monthly_factors_v1
2016-11-30,2016-11,monthly,corn,seasonal_sin,-0.5,1,2016-11-30,ok,corn_monthly_factors_v1
2016-12-30,2016-12,monthly,corn,seasonal_cos,1,1,2016-12-30,ok,corn_monthly_factors_v1
2016-12-30,2016-12,monthly,corn,seasonal_sin,-2.449293598e-16,1,2016-12-30,ok,corn_monthly_factors_v1
2017-01-26,2017-01,monthly,corn,seasonal_cos,0.8660254038,1,2017-01-26,ok,corn_monthly_factors_v1
2017-01-26,2017-01,monthly,corn,seasonal_sin,0.5,1,2017-01-26,ok,corn_monthly_factors_v1
2017-02-28,2017-02,monthly,corn,seasonal_cos,0.5,1,2017-02-28,ok,corn_monthly_factors_v1
2017-02-28,2017-02,monthly,corn,seasonal_sin,0.8660254038,1,2017-02-28,ok,corn_monthly_factors_v1
2017-03-31,2017-03,monthly,corn,seasonal_cos,6.123233996e-17,1,2017-03-31,ok,corn_monthly_factors_v1
2017-03-31,2017-03,monthly,corn,seasonal_sin,1,1,2017-03-31,ok,corn_monthly_factors_v1
2017-04-28,2017-04,monthly,corn,seasonal_cos,-0.5,1,2017-04-28,ok,corn_monthly_factors_v1
2017-04-28,2017-04,monthly,corn,seasonal_sin,0.8660254038,1,2017-04-28,ok,corn_monthly_factors_v1
