"period_end","period_key","frequency","instrument","factor_id","value","coverage","asof_date","quality_flag","source_version"
"2016-06-30","2016-06","monthly","corn","price_momentum","0","0.3333333333","2016-06-30","partial_period","corn_factors_monthly"
"2016-07-29","2016-07","monthly","corn","price_momentum","0","0.5","2016-07-29","ok","corn_factors_monthly"
"2016-08-31","2016-08","monthly","corn","price_momentum","0","0.5","2016-08-31","ok","corn_factors_monthly"
"2016-09-30","2016-09","monthly","corn","price_momentum","0","0.6666666667","2016-09-30","ok","corn_factors_monthly"
"2016-10-31","2016-10","monthly","corn","price_momentum","0","0.6666666667","2016-10-31","ok","corn_factors_monthly"
"2016-11-30","2016-11","monthly","corn","price_momentum","0","0.6666666667","2016-11-30","ok","corn_factors_monthly"
"2016-12-30","2016-12","monthly","corn","price_momentum","0.1887556993","0.8333333333","2016-12-30","ok","corn_factors_monthly"
"2017-01-26","2017-01","monthly","corn","price_momentum","0.4539995886","0.8333333333","2017-01-26","ok","corn_factors_monthly"
"2017-02-28","2017-02","monthly","corn","price_momentum","0.5531014057","0.8333333333","2017-02-28","ok","corn_factors_monthly"
"2017-03-31","2017-03","monthly","corn","price_momentum","0.8864050234","0.8333333333","2017-03-31","ok","corn_factors_monthly"
"2017-04-28","2017-04","monthly","corn","price_momentum","-0.1697466013","0.8333333333","2017-04-28","ok","corn_factors_monthly"
"2017-05-31","2017-05","monthly","corn","price_momentum","-0.3216501899","0.8333333333","2017-05-31","ok","corn_factors_monthly"
"2017-06-30","2017-06","monthly","corn","price_momentum","0.4407433563","1","2017-06-30","ok","corn_factors_monthly"
"2017-07-31","2017-07","monthly","corn","price_momentum","-0.3053367696","1","2017-07-31","ok","corn_factors_monthly"
"2017-08-31","2017-08","monthly","corn","price_momentum","0.1278772928","1","2017-08-31","ok","corn_factors_monthly"
"2017-09-29","2017-09","monthly","corn","price_momentum","-0.1783023656","1","2017-09-29","ok","corn_factors_monthly"
"2017-10-31","2017-10","monthly","corn","price_momentum","-0.5056042629","1","2017-10-31","ok","corn_factors_monthly"
"2017-11-30","2017-11","monthly","corn","price_momentum","0.2094991191","1","2017-11-30","ok","corn_factors_monthly"
"2017-12-29","2017-12","monthly","corn","price_momentum","1.1934879046","1","2017-12-29","ok","corn_factors_monthly"
