"period_end","period_key","frequency","instrument","factor_id","value","coverage","asof_date","quality_flag","source_version"
"2016-06-30","2016-06","monthly","corn","processing_demand","0","0.6666666667","2016-06-30","partial_period","corn_factors_monthly"
"2016-07-29","2016-07","monthly","corn","processing_demand","0","1","2016-07-29","ok","corn_factors_monthly"
"2016-08-31","2016-08","monthly","corn","processing_demand","0","1","2016-08-31","ok","corn_factors_monthly"
"2016-09-30","2016-09","monthly","corn","processing_demand","0","1","2016-09-30","ok","corn_factors_monthly"
"2016-10-31","2016-10","monthly","corn","processing_demand","0","1","2016-10-31","ok","corn_factors_monthly"
"2016-11-30","2016-11","monthly","corn","processing_demand","0","1","2016-11-30","ok","corn_factors_monthly"
"2016-12-30","2016-12","monthly","corn","processing_demand","-0.65769546","1","2016-12-30","ok","corn_factors_monthly"
"2017-01-26","2017-01","monthly","corn","processing_demand","-1.0392528254","1","2017-01-26","ok","corn_factors_monthly"
"2017-02-28","2017-02","monthly","corn","processing_demand","0.4604772665","1","2017-02-28","ok","corn_factors_monthly"
"2017-03-31","2017-03","monthly","corn","processing_demand","0.9218636073","1","2017-03-31","ok","corn_factors_monthly"
"2017-04-28","2017-04","monthly","corn","processing_demand","-0.2609435325","1","2017-04-28","ok","corn_factors_monthly"
"2017-05-31","2017-05","monthly","corn","processing_demand","-0.08584592","1","2017-05-31","ok","corn_factors_monthly"
"2017-06-30","2017-06","monthly","corn","processing_demand","0.0821063926","1","2017-06-30","ok","corn_factors_monthly"
"2017-07-31","2017-07","monthly","corn","processing_demand","-0.6739316557","1","2017-07-31","ok","corn_factors_monthly"
"2017-08-31","2017-08","monthly","corn","processing_demand","-0.6862906622","1","2017-08-31","ok","corn_factors_monthly"
"2017-09-29","2017-09","monthly","corn","processing_demand","-0.6801748457","1","2017-09-29","ok","corn_factors_monthly"
"2017-10-31","2017-10","monthly","corn","processing_demand","-0.4566201868","1","2017-10-31","ok","corn_factors_monthly"
"2017-11-30","2017-11","monthly","corn","processing_demand","0.3774257639","1","2017-11-30","ok","corn_factors_monthly"
"2017-12-29","2017-12","monthly","corn","processing_demand","-0.868147719","1","2017-12-29","ok","corn_factors_monthly"
"2018-01-31","2018-01","monthly","corn","processing_demand","-0.6909940102","1","2018-01-31","ok","corn_factors_monthly"
"2018-02-28","2018-02","monthly","corn","processing_demand","0.0940294718","1","2018-02-28","ok","corn_factors_monthly"
"2018-03-30","2018-03","monthly","corn","processing_demand","1.556136887","1","2018-03-30","ok","corn_factors_monthly"
"2018-04-27","2018-04","monthly","corn","processing_demand","0.9896594726","1","2018-04-27","ok","corn_factors_monthly"
"2018-05-31","2018-05","monthly","corn","processing_demand","1.4809854974","1","2018-05-31","ok","corn_factors_monthly"
"2018-06-29","2018-06","monthly","corn","processing_demand","1.31419369","1","2018-06-29","ok","corn_factors_monthly"
"2018-07-31","2018-07","monthly","corn","processing_demand","0.3238581518","1","2018-07-31","ok","corn_factors_monthly"
"2018-08-31","2018-08","monthly","corn","processing_demand","0.9807665027","1","2018-08-31","ok","corn_factors_monthly"
"2018-09-28","2018-09","monthly","corn","processing_demand","1.4422587876","1","2018-09-28","ok","corn_factors_monthly"
"2018-10-31","2018-10","monthly","corn","processing_demand","1.676653118","1","2018-10-31","ok","corn_factors_monthly"
"2018-11-30","2018-11","monthly","corn","processing_demand","0.2380570235","1","2018-11-30","ok","corn_factors_monthly"
"2018-12-28","2018-12","monthly","corn","processing_demand","0.8387006586","1","2018-12-28","ok","corn_factors_monthly"
"2019-01-31","2019-01","monthly","corn","processing_demand","0.8789795334","1","2019-01-31","ok","corn_factors_monthly"
"2019-02-28","2019-02","monthly","corn","processing_demand","0.5940038139","1","2019-02-28","ok","corn_factors_monthly"
"2019-03-29","2019-03","monthly","corn","processing_demand","0.2838998755","1","2019-03-29","ok","corn_factors_monthly"
"2019-04-30","2019-04","monthly","corn","processing_demand","0.645530665","1","2019-04-30","ok","corn_factors_monthly"
"2019-05-31","2019-05","monthly","corn","processing_demand","0.1476299073","1","2019-05-31","ok","corn_factors_monthly"
"2019-06-28","2019-06","monthly","corn","processing_demand","0.1760331668","1","2019-06-28","ok","corn_factors_monthly"
"2019-07-31","2019-07","monthly","corn","processing_demand","0.2948616968","1","2019-07-31","ok","corn_factors_monthly"
"2019-08-30","2019-08","monthly","corn","processing_demand","-0.0341576315","1","2019-08-30","ok","corn_factors_monthly"
"2019-09-30","2019-09","monthly","corn","processing_demand","-0.3125777238","1","2019-09-30","ok","corn_factors_monthly"
"2019-10-31","2019-10","monthly","corn","processing_demand","-0.7719097991","1","2019-10-31","ok","corn_factors_monthly"
"2019-11-29","2019-11","monthly","corn","processing_demand","0.0038719273","1","2019-11-29","ok","corn_factors_monthly"
"2019-12-31","2019-12","monthly","corn","processing_demand","-0.5872365235","1","2019-12-31","ok","corn_factors_monthly"
"2020-01-23","2020-01","monthly","corn","processing_demand","-0.7767328334","1","2020-01-23","ok","corn_factors_monthly"
"2020-02-28","2020-02","monthly","corn","processing_demand","-1.3628522042","1","2020-02-28","ok","corn_factors_monthly"
"2020-03-31","2020-03","monthly","corn","processing_demand","-2.7825663367","1","2020-03-31","ok","corn_factors_monthly"
"2020-04-30","2020-04","monthly","corn","processing_demand","-0.1118936488","1","2020-04-30","ok","corn_factors_monthly"
"2020-05-29","2020-05","monthly","corn","processing_demand","-0.7307203763","1","2020-05-29","ok","corn_factors_monthly"
"2020-06-30","2020-06","monthly","corn","processing_demand","-0.9043896009","1","2020-06-30","ok","corn_factors_monthly"
"2020-07-31","2020-07","monthly","corn","processing_demand","-0.8471642864","1","2020-07-31","ok","corn_factors_monthly"
"2020-08-31","2020-08","monthly","corn","processing_demand","-1.5221735629","1","2020-08-31","ok","corn_factors_monthly"
"2020-09-30","2020-09","monthly","corn","processing_demand","-1.7516822175","1","2020-09-30","ok","corn_factors_monthly"
"2020-10-30","2020-10","monthly","corn","processing_demand","-1.2877101264","1","2020-10-30","ok","corn_factors_monthly"
"2020-11-30","2020-11","monthly","corn","processing_demand","-0.7414817379","1","2020-11-30","ok","corn_factors_monthly"
"2020-12-31","2020-12","monthly","corn","processing_demand","-1.330072505","1","2020-12-31","ok","corn_factors_monthly"
"2021-01-29","2021-01","monthly","corn","processing_demand","-0.5950204627","1","2021-01-29","ok","corn_factors_monthly"
"2021-02-26","2021-02","monthly","corn","processing_demand","0.4288465234","1","2021-02-26","ok","corn_factors_monthly"
"2021-03-31","2021-03","monthly","corn","processing_demand","0.4901605418","1","2021-03-31","ok","corn_factors_monthly"
"2021-04-30","2021-04","monthly","corn","processing_demand","-0.2465804162","1","2021-04-30","ok","corn_factors_monthly"
"2021-05-31","2021-05","monthly","corn","processing_demand","-0.3089677834","1","2021-05-31","ok","corn_factors_monthly"
"2021-06-30","2021-06","monthly","corn","processing_demand","-1.1256684907","1","2021-06-30","ok","corn_factors_monthly"
"2021-07-30","2021-07","monthly","corn","processing_demand","-1.3057891661","1","2021-07-30","ok","corn_factors_monthly"
"2021-08-31","2021-08","monthly","corn","processing_demand","-0.7622963064","1","2021-08-31","ok","corn_factors_monthly"
"2021-09-30","2021-09","monthly","corn","processing_demand","1.1225661529","1","2021-09-30","ok","corn_factors_monthly"
"2021-10-29","2021-10","monthly","corn","processing_demand","-0.2345032591","1","2021-10-29","ok","corn_factors_monthly"
"2021-11-30","2021-11","monthly","corn","processing_demand","-0.2706009759","1","2021-11-30","ok","corn_factors_monthly"
"2021-12-31","2021-12","monthly","corn","processing_demand","-2.200002488","1","2021-12-31","ok","corn_factors_monthly"
"2022-01-28","2022-01","monthly","corn","processing_demand","-0.1146649693","1","2022-01-28","ok","corn_factors_monthly"
"2022-02-28","2022-02","monthly","corn","processing_demand","0.3711758934","1","2022-02-28","ok","corn_factors_monthly"
"2022-03-31","2022-03","monthly","corn","processing_demand","-0.5361907313","1","2022-03-31","ok","corn_factors_monthly"
"2022-04-29","2022-04","monthly","corn","processing_demand","-1.086096891","1","2022-04-29","ok","corn_factors_monthly"
"2022-05-31","2022-05","monthly","corn","processing_demand","-2.0299169841","1","2022-05-31","ok","corn_factors_monthly"
"2022-06-30","2022-06","monthly","corn","processing_demand","-0.4211940179","1","2022-06-30","ok","corn_factors_monthly"
"2022-07-29","2022-07","monthly","corn","processing_demand","-0.3498344267","1","2022-07-29","ok","corn_factors_monthly"
"2022-08-31","2022-08","monthly","corn","processing_demand","-2.1957815964","1","2022-08-31","ok","corn_factors_monthly"
"2022-09-30","2022-09","monthly","corn","processing_demand","-2.6901037263","1","2022-09-30","ok","corn_factors_monthly"
"2022-10-31","2022-10","monthly","corn","processing_demand","-2.6685124182","1","2022-10-31","ok","corn_factors_monthly"
"2022-11-30","2022-11","monthly","corn","processing_demand","-0.8838704525","1","2022-11-30","ok","corn_factors_monthly"
"2022-12-30","2022-12","monthly","corn","processing_demand","-2.2507082055","1","2022-12-30","ok","corn_factors_monthly"
"2023-01-31","2023-01","monthly","corn","processing_demand","-2.23594919","1","2023-01-31","ok","corn_factors_monthly"
"2023-02-28","2023-02","monthly","corn","processing_demand","-0.8858439661","1","2023-02-28","ok","corn_factors_monthly"
"2023-03-31","2023-03","monthly","corn","processing_demand","-0.8648664124","1","2023-03-31","ok","corn_factors_monthly"
"2023-04-28","2023-04","monthly","corn","processing_demand","-0.0742304028","1","2023-04-28","ok","corn_factors_monthly"
"2023-05-31","2023-05","monthly","corn","processing_demand","-0.7470106567","1","2023-05-31","ok","corn_factors_monthly"
"2023-06-30","2023-06","monthly","corn","processing_demand","0.1116349014","1","2023-06-30","ok","corn_factors_monthly"
"2023-07-31","2023-07","monthly","corn","processing_demand","-0.8893384509","1","2023-07-31","ok","corn_factors_monthly"
"2023-08-31","2023-08","monthly","corn","processing_demand","-0.5572755657","1","2023-08-31","ok","corn_factors_monthly"
"2023-09-28","2023-09","monthly","corn","processing_demand","-0.7953511351","1","2023-09-28","ok","corn_factors_monthly"
"2023-10-31","2023-10","monthly","corn","processing_demand","-0.2314266971","1","2023-10-31","ok","corn_factors_monthly"
"2023-11-30","2023-11","monthly","corn","processing_demand","0.2817562633","1","2023-11-30","ok","corn_factors_monthly"
"2023-12-29","2023-12","monthly","corn","processing_demand","0.4133863953","1","2023-12-29","ok","corn_factors_monthly"
"2024-01-31","2024-01","monthly","corn","processing_demand","0.5852118524","1","2024-01-31","ok","corn_factors_monthly"
"2024-02-29","2024-02","monthly","corn","processing_demand","0.1152133323","1","2024-02-29","ok","corn_factors_monthly"
"2024-03-29","2024-03","monthly","corn","processing_demand","0.0186054748","1","2024-03-29","ok","corn_factors_monthly"
"2024-04-30","2024-04","monthly","corn","processing_demand","-0.3427680701","1","2024-04-30","ok","corn_factors_monthly"
"2024-05-31","2024-05","monthly","corn","processing_demand","-0.0983678351","1","2024-05-31","ok","corn_factors_monthly"
"2024-06-28","2024-06","monthly","corn","processing_demand","0.2620384383","1","2024-06-28","ok","corn_factors_monthly"
"2024-07-31","2024-07","monthly","corn","processing_demand","0.4390075789","1","2024-07-31","ok","corn_factors_monthly"
"2024-08-30","2024-08","monthly","corn","processing_demand","-0.3253444773","1","2024-08-30","ok","corn_factors_monthly"
