"period_end","period_key","frequency","instrument","factor_id","value","coverage","asof_date","quality_flag","source_version"
"2016-06-30","2016-06","monthly","corn","weather_anomaly","0","1","2016-06-30","partial_period","corn_factors_monthly"
"2016-07-29","2016-07","monthly","corn","weather_anomaly","0","1","2016-07-29","ok","corn_factors_monthly"
"2016-08-31","2016-08","monthly","corn","weather_anomaly","0","1","2016-08-31","ok","corn_factors_monthly"
"2016-09-30","2016-09","monthly","corn","weather_anomaly","0","1","2016-09-30","ok","corn_factors_monthly"
"2016-10-31","2016-10","monthly","corn","weather_anomaly","0","1","2016-10-31","ok","corn_factors_monthly"
"2016-11-30","2016-11","monthly","corn","weather_anomaly","0","1","2016-11-30","ok","corn_factors_monthly"
"2016-12-30","2016-12","monthly","corn","weather_anomaly","1.4774125224","1","2016-12-30","ok","corn_factors_monthly"
"2017-01-26","2017-01","monthly","corn","weather_anomaly","1.1938418228","1","2017-01-26","ok","corn_factors_monthly"
"2017-02-28","2017-02","monthly","corn","weather_anomaly","0.8028743226","1","2017-02-28","ok","corn_factors_monthly"
"2017-03-31","2017-03","monthly","corn","weather_anomaly","0.5062538607","1","2017-03-31","ok","corn_factors_monthly"
"2017-04-28","2017-04","monthly","corn","weather_anomaly","0.4102532452","1","2017-04-28","ok","corn_factors_monthly"
"2017-05-31","2017-05","monthly","corn","weather_anomaly","0.507956771","1","2017-05-31","ok","corn_factors_monthly"
"2017-06-30","2017-06","monthly","corn","weather_anomaly","0.5864418717","1","2017-06-30","ok","corn_factors_monthly"
"2017-07-31","2017-07","monthly","corn","weather_anomaly","0.8478358443","1","2017-07-31","ok","corn_factors_monthly"
"2017-08-31","2017-08","monthly","corn","weather_anomaly","1.353857404","1","2017-08-31","ok","corn_factors_monthly"
"2017-09-29","2017-09","monthly","corn","weather_anomaly","0.4471635781","1","2017-09-29","ok","corn_factors_monthly"
"2017-10-31","2017-10","monthly","corn","weather_anomaly","0.5135059371","1","2017-10-31","ok","corn_factors_monthly"
"2017-11-30","2017-11","monthly","corn","weather_anomaly","0.8071814904","1","2017-11-30","ok","corn_factors_monthly"
"2017-12-29","2017-12","monthly","corn","weather_anomaly","1.1812108864","1","2017-12-29","ok","corn_factors_monthly"
"2018-01-31","2018-01","monthly","corn","weather_anomaly","1.1431177397","1","2018-01-31","ok","corn_factors_monthly"
"2018-02-28","2018-02","monthly","corn","weather_anomaly","0.8876819135","1","2018-02-28","ok","corn_factors_monthly"
"2018-03-30","2018-03","monthly","corn","weather_anomaly","0.5189842022","1","2018-03-30","ok","corn_factors_monthly"
"2018-04-27","2018-04","monthly","corn","weather_anomaly","0.4067122167","1","2018-04-27","ok","corn_factors_monthly"
