date,factor_cutoff,strict_backtest_eligible,is_latest_observation,available_factor_count,candidate_factor_count,source_version,price_momentum_1d,price_momentum_5d,price_momentum_20d,price_ma_gap_5d,price_ma_gap_20d,price_ma_gap_60d,price_range_1d,price_volatility_5d,price_volatility_20d,volatility_ratio_5d_20d,volume_log_change_1d,open_interest_log_change_1d,basis_rate_level_lag1d,basis_rate_change_1d_lag1d,basis_rate_zscore_20d_lag1d,nearby_main_spread_ratio_lag1d,nearby_main_spread_change_1d_lag1d,starch_corn_spread_ratio,starch_corn_spread_change_5d,cbot_corn_momentum_1d_lag1d,cbot_corn_momentum_5d_lag1d,domestic_minus_cbot_momentum_1d_lag1d,cbot_wheat_corn_ratio_change_1d_lag1d,precipitation_sum_5d,precipitation_week_vs_month,temperature_deviation_20d,day_of_year_sin,day_of_year_cos,day_of_week_sin,day_of_week_cos
2016-06-29,end_of_day,False,False,6,30,corn_daily_factors_v1,,,,,,,0.01660281,,,,,,,,,,,0.26117497,,,,,,,,,0.027950298,-0.99960931,0.58778525,-0.80901699
2016-06-30,end_of_day,False,False,11,30,corn_daily_factors_v1,0.0095785441,,,,,,0.018975332,,,,0.020358268,0.0054004132,0.172011,,,0.21392082,,0.25932954,,,,,,,,,0.010751308,-0.9999422,-0.58778525,-0.80901699
2016-07-01,end_of_day,False,False,16,30,corn_daily_factors_v1,-0.019607843,,,,,,0.022580645,,,,-0.0097130475,0.046323758,0.163788,-0.008223,,0.17647059,-0.037450229,0.25483871,,-0.023163468,,0.0035556248,0.026017099,,,,-0.0064508642,-0.99997919,-0.95105652,0.30901699
2016-07-04,end_of_day,False,False,16,30,corn_daily_factors_v1,0.021290323,,,,,,0.026531901,,,,0.67178358,0.081321338,0.181051,0.017263,,0.1516129,-0.024857685,0.2590019,,-0.023712737,,0.04500306,-0.01251899,,,,-0.058025569,-0.9983151,0,1
2016-07-05,end_of_day,False,False,18,30,corn_daily_factors_v1,-0.029058749,,,-0.016886274,,,0.036434613,,,,0.020321867,0.036869369,0.164789,-0.016262,,0.12823752,-0.02337538,0.26089785,,0,,-0.029058749,0,25.04,,,-0.075189576,-0.99716926,0.95105652,0.30901699
2016-07-06,end_of_day,False,False,21,30,corn_daily_factors_v1,-0.012361744,-0.030651341,,-0.023040288,,,0.013175231,0.020885394,,,-0.41970179,0.0013798008,0.18792,0.023131,,0.1620039,0.03376638,0.2654809,0.0043059278,-0.028452464,,0.01609072,0.036479324,18.28,,,-0.092331334,-0.99572834,0.58778525,-0.80901699
2016-07-07,end_of_day,False,False,22,30,corn_daily_factors_v1,-0.0052700922,-0.044908286,,-0.019225773,,,0.021192053,0.019089244,,,0.016792274,0.017376643,0.19739,0.00947,,0.17654809,0.014544186,0.26754967,0.0082201306,-0.021428571,-0.093315685,0.016158479,0.0130323,1.62,,,-0.10944577,-0.99399277,-0.58778525,-0.80901699
2016-07-08,end_of_day,False,False,22,30,corn_daily_factors_v1,0.0086092715,-0.017419355,,-0.0073002216,,,0.015758372,0.019339127,,,-0.0096248704,-0.09444138,0.200775,0.003385,,0.18278146,0.0062333674,0.24556796,-0.0092707517,-0.004379562,-0.075880759,0.012988834,-0.0049771247,1.7066667,,,-0.12652782,-0.99196306,-0.95105652,0.30901699
2016-07-11,end_of_day,False,False,22,30,corn_daily_factors_v1,0.0059093894,-0.032217309,,0.0052493438,,,0.0084856397,0.015223595,,,-0.58287388,0.0025592685,0.192758,-0.008017,,0.17268549,-0.010095968,0.24804178,-0.01096012,0.042521994,-0.013185288,-0.036612605,-0.014801893,1.26,,,-0.17752915,-0.98411554,0,1
2016-07-12,end_of_day,False,False,22,30,corn_daily_factors_v1,-0.0045691906,-0.007807417,,0.00223449,,,0.0091803279,0.0086414809,,,-0.011044943,0.0069334909,0.187126,-0.005632,,0.16579634,-0.0068891445,0.25836066,-0.0025371972,-0.018284107,-0.031228314,0.013714916,0.003438724,7.03,,,-0.19443122,-0.98091615,0.95105652,0.30901699
