period_end,period_key,frequency,period_start,period_n_obs,period_is_partial,dce_corn_close,target_date_fwd,target_price_fwd,target_return_fwd,target_direction_fwd,factor_price_momentum,factor_basis_tightness,factor_processing_demand,factor_market_activity,factor_external_support,factor_weather_anomaly,factor_supply_pressure,factor_risk_volatility,factor_price_momentum_coverage,factor_basis_tightness_coverage,factor_processing_demand_coverage,factor_market_activity_coverage,factor_external_support_coverage,factor_weather_anomaly_coverage,factor_supply_pressure_coverage,factor_risk_volatility_coverage,factor_harvest_pressure,seasonal_sin,seasonal_cos
2016-12-30,2016,yearly,2016-06-29,126,1,1519,2017-12-29,1816,0.1955233706,1,0,0,0,0,0,0,0,0,0.3333333333,0.5,0.6666666667,0.5,0.25,1,0,0,0.4603174603,0,0
2017-12-29,2017,yearly,2017-01-02,245,0,1816,2018-12-28,1869,0.029185022,1,0,0,0,0,0,0,0,0,0.6666666667,1,1,1,0.75,1,0,0.3333333333,0.2448979592,0,0
2018-12-28,2018,yearly,2018-01-02,243,0,1869,2019-12-31,1910,0.0219368646,1,0,0,0,0,0,0,0,0,0.8333333333,1,1,1,1,1,0,0.6666666667,0.2427983539,0,0
2019-12-31,2019,yearly,2019-01-02,243,0,1910,2020-12-31,2742,0.4356020942,1,-0.0823774806,-0.183619042,-0.0960607579,0.126766738,0.4752269969,0.1540128005,0,0,1,1,1,1,1,1,0,0.6666666667,0.2427983539,0,0
2020-12-31,2020,yearly,2020-01-02,243,0,2742,2021-12-31,2672,-0.0255288111,0,1.8137236867,-1.1954422616,-1.6336414347,-0.4508728214,1.7599740786,1.7801883655,0,1.7994190003,1,1,1,1,1,1,0,0.6666666667,0.2427983539,0,0
2021-12-31,2021,yearly,2021-01-04,243,0,2672,2022-12-30,2824,0.0568862275,1,-0.3746005968,1.2519699988,-1.0119393574,-0.1844015735,1.3745871471,0.461031309,0,0.2741719756,1,1,1,1,1,1,0,0.6666666667,0.2386831276,0,0
2022-12-30,2022,yearly,2022-01-04,242,0,2824,2023-12-29,2413,-0.1455382436,0,-0.3018509254,0.2241190966,-2.2010841132,-1.1730549405,-0.5045932009,0.4875759119,0,-0.6558959215,1,1,1,1,1,1,0,0.6666666667,0.2438016529,0,0
2023-12-29,2023,yearly,2023-01-03,242,0,2413,2024-12-31,2229,-0.0762536262,0,-1.8904921831,0.7641847069,1.2953802375,-0.4875825375,-2.6142956582,0.3764769363,0,-0.003965478,1,1,1,1,1,1,0,0.6666666667,0.2438016529,0,0
2024-12-31,2024,yearly,2024-01-02,242,0,2229,2025-12-31,2226,-0.001345895,0,-1.028753357,-1.4085998333,-0.7762039938,0.6159398543,-1.1771133545,0.5506336169,0,-0.6020379462,1,1,1,1,1,1,0,0.6666666667,0.2396694215,0,0
2025-12-31,2025,yearly,2025-01-02,243,0,2226,2026-06-26,2323,0.0435759209,1,-0.5413632455,0.5497589421,-0.1340422001,-0.0168347675,-0.651339795,0.4571821756,0,-0.7925515209,1,1,1,1,1,1,0,0.6666666667,0.2427983539,0,0
2026-06-26,2026,yearly,2026-01-05,114,1,2323,,,,,-0.160486552,-0.1335343923,0.5165386045,-0.9593576656,0.6397274782,3.7666116132,0,-0.6569627459,1,1,1,1,1,1,0,0.6666666667,0,0,0
