model,feature_set,horizon,lookback,split_strategy,seed,prediction_anchor_date,threshold_calibration_end_date,n_threshold_samples,selected_threshold,candidate_threshold,validation_balanced_accuracy,validation_mcc,validation_predicted_up_rate,is_selected,selection_rule
catboost,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.04,0.0,0.5640288293535236,0.14408568292682,0.7383966244725738,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
catboost,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.04,0.01,0.5500145602795573,0.10341207040898677,0.6455696202531646,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
catboost,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.04,0.02,0.5692341292952825,0.13749079990082338,0.5443037974683544,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
catboost,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.04,0.03,0.5871796738497379,0.17394196227806044,0.4345991561181435,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
catboost,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.04,0.04,0.6319889341875364,0.2926016406326111,0.2742616033755274,1.0,"balanced_accuracy,higher_mcc,closer_to_zero"
catboost,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.04,0.05,0.5845952242283052,0.22802772066770075,0.16033755274261605,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
catboost,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.04,0.06,0.5384755387303436,0.16712797877619642,0.05485232067510549,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
catboost,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.04,0.07,0.5297029702970297,0.1870158444197576,0.02531645569620253,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
catboost,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.04,0.08,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
catboost,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.04,0.1,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
catboost,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.04,0.0,0.5456464764123472,0.10563156520407443,0.759493670886076,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
catboost,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.04,0.01,0.54408124635993,0.09443449190447042,0.6919831223628692,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
catboost,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.04,0.02,0.5729105998835178,0.1446880202978172,0.540084388185654,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
catboost,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.04,0.03,0.5465928945835761,0.09260112514278976,0.45147679324894513,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
catboost,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.04,0.04,0.5853232382061735,0.18278649795547372,0.3080168776371308,1.0,"balanced_accuracy,higher_mcc,closer_to_zero"
catboost,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.04,0.05,0.578661910308678,0.19210897780264719,0.20675105485232068,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
catboost,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.04,0.06,0.5287201514269074,0.10722314762693201,0.0759493670886076,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
catboost,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.04,0.07,0.5161255096097845,0.11097996679375204,0.02109704641350211,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
catboost,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.04,0.08,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
catboost,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.04,0.1,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
catboost,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.05,0.0,0.5616263832265579,0.1409583508537436,0.7510548523206751,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
catboost,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.05,0.01,0.5576587070471754,0.12399860972035162,0.6962025316455697,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
catboost,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.05,0.02,0.5729105998835178,0.1446880202978172,0.540084388185654,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
catboost,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.05,0.03,0.5603159580663949,0.11936129770286075,0.48523206751054854,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
catboost,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.05,0.04,0.5868884682585905,0.17745834091238655,0.3755274261603376,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
catboost,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.05,0.05,0.5895457192778102,0.23885815170071248,0.16455696202531644,1.0,"balanced_accuracy,higher_mcc,closer_to_zero"
