model,feature_set,horizon,lookback,split_strategy,seed,prediction_anchor_date,threshold_calibration_end_date,n_threshold_samples,selected_threshold,candidate_threshold,validation_balanced_accuracy,validation_mcc,validation_predicted_up_rate,is_selected,selection_rule
dlinear,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.0,0.0,0.5549650553290623,0.11395867724747591,0.6497890295358649,1.0,"balanced_accuracy,higher_mcc,closer_to_zero"
dlinear,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.0,0.01,0.5349446709376819,0.12161987956702286,0.08860759493670886,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
dlinear,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.0,0.02,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
dlinear,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.0,0.03,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
dlinear,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.0,0.04,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
dlinear,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.0,0.05,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
dlinear,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.0,0.06,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
dlinear,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.0,0.07,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
dlinear,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.0,0.08,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
dlinear,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.0,0.1,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
dlinear,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.0,0.0,0.6164458357600466,0.23836891996812576,0.37130801687763715,1.0,"balanced_accuracy,higher_mcc,closer_to_zero"
dlinear,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.0,0.01,0.5558750728013978,0.19880777918528045,0.08438818565400844,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
dlinear,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.0,0.02,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
dlinear,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.0,0.03,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
dlinear,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.0,0.04,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
dlinear,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.0,0.05,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
dlinear,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.0,0.06,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
dlinear,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.0,0.07,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
dlinear,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.0,0.08,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
dlinear,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.0,0.1,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
dlinear,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.0,0.0,0.5955518345952242,0.19606221774723392,0.6329113924050633,1.0,"balanced_accuracy,higher_mcc,closer_to_zero"
dlinear,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.0,0.01,0.4945034944670938,-0.015907241941314803,0.1350210970464135,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
dlinear,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.0,0.02,0.5198019801980198,0.15204102978341905,0.016877637130801686,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
dlinear,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.0,0.03,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
dlinear,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.0,0.04,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
dlinear,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.0,0.05,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
dlinear,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.0,0.06,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
dlinear,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.0,0.07,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
dlinear,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.0,0.08,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
dlinear,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.0,0.1,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
dlinear,full_safe,5,10,chronological_712,42,2024-06-28,2024-06-27,236,0.0,0.0,0.5741176470588236,0.1466902401847679,0.4745762711864407,1.0,"balanced_accuracy,higher_mcc,closer_to_zero"
dlinear,full_safe,5,10,chronological_712,42,2024-06-28,2024-06-27,236,0.0,0.01,0.5122058823529412,0.0391974123392775,0.1059322033898305,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
