model,feature_set,horizon,lookback,split_strategy,seed,prediction_anchor_date,threshold_calibration_end_date,n_threshold_samples,selected_threshold,candidate_threshold,validation_balanced_accuracy,validation_mcc,validation_predicted_up_rate,is_selected,selection_rule
gradient_boosting,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.01,0.0,0.55398223645894,0.11655416343275307,0.70042194092827,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
gradient_boosting,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.01,0.01,0.6023223645894001,0.2024170776935455,0.5063291139240507,1.0,"balanced_accuracy,higher_mcc,closer_to_zero"
gradient_boosting,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.01,0.02,0.5679237041351194,0.14986888469848508,0.27848101265822783,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
gradient_boosting,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.01,0.03,0.5869976703552708,0.24252585983180477,0.14767932489451477,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
gradient_boosting,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.01,0.04,0.5173995340710542,0.10164471851719407,0.029535864978902954,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
gradient_boosting,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.01,0.05,0.504950495049505,0.07553578828140897,0.004219409282700422,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
gradient_boosting,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.01,0.06,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
gradient_boosting,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.01,0.07,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
gradient_boosting,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.01,0.08,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
gradient_boosting,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.01,0.1,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
