model,feature_set,horizon,lookback,split_strategy,seed,prediction_anchor_date,threshold_calibration_end_date,n_threshold_samples,selected_threshold,candidate_threshold,validation_balanced_accuracy,validation_mcc,validation_predicted_up_rate,is_selected,selection_rule
itransformer,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.08,0.0,0.49952679091438557,-0.0009838761566271983,0.6540084388185654,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
itransformer,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.08,0.01,0.4720806639487478,-0.05607183705287863,0.5864978902953587,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
itransformer,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.08,0.02,0.47659435061153177,-0.04629843888524854,0.5021097046413502,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
itransformer,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.08,0.03,0.4579207920792079,-0.08345060507247908,0.4641350210970464,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
itransformer,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.08,0.04,0.4664021549213745,-0.06703483556686839,0.4345991561181435,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
itransformer,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.08,0.05,0.48704135119394293,-0.026526831981448194,0.37130801687763715,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
itransformer,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.08,0.06,0.5187099592312172,0.04056259416397687,0.29535864978902954,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
itransformer,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.08,0.07,0.5232236458940012,0.056296932564061715,0.2109704641350211,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
itransformer,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.08,0.08,0.5427344205008736,0.11284305806431337,0.16877637130801687,1.0,"balanced_accuracy,higher_mcc,closer_to_zero"
itransformer,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.08,0.1,0.4966147350029121,-0.0137508862882077,0.06329113924050633,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
itransformer,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.05,0.0,0.49075422248107164,-0.01888329224622798,0.6244725738396625,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
itransformer,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.05,0.01,0.4631624927198602,-0.07297705839851458,0.5274261603375527,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
itransformer,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.05,0.02,0.4838016889924287,-0.0321241516066204,0.4641350210970464,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
itransformer,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.05,0.03,0.5068433313919627,0.013888322522972233,0.3881856540084388,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
itransformer,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.05,0.04,0.5102285963890507,0.021600849194628836,0.32489451476793246,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
itransformer,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.05,0.05,0.5283197437390799,0.06514917847067889,0.24472573839662448,1.0,"balanced_accuracy,higher_mcc,closer_to_zero"
itransformer,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.05,0.06,0.5216584158415841,0.061108179713188465,0.14345991561181434,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
itransformer,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.05,0.07,0.5041132789749563,0.014635360943281231,0.08438818565400844,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
itransformer,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.05,0.08,0.49039021549213746,-0.04335027967850072,0.05063291139240506,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
itransformer,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.05,0.1,0.5148514851485149,0.13138974384637966,0.012658227848101266,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
itransformer,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.06,0.0,0.49315666860803725,-0.013888322522972233,0.6118143459915611,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
itransformer,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.06,0.01,0.44478013977868375,-0.10974680222000942,0.5485232067510548,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
itransformer,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.06,0.02,0.4617428654630169,-0.07569215938307701,0.48945147679324896,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
itransformer,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.06,0.03,0.4627256843331392,-0.07428948119370794,0.4388185654008439,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
itransformer,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.06,0.04,0.48463890506697727,-0.031238141357935446,0.38396624472573837,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
itransformer,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.06,0.05,0.5163075131042516,0.03493530336350351,0.3080168776371308,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
itransformer,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.06,0.06,0.5307221898660455,0.07197725282659796,0.2320675105485232,1.0,"balanced_accuracy,higher_mcc,closer_to_zero"
itransformer,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.06,0.07,0.5291569598136284,0.07777454451718321,0.16455696202531644,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
itransformer,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.06,0.08,0.5165623179965055,0.05241473011539446,0.10970464135021098,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
itransformer,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.06,0.1,0.5038220733838089,0.024064538804012926,0.02531645569620253,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
itransformer,full_safe,5,10,chronological_712,42,2024-06-28,2024-06-27,236,0.08,0.0,0.46676470588235297,-0.06878824267044362,0.6483050847457628,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
itransformer,full_safe,5,10,chronological_712,42,2024-06-28,2024-06-27,236,0.08,0.01,0.4738235294117647,-0.05304389170570124,0.6101694915254238,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
itransformer,full_safe,5,10,chronological_712,42,2024-06-28,2024-06-27,236,0.08,0.02,0.4732352941176471,-0.053178651011645865,0.5508474576271186,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
itransformer,full_safe,5,10,chronological_712,42,2024-06-28,2024-06-27,236,0.08,0.03,0.495,-0.009883324222148016,0.4957627118644068,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
itransformer,full_safe,5,10,chronological_712,42,2024-06-28,2024-06-27,236,0.08,0.04,0.5083823529411764,0.01659773769708894,0.4703389830508475,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
itransformer,full_safe,5,10,chronological_712,42,2024-06-28,2024-06-27,236,0.08,0.05,0.5217647058823529,0.04328345850389717,0.4449152542372881,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
itransformer,full_safe,5,10,chronological_712,42,2024-06-28,2024-06-27,236,0.08,0.06,0.553235294117647,0.10905519211602552,0.3686440677966102,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
itransformer,full_safe,5,10,chronological_712,42,2024-06-28,2024-06-27,236,0.08,0.07,0.5626470588235295,0.1329708872293718,0.3177966101694915,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
itransformer,full_safe,5,10,chronological_712,42,2024-06-28,2024-06-27,236,0.08,0.08,0.5691176470588235,0.16480781885342485,0.22033898305084745,1.0,"balanced_accuracy,higher_mcc,closer_to_zero"
itransformer,full_safe,5,10,chronological_712,42,2024-06-28,2024-06-27,236,0.08,0.1,0.514264705882353,0.05778571682771509,0.0635593220338983,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
itransformer,full_safe,5,10,chronological_712,2024,2024-06-28,2024-06-27,236,0.07,0.0,0.43941176470588234,-0.12473542659638308,0.6398305084745762,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
itransformer,full_safe,5,10,chronological_712,2024,2024-06-28,2024-06-27,236,0.07,0.01,0.42911764705882355,-0.14309665318664755,0.6016949152542372,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
itransformer,full_safe,5,10,chronological_712,2024,2024-06-28,2024-06-27,236,0.07,0.02,0.4645588235294118,-0.07041788403190469,0.5508474576271186,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
itransformer,full_safe,5,10,chronological_712,2024,2024-06-28,2024-06-27,236,0.07,0.03,0.48397058823529415,-0.031688188835859527,0.5084745762711864,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
itransformer,full_safe,5,10,chronological_712,2024,2024-06-28,2024-06-27,236,0.07,0.04,0.506029411764706,0.011924551480636342,0.4830508474576271,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
itransformer,full_safe,5,10,chronological_712,2024,2024-06-28,2024-06-27,236,0.07,0.05,0.5167647058823529,0.03337273141315371,0.4406779661016949,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
itransformer,full_safe,5,10,chronological_712,2024,2024-06-28,2024-06-27,236,0.07,0.06,0.5448529411764705,0.09054871207868777,0.3983050847457627,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
itransformer,full_safe,5,10,chronological_712,2024,2024-06-28,2024-06-27,236,0.07,0.07,0.5776470588235294,0.16313555126801554,0.3305084745762712,1.0,"balanced_accuracy,higher_mcc,closer_to_zero"
itransformer,full_safe,5,10,chronological_712,2024,2024-06-28,2024-06-27,236,0.07,0.08,0.5517647058823529,0.12343053667320328,0.22033898305084745,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
itransformer,full_safe,5,10,chronological_712,2024,2024-06-28,2024-06-27,236,0.07,0.1,0.5305882352941176,0.10854554378809259,0.0847457627118644,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
itransformer,full_safe,5,10,chronological_712,3407,2024-06-28,2024-06-27,236,0.08,0.0,0.46544117647058825,-0.07114763410230589,0.6398305084745762,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
itransformer,full_safe,5,10,chronological_712,3407,2024-06-28,2024-06-27,236,0.08,0.01,0.4775,-0.045506399477579396,0.6059322033898306,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
itransformer,full_safe,5,10,chronological_712,3407,2024-06-28,2024-06-27,236,0.08,0.02,0.4682352941176471,-0.06306051951535499,0.5466101694915254,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
itransformer,full_safe,5,10,chronological_712,3407,2024-06-28,2024-06-27,236,0.08,0.03,0.47897058823529415,-0.04156809893432842,0.5042372881355932,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
itransformer,full_safe,5,10,chronological_712,3407,2024-06-28,2024-06-27,236,0.08,0.04,0.5010294117647058,0.0020365580780336047,0.4788135593220339,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
itransformer,full_safe,5,10,chronological_712,3407,2024-06-28,2024-06-27,236,0.08,0.05,0.5267647058823529,0.053178651011645865,0.4491525423728814,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
itransformer,full_safe,5,10,chronological_712,3407,2024-06-28,2024-06-27,236,0.08,0.06,0.5264705882352941,0.05301333931899782,0.4194915254237288,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
itransformer,full_safe,5,10,chronological_712,3407,2024-06-28,2024-06-27,236,0.08,0.07,0.5555882352941176,0.1147415995832488,0.3559322033898305,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
itransformer,full_safe,5,10,chronological_712,3407,2024-06-28,2024-06-27,236,0.08,0.08,0.5720588235294117,0.16098792060956155,0.2669491525423729,1.0,"balanced_accuracy,higher_mcc,closer_to_zero"
itransformer,full_safe,5,10,chronological_712,3407,2024-06-28,2024-06-27,236,0.08,0.1,0.5642647058823529,0.206376737256196,0.1059322033898305,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
