horizon,lookback,split_strategy,seed,train_start_date,train_end_date,train_max_target_date,validation_start_date,validation_end_date,test_start_date,test_end_date,prediction_anchor_date,prediction_target_date,n_train,n_predictions,fixed_split_threshold_source,threshold_calibration_max_target_date,n_threshold_samples,selected_feature_count,selected_columns_hash
5,5,chronological_712,42,2016-07-05,2023-06-16,2023-06-27,2023-06-28,2024-06-19,2024-06-27,2026-06-18,2024-06-27,2024-07-04,1691,479,validation,2024-06-26,237,370,968ef837b11e4dc3e825441b5ee64eaad28d26797f4e919878ee83a89b29f3f2
5,5,chronological_712,2024,2016-07-05,2023-06-16,2023-06-27,2023-06-28,2024-06-19,2024-06-27,2026-06-18,2024-06-27,2024-07-04,1691,479,validation,2024-06-26,237,370,968ef837b11e4dc3e825441b5ee64eaad28d26797f4e919878ee83a89b29f3f2
5,5,chronological_712,3407,2016-07-05,2023-06-16,2023-06-27,2023-06-28,2024-06-19,2024-06-27,2026-06-18,2024-06-27,2024-07-04,1691,479,validation,2024-06-26,237,370,968ef837b11e4dc3e825441b5ee64eaad28d26797f4e919878ee83a89b29f3f2
5,10,chronological_712,42,2016-07-12,2023-06-20,2023-06-29,2023-06-30,2024-06-20,2024-06-28,2026-06-18,2024-06-28,2024-07-05,1688,478,validation,2024-06-27,236,740,458fc603316c5348be0b4210d0203cda94d7901b4416e4cae0302da6b2d71970
5,10,chronological_712,2024,2016-07-12,2023-06-20,2023-06-29,2023-06-30,2024-06-20,2024-06-28,2026-06-18,2024-06-28,2024-07-05,1688,478,validation,2024-06-27,236,740,458fc603316c5348be0b4210d0203cda94d7901b4416e4cae0302da6b2d71970
5,10,chronological_712,3407,2016-07-12,2023-06-20,2023-06-29,2023-06-30,2024-06-20,2024-06-28,2026-06-18,2024-06-28,2024-07-05,1688,478,validation,2024-06-27,236,740,458fc603316c5348be0b4210d0203cda94d7901b4416e4cae0302da6b2d71970
5,15,chronological_712,42,2016-07-19,2023-06-21,2023-06-30,2023-07-03,2024-06-21,2024-07-01,2026-06-18,2024-07-01,2024-07-08,1684,477,validation,2024-06-28,236,1110,05ca6b1dcb0054f0be32c0269822f920d83fed0dead6931378d4d6c8b12850b0
5,15,chronological_712,2024,2016-07-19,2023-06-21,2023-06-30,2023-07-03,2024-06-21,2024-07-01,2026-06-18,2024-07-01,2024-07-08,1684,477,validation,2024-06-28,236,1110,05ca6b1dcb0054f0be32c0269822f920d83fed0dead6931378d4d6c8b12850b0
5,15,chronological_712,3407,2016-07-19,2023-06-21,2023-06-30,2023-07-03,2024-06-21,2024-07-01,2026-06-18,2024-07-01,2024-07-08,1684,477,validation,2024-06-28,236,1110,05ca6b1dcb0054f0be32c0269822f920d83fed0dead6931378d4d6c8b12850b0
5,20,chronological_712,42,2016-07-26,2023-06-27,2023-07-04,2023-07-05,2024-06-24,2024-07-02,2026-06-18,2024-07-02,2024-07-09,1681,476,validation,2024-07-01,235,1480,3669c30094fe33037a8b4ce150194fe4eef23b1615ddb71939bb2935f13ddd8c
