model,feature_set,horizon,lookback,split_strategy,seed,prediction_anchor_date,threshold_calibration_end_date,n_threshold_samples,selected_threshold,candidate_threshold,validation_balanced_accuracy,validation_mcc,validation_predicted_up_rate,is_selected,selection_rule
knn,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.0,0.0,0.5621723937099592,0.1261768876023222,0.6118143459915611,1.0,"balanced_accuracy,higher_mcc,closer_to_zero"
knn,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.0,0.01,0.5385483401281305,0.07700144034311991,0.569620253164557,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
knn,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.0,0.02,0.5222772277227723,0.04409773666392956,0.5189873417721519,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
knn,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.0,0.03,0.5306129877693652,0.0607501872543506,0.459915611814346,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
knn,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.0,0.04,0.5488497379149679,0.09825903390538046,0.4092827004219409,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
knn,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.0,0.05,0.5436080372743157,0.09066797197226027,0.3459915611814346,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
knn,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.0,0.06,0.513905066977286,0.029465477789891732,0.3206751054852321,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
knn,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.0,0.07,0.5136138613861386,0.03063561422093842,0.2616033755274262,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
knn,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.0,0.08,0.509646185206756,0.023558019027164045,0.20675105485232068,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
knn,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.0,0.1,0.4858765288293535,-0.040874237571060554,0.1350210970464135,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
knn,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.0,0.0,0.5621723937099592,0.1261768876023222,0.6118143459915611,1.0,"balanced_accuracy,higher_mcc,closer_to_zero"
