horizon,lookback,split_tuning_skeleton,seed,validation_rmse,selected_feature_count,best_epoch,n_neighbors,weights
5,5,chronological_712,42,238.77140348534803,370,,5,uniform
5,5,chronological_712,42,241.33704407470321,370,,5,distance
5,5,chronological_712,42,190.80228154371704,370,,15,uniform
5,5,chronological_712,42,192.39022869995662,370,,15,distance
5,5,chronological_712,2024,238.77140348534803,370,,5,uniform
5,5,chronological_712,2024,241.33704407470321,370,,5,distance
5,5,chronological_712,2024,190.80228154371704,370,,15,uniform
5,5,chronological_712,2024,192.39022869995662,370,,15,distance
5,5,chronological_712,3407,238.77140348534803,370,,5,uniform
5,5,chronological_712,3407,241.33704407470321,370,,5,distance
5,5,chronological_712,3407,190.80228154371704,370,,15,uniform
5,5,chronological_712,3407,192.39022869995662,370,,15,distance
5,10,chronological_712,42,239.61748436530945,740,,5,uniform
5,10,chronological_712,42,240.86821335073648,740,,5,distance
5,10,chronological_712,42,200.67145047510257,740,,15,uniform
5,10,chronological_712,42,202.34431926381887,740,,15,distance
5,10,chronological_712,2024,239.61748436530945,740,,5,uniform
5,10,chronological_712,2024,240.86821335073648,740,,5,distance
5,10,chronological_712,2024,200.67145047510257,740,,15,uniform
5,10,chronological_712,2024,202.34431926381887,740,,15,distance
5,10,chronological_712,3407,239.61748436530945,740,,5,uniform
5,10,chronological_712,3407,240.86821335073648,740,,5,distance
5,10,chronological_712,3407,200.67145047510257,740,,15,uniform
5,10,chronological_712,3407,202.34431926381887,740,,15,distance
5,15,chronological_712,42,239.97785385110657,1110,,5,uniform
5,15,chronological_712,42,240.93984605360467,1110,,5,distance
5,15,chronological_712,42,200.15584690647302,1110,,15,uniform
5,15,chronological_712,42,202.05255311996928,1110,,15,distance
5,15,chronological_712,2024,239.97785385110657,1110,,5,uniform
5,15,chronological_712,2024,240.93984605360467,1110,,5,distance
5,15,chronological_712,2024,200.15584690647302,1110,,15,uniform
5,15,chronological_712,2024,202.05255311996928,1110,,15,distance
5,15,chronological_712,3407,239.97785385110657,1110,,5,uniform
5,15,chronological_712,3407,240.93984605360467,1110,,5,distance
5,15,chronological_712,3407,200.15584690647302,1110,,15,uniform
5,15,chronological_712,3407,202.05255311996928,1110,,15,distance
5,20,chronological_712,42,254.6651471864365,1480,,5,uniform
5,20,chronological_712,42,255.13355311279855,1480,,5,distance
5,20,chronological_712,42,213.04549762137097,1480,,15,uniform
5,20,chronological_712,42,214.74947526802367,1480,,15,distance
5,20,chronological_712,2024,254.6651471864365,1480,,5,uniform
5,20,chronological_712,2024,255.13355311279855,1480,,5,distance
5,20,chronological_712,2024,213.04549762137097,1480,,15,uniform
5,20,chronological_712,2024,214.74947526802367,1480,,15,distance
5,20,chronological_712,3407,254.6651471864365,1480,,5,uniform
5,20,chronological_712,3407,255.13355311279855,1480,,5,distance
5,20,chronological_712,3407,213.04549762137097,1480,,15,uniform
5,20,chronological_712,3407,214.74947526802367,1480,,15,distance
10,5,chronological_712,42,232.15732052179933,370,,5,uniform
10,5,chronological_712,42,234.5464939313618,370,,5,distance
10,5,chronological_712,42,187.0351542297568,370,,15,uniform
10,5,chronological_712,42,188.1012016967251,370,,15,distance
10,5,chronological_712,2024,232.15732052179933,370,,5,uniform
10,5,chronological_712,2024,234.5464939313618,370,,5,distance
10,5,chronological_712,2024,187.0351542297568,370,,15,uniform
10,5,chronological_712,2024,188.1012016967251,370,,15,distance
10,5,chronological_712,3407,232.15732052179933,370,,5,uniform
10,5,chronological_712,3407,234.5464939313618,370,,5,distance
10,5,chronological_712,3407,187.0351542297568,370,,15,uniform
10,5,chronological_712,3407,188.1012016967251,370,,15,distance
10,10,chronological_712,42,244.66231485802692,740,,5,uniform
10,10,chronological_712,42,245.9870359431571,740,,5,distance
10,10,chronological_712,42,206.90849808571562,740,,15,uniform
10,10,chronological_712,42,208.42304138494794,740,,15,distance
10,10,chronological_712,2024,244.66231485802692,740,,5,uniform
10,10,chronological_712,2024,245.9870359431571,740,,5,distance
10,10,chronological_712,2024,206.90849808571562,740,,15,uniform
10,10,chronological_712,2024,208.42304138494794,740,,15,distance
10,10,chronological_712,3407,244.66231485802692,740,,5,uniform
10,10,chronological_712,3407,245.9870359431571,740,,5,distance
10,10,chronological_712,3407,206.90849808571562,740,,15,uniform
10,10,chronological_712,3407,208.42304138494794,740,,15,distance
10,15,chronological_712,42,248.01203757601908,1110,,5,uniform
10,15,chronological_712,42,248.75315352667388,1110,,5,distance
10,15,chronological_712,42,211.12459343167677,1110,,15,uniform
10,15,chronological_712,42,212.7762785753185,1110,,15,distance
10,15,chronological_712,2024,248.01203757601908,1110,,5,uniform
10,15,chronological_712,2024,248.75315352667388,1110,,5,distance
10,15,chronological_712,2024,211.12459343167677,1110,,15,uniform
10,15,chronological_712,2024,212.7762785753185,1110,,15,distance
10,15,chronological_712,3407,248.01203757601908,1110,,5,uniform
10,15,chronological_712,3407,248.75315352667388,1110,,5,distance
10,15,chronological_712,3407,211.12459343167677,1110,,15,uniform
10,15,chronological_712,3407,212.7762785753185,1110,,15,distance
10,20,chronological_712,42,264.88893193349844,1480,,5,uniform
10,20,chronological_712,42,265.13482436180345,1480,,5,distance
10,20,chronological_712,42,221.6349370774683,1480,,15,uniform
10,20,chronological_712,42,223.24477620713182,1480,,15,distance
10,20,chronological_712,2024,264.88893193349844,1480,,5,uniform
10,20,chronological_712,2024,265.13482436180345,1480,,5,distance
10,20,chronological_712,2024,221.6349370774683,1480,,15,uniform
10,20,chronological_712,2024,223.24477620713182,1480,,15,distance
10,20,chronological_712,3407,264.88893193349844,1480,,5,uniform
10,20,chronological_712,3407,265.13482436180345,1480,,5,distance
10,20,chronological_712,3407,221.6349370774683,1480,,15,uniform
10,20,chronological_712,3407,223.24477620713182,1480,,15,distance
15,5,chronological_712,42,235.2433253546077,370,,5,uniform
15,5,chronological_712,42,237.48800489957702,370,,5,distance
15,5,chronological_712,42,188.64023476207677,370,,15,uniform
15,5,chronological_712,42,189.46256805130355,370,,15,distance
15,5,chronological_712,2024,235.2433253546077,370,,5,uniform
15,5,chronological_712,2024,237.48800489957702,370,,5,distance
15,5,chronological_712,2024,188.64023476207677,370,,15,uniform
15,5,chronological_712,2024,189.46256805130355,370,,15,distance
15,5,chronological_712,3407,235.2433253546077,370,,5,uniform
15,5,chronological_712,3407,237.48800489957702,370,,5,distance
15,5,chronological_712,3407,188.64023476207677,370,,15,uniform
15,5,chronological_712,3407,189.46256805130355,370,,15,distance
15,10,chronological_712,42,251.92004622278256,740,,5,uniform
15,10,chronological_712,42,252.93712792193008,740,,5,distance
15,10,chronological_712,42,213.0581506665072,740,,15,uniform
15,10,chronological_712,42,214.45249869058486,740,,15,distance
15,10,chronological_712,2024,251.92004622278256,740,,5,uniform
15,10,chronological_712,2024,252.93712792193008,740,,5,distance
15,10,chronological_712,2024,213.0581506665072,740,,15,uniform
15,10,chronological_712,2024,214.45249869058486,740,,15,distance
15,10,chronological_712,3407,251.92004622278256,740,,5,uniform
15,10,chronological_712,3407,252.93712792193008,740,,5,distance
15,10,chronological_712,3407,213.0581506665072,740,,15,uniform
15,10,chronological_712,3407,214.45249869058486,740,,15,distance
15,15,chronological_712,42,254.8087554748986,1110,,5,uniform
