model,feature_set,horizon,lookback,split_strategy,seed,prediction_anchor_date,threshold_calibration_end_date,n_threshold_samples,selected_threshold,candidate_threshold,validation_balanced_accuracy,validation_mcc,validation_predicted_up_rate,is_selected,selection_rule
lightgbm,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.04,0.0,0.5542734420500873,0.1255954256134569,0.759493670886076,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lightgbm,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.04,0.01,0.5805547466511357,0.16203222208092918,0.5907172995780591,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lightgbm,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.04,0.02,0.5529630168899243,0.10477298044970071,0.4936708860759494,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lightgbm,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.04,0.03,0.5733110075713453,0.15007033598493444,0.37130801687763715,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lightgbm,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.04,0.04,0.5909653465346535,0.22386417258412894,0.20253164556962025,1.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lightgbm,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.04,0.05,0.5486677344205009,0.1468826839744168,0.12236286919831224,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lightgbm,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.04,0.06,0.5248980780430984,0.11231663371247913,0.05063291139240506,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lightgbm,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.04,0.07,0.504950495049505,0.07553578828140897,0.004219409282700422,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lightgbm,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.04,0.08,0.504950495049505,0.07553578828140897,0.004219409282700422,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lightgbm,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.04,0.1,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lightgbm,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.04,0.0,0.554419044845661,0.131918360788828,0.7890295358649789,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lightgbm,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.04,0.01,0.5955518345952242,0.19606221774723392,0.6329113924050633,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lightgbm,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.04,0.02,0.5579135119394292,0.11455803462897422,0.4978902953586498,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lightgbm,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.04,0.03,0.5573311007571345,0.11683433607048929,0.379746835443038,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lightgbm,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.04,0.04,0.6131697728596389,0.27638445719038873,0.20675105485232068,1.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lightgbm,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.04,0.05,0.5660672684915551,0.18205273559731713,0.1518987341772152,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lightgbm,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.04,0.06,0.531122597553873,0.12641943845610304,0.06329113924050633,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lightgbm,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.04,0.07,0.504950495049505,0.07553578828140897,0.004219409282700422,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lightgbm,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.04,0.08,0.504950495049505,0.07553578828140897,0.004219409282700422,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lightgbm,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.04,0.1,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lightgbm,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.04,0.0,0.5493229470005825,0.11346675684803327,0.7552742616033755,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lightgbm,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.04,0.01,0.6053072218986605,0.21371764393063122,0.6118143459915611,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lightgbm,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.04,0.02,0.5579135119394292,0.11455803462897422,0.4978902953586498,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lightgbm,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.04,0.03,0.5771330809551543,0.15594407192965143,0.39662447257383965,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lightgbm,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.04,0.04,0.6072364589400117,0.24391603014602906,0.25316455696202533,1.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lightgbm,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.04,0.05,0.5734202096680256,0.20715159408655653,0.14345991561181434,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lightgbm,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.04,0.06,0.5261721025043681,0.10979493348389077,0.05907172995780591,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lightgbm,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.04,0.07,0.5198019801980198,0.15204102978341905,0.016877637130801686,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lightgbm,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.04,0.08,0.504950495049505,0.07553578828140897,0.004219409282700422,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lightgbm,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.04,0.1,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lightgbm,full_safe,5,10,chronological_712,42,2024-06-28,2024-06-27,236,0.03,0.0,0.5476470588235294,0.11887207153165745,0.8050847457627118,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lightgbm,full_safe,5,10,chronological_712,42,2024-06-28,2024-06-27,236,0.03,0.01,0.5895588235294118,0.18642299085717656,0.6567796610169492,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lightgbm,full_safe,5,10,chronological_712,42,2024-06-28,2024-06-27,236,0.03,0.02,0.5663235294117648,0.1321668825095673,0.5635593220338984,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lightgbm,full_safe,5,10,chronological_712,42,2024-06-28,2024-06-27,236,0.03,0.03,0.5961764705882353,0.19109251517371648,0.4491525423728814,1.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lightgbm,full_safe,5,10,chronological_712,42,2024-06-28,2024-06-27,236,0.03,0.04,0.5779411764705883,0.16046062159243454,0.3601694915254237,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lightgbm,full_safe,5,10,chronological_712,42,2024-06-28,2024-06-27,236,0.03,0.05,0.5880882352941177,0.19885358164951294,0.2584745762711864,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lightgbm,full_safe,5,10,chronological_712,42,2024-06-28,2024-06-27,236,0.03,0.06,0.5808823529411764,0.21984967421668297,0.15677966101694915,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lightgbm,full_safe,5,10,chronological_712,42,2024-06-28,2024-06-27,236,0.03,0.07,0.5402941176470588,0.1632297568123086,0.0635593220338983,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lightgbm,full_safe,5,10,chronological_712,42,2024-06-28,2024-06-27,236,0.03,0.08,0.5226470588235295,0.12367981899412284,0.03389830508474576,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lightgbm,full_safe,5,10,chronological_712,42,2024-06-28,2024-06-27,236,0.03,0.1,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lightgbm,full_safe,5,10,chronological_712,2024,2024-06-28,2024-06-27,236,0.06,0.0,0.5576470588235294,0.14628495133650038,0.8135593220338984,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lightgbm,full_safe,5,10,chronological_712,2024,2024-06-28,2024-06-27,236,0.06,0.01,0.5808823529411764,0.16836230701387045,0.6567796610169492,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lightgbm,full_safe,5,10,chronological_712,2024,2024-06-28,2024-06-27,236,0.06,0.02,0.575,0.1494570068290007,0.5635593220338984,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lightgbm,full_safe,5,10,chronological_712,2024,2024-06-28,2024-06-27,236,0.06,0.03,0.5814705882352942,0.16140563276129,0.4661016949152542,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lightgbm,full_safe,5,10,chronological_712,2024,2024-06-28,2024-06-27,236,0.06,0.04,0.5792647058823529,0.16237775842689986,0.3686440677966102,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lightgbm,full_safe,5,10,chronological_712,2024,2024-06-28,2024-06-27,236,0.06,0.05,0.5880882352941177,0.19885358164951294,0.2584745762711864,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lightgbm,full_safe,5,10,chronological_712,2024,2024-06-28,2024-06-27,236,0.06,0.06,0.5908823529411764,0.2418319042495171,0.1652542372881356,1.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lightgbm,full_safe,5,10,chronological_712,2024,2024-06-28,2024-06-27,236,0.06,0.07,0.5366176470588235,0.14395228153207149,0.06779661016949153,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lightgbm,full_safe,5,10,chronological_712,2024,2024-06-28,2024-06-27,236,0.06,0.08,0.5226470588235295,0.12367981899412284,0.03389830508474576,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lightgbm,full_safe,5,10,chronological_712,2024,2024-06-28,2024-06-27,236,0.06,0.1,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
