model,feature_set,horizon,lookback,split_strategy,seed,prediction_anchor_date,threshold_calibration_end_date,n_threshold_samples,selected_threshold,candidate_threshold,validation_balanced_accuracy,validation_mcc,validation_predicted_up_rate,is_selected,selection_rule
lnn,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.04,0.0,0.550851776354106,0.10146009240185822,0.5654008438818565,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lnn,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.04,0.01,0.5384027373325568,0.07620861778042792,0.540084388185654,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lnn,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.04,0.02,0.5836488060570763,0.16579564602798325,0.46835443037974683,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lnn,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.04,0.03,0.6127693651718114,0.23031669046777276,0.3755274261603376,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lnn,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.04,0.04,0.6145894001164822,0.2636113288248035,0.24472573839662448,1.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lnn,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.04,0.05,0.5486677344205009,0.1468826839744168,0.12236286919831224,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lnn,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.04,0.06,0.5223500291205592,0.12239833086037304,0.03375527426160337,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lnn,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.04,0.07,0.504950495049505,0.07553578828140897,0.004219409282700422,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lnn,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.04,0.08,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lnn,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.04,0.1,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lnn,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.02,0.0,0.5541278392545137,0.12057792027382853,0.729957805907173,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lnn,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.02,0.01,0.5637376237623762,0.13506296233010584,0.679324894514768,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lnn,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.02,0.02,0.5756042516016308,0.15183990294501815,0.5864978902953587,1.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lnn,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.02,0.03,0.542770821199767,0.08554164239953407,0.42616033755274263,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lnn,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.02,0.04,0.5592967384973792,0.13083409066121768,0.27848101265822783,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lnn,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.02,0.05,0.5079353523587653,0.02511299157177141,0.10970464135021098,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lnn,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.02,0.06,0.4902446126965638,-0.06713912212353397,0.02109704641350211,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
