model,feature_set,horizon,lookback,split_strategy,seed,prediction_anchor_date,threshold_calibration_end_date,n_threshold_samples,selected_threshold,candidate_threshold,validation_balanced_accuracy,validation_mcc,validation_predicted_up_rate,is_selected,selection_rule
lstm,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.0,0.0,0.5481217239370996,0.1082895240643866,0.2616033755274262,1.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lstm,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.0,0.01,0.5165623179965055,0.05241473011539446,0.10970464135021098,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lstm,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.0,0.02,0.5063701223063483,0.03133971040254479,0.04219409282700422,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lstm,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.0,0.03,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lstm,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.0,0.04,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lstm,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.0,0.05,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lstm,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.0,0.06,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lstm,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.0,0.07,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lstm,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.0,0.08,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lstm,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.0,0.1,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lstm,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.0,0.0,0.6020311589982528,0.2029571595765383,0.4472573839662447,1.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lstm,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.0,0.01,0.5691977285963891,0.15130530910998696,0.2869198312236287,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lstm,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.0,0.02,0.5411691904484566,0.1349699357893505,0.10126582278481013,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lstm,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.0,0.03,0.5076441467676179,0.034483177016989205,0.05063291139240506,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lstm,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.0,0.04,0.4963235294117647,-0.05609643100310519,0.004219409282700422,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lstm,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.0,0.05,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lstm,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.0,0.06,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lstm,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.0,0.07,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lstm,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.0,0.08,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lstm,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.0,0.1,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lstm,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.05,0.0,0.48449330227140364,-0.03206225763772079,0.35443037974683544,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lstm,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.05,0.01,0.4823456610366919,-0.04661744732639862,0.16877637130801687,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lstm,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.05,0.02,0.4990171811298777,-0.004433551330755755,0.05063291139240506,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lstm,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.05,0.03,0.4889705882352941,-0.09757620682709077,0.012658227848101266,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lstm,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.05,0.04,0.4963235294117647,-0.05609643100310519,0.004219409282700422,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lstm,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.05,0.05,0.5,0.0,0.0,1.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lstm,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.05,0.06,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lstm,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.05,0.07,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lstm,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.05,0.08,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lstm,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.05,0.1,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lstm,full_safe,5,10,chronological_712,42,2024-06-28,2024-06-27,236,0.0,0.0,0.5394117647058824,0.09333872228050694,0.2245762711864407,1.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lstm,full_safe,5,10,chronological_712,42,2024-06-28,2024-06-27,236,0.0,0.01,0.5369117647058823,0.12300153716274939,0.09745762711864407,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lstm,full_safe,5,10,chronological_712,42,2024-06-28,2024-06-27,236,0.0,0.02,0.5129411764705882,0.056059484728038074,0.05508474576271186,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lstm,full_safe,5,10,chronological_712,42,2024-06-28,2024-06-27,236,0.0,0.03,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lstm,full_safe,5,10,chronological_712,42,2024-06-28,2024-06-27,236,0.0,0.04,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lstm,full_safe,5,10,chronological_712,42,2024-06-28,2024-06-27,236,0.0,0.05,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lstm,full_safe,5,10,chronological_712,42,2024-06-28,2024-06-27,236,0.0,0.06,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lstm,full_safe,5,10,chronological_712,42,2024-06-28,2024-06-27,236,0.0,0.07,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
