horizon,lookback,split_tuning_skeleton,seed,validation_rmse,selected_feature_count,best_epoch,hidden_size,learning_rate
5,5,chronological_712,42,76.80574688559759,370,5,32,0.001
5,5,chronological_712,42,75.71226399990306,370,20,32,0.0005
5,5,chronological_712,42,61.712223748839584,370,15,64,0.001
5,5,chronological_712,42,58.52836875295316,370,16,64,0.0005
5,5,chronological_712,2024,64.49299142456229,370,6,32,0.001
5,5,chronological_712,2024,67.19398409804644,370,26,32,0.0005
5,5,chronological_712,2024,53.994812369291985,370,5,64,0.001
5,5,chronological_712,2024,52.10265432419208,370,8,64,0.0005
5,5,chronological_712,3407,72.62631605559204,370,18,32,0.001
5,5,chronological_712,3407,72.56058198677488,370,28,32,0.0005
5,5,chronological_712,3407,62.41440168390131,370,3,64,0.001
5,5,chronological_712,3407,69.75543430204901,370,14,64,0.0005
5,10,chronological_712,42,75.56704690438535,740,5,32,0.001
5,10,chronological_712,42,74.25652464384028,740,34,32,0.0005
5,10,chronological_712,42,59.99113660844799,740,11,64,0.001
5,10,chronological_712,42,57.99855313851378,740,12,64,0.0005
5,10,chronological_712,2024,62.93752618552153,740,6,32,0.001
5,10,chronological_712,2024,67.81909173975109,740,22,32,0.0005
5,10,chronological_712,2024,56.20767774386547,740,5,64,0.001
5,10,chronological_712,2024,60.72908299218266,740,6,64,0.0005
5,10,chronological_712,3407,76.14668765784027,740,6,32,0.001
5,10,chronological_712,3407,77.24734879557326,740,22,32,0.0005
5,10,chronological_712,3407,65.79595543919768,740,6,64,0.001
5,10,chronological_712,3407,70.9276304548138,740,8,64,0.0005
5,15,chronological_712,42,77.03040079576986,1110,5,32,0.001
5,15,chronological_712,42,73.58525553427705,1110,21,32,0.0005
5,15,chronological_712,42,59.35550417822491,1110,11,64,0.001
5,15,chronological_712,42,57.739755629764176,1110,12,64,0.0005
5,15,chronological_712,2024,63.426714384981814,1110,6,32,0.001
5,15,chronological_712,2024,68.48810450325105,1110,22,32,0.0005
5,15,chronological_712,2024,56.11646858673912,1110,5,64,0.001
5,15,chronological_712,2024,63.308172098727226,1110,4,64,0.0005
5,15,chronological_712,3407,77.09550740854121,1110,6,32,0.001
5,15,chronological_712,3407,78.39822030569823,1110,24,32,0.0005
5,15,chronological_712,3407,68.91475593205067,1110,6,64,0.001
5,15,chronological_712,3407,71.72141400357198,1110,8,64,0.0005
5,20,chronological_712,42,75.6976570585014,1480,5,32,0.001
5,20,chronological_712,42,71.13348799981942,1480,21,32,0.0005
5,20,chronological_712,42,57.115523512509554,1480,11,64,0.001
5,20,chronological_712,42,55.950138317583686,1480,12,64,0.0005
5,20,chronological_712,2024,63.102177956605715,1480,6,32,0.001
5,20,chronological_712,2024,66.65104757361081,1480,28,32,0.0005
5,20,chronological_712,2024,58.065013512550024,1480,3,64,0.001
5,20,chronological_712,2024,61.38345086949969,1480,8,64,0.0005
5,20,chronological_712,3407,76.44927531992434,1480,8,32,0.001
5,20,chronological_712,3407,77.64375451664321,1480,28,32,0.0005
5,20,chronological_712,3407,66.00711345585171,1480,5,64,0.001
5,20,chronological_712,3407,70.8486618490413,1480,8,64,0.0005
10,5,chronological_712,42,67.58651161717725,370,7,32,0.001
10,5,chronological_712,42,71.73975485501016,370,20,32,0.0005
10,5,chronological_712,42,62.27474600432515,370,7,64,0.001
10,5,chronological_712,42,58.795740662907946,370,10,64,0.0005
10,5,chronological_712,2024,65.5658700993726,370,6,32,0.001
10,5,chronological_712,2024,71.21085923970155,370,22,32,0.0005
10,5,chronological_712,2024,57.28425071486627,370,3,64,0.001
10,5,chronological_712,2024,55.526623307195976,370,6,64,0.0005
10,5,chronological_712,3407,75.02296230309082,370,8,32,0.001
10,5,chronological_712,3407,76.02318514277762,370,18,32,0.0005
10,5,chronological_712,3407,59.968423079922125,370,4,64,0.001
10,5,chronological_712,3407,63.6496634440042,370,6,64,0.0005
10,10,chronological_712,42,65.93470520872086,740,5,32,0.001
10,10,chronological_712,42,71.57465249302028,740,19,32,0.0005
10,10,chronological_712,42,62.24612279310114,740,7,64,0.001
10,10,chronological_712,42,59.04516735037323,740,8,64,0.0005
10,10,chronological_712,2024,63.43597144260148,740,3,32,0.001
10,10,chronological_712,2024,72.35259470110721,740,20,32,0.0005
10,10,chronological_712,2024,56.661857750092864,740,6,64,0.001
10,10,chronological_712,2024,54.739482444092346,740,6,64,0.0005
10,10,chronological_712,3407,75.5200327870467,740,8,32,0.001
10,10,chronological_712,3407,80.30097890119232,740,14,32,0.0005
10,10,chronological_712,3407,62.17264833399635,740,3,64,0.001
10,10,chronological_712,3407,64.49081712934492,740,7,64,0.0005
10,15,chronological_712,42,62.95172973800957,1110,5,32,0.001
10,15,chronological_712,42,68.14961667523562,1110,19,32,0.0005
10,15,chronological_712,42,60.27551433004396,1110,7,64,0.001
10,15,chronological_712,42,56.595941258149104,1110,8,64,0.0005
10,15,chronological_712,2024,61.18333775418128,1110,3,32,0.001
10,15,chronological_712,2024,70.68100446696636,1110,14,32,0.0005
10,15,chronological_712,2024,55.29815143584204,1110,5,64,0.001
10,15,chronological_712,2024,54.49518708989179,1110,6,64,0.0005
