model,feature_set,horizon,lookback,split_strategy,seed,prediction_anchor_date,threshold_calibration_end_date,n_threshold_samples,selected_threshold,candidate_threshold,validation_balanced_accuracy,validation_mcc,validation_predicted_up_rate,is_selected,selection_rule
mafs,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.0,0.0,0.5993739079790332,0.2072181047927599,0.6582278481012658,1.0,"balanced_accuracy,higher_mcc,closer_to_zero"
mafs,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.0,0.01,0.5910017472335469,0.18058914165978182,0.459915611814346,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
mafs,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.0,0.02,0.5622451951077461,0.18514848776888923,0.12658227848101267,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
mafs,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.0,0.03,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
mafs,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.0,0.04,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
mafs,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.0,0.05,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
mafs,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.0,0.06,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
mafs,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.0,0.07,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
mafs,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.0,0.08,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
mafs,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.0,0.1,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
mafs,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.0,0.0,0.5608983692486896,0.12312148765375501,0.6033755274261603,1.0,"balanced_accuracy,higher_mcc,closer_to_zero"
mafs,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.0,0.01,0.5309041933605125,0.061174801352412086,0.5189873417721519,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
mafs,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.0,0.02,0.5420428072218987,0.0927645025866829,0.27848101265822783,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
mafs,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.0,0.03,0.5488133372160745,0.13450838481322439,0.1518987341772152,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
mafs,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.0,0.04,0.5076441467676179,0.034483177016989205,0.05063291139240506,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
mafs,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.0,0.05,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
mafs,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.0,0.06,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
mafs,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.0,0.07,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
mafs,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.0,0.08,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
mafs,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.0,0.1,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
mafs,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.01,0.0,0.5751674432149096,0.14868783250083706,0.4978902953586498,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
mafs,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.01,0.01,0.6184114735002912,0.26377940460710436,0.270042194092827,1.0,"balanced_accuracy,higher_mcc,closer_to_zero"
mafs,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.01,0.02,0.5050960978450786,0.027908414202690923,0.03375527426160337,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
mafs,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.01,0.03,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
mafs,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.01,0.04,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
mafs,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.01,0.05,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
mafs,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.01,0.06,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
mafs,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.01,0.07,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
mafs,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.01,0.08,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
mafs,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.01,0.1,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
mafs,full_safe,5,10,chronological_712,42,2024-06-28,2024-06-27,236,0.0,0.0,0.595735294117647,0.18956363580359473,0.5296610169491526,1.0,"balanced_accuracy,higher_mcc,closer_to_zero"
mafs,full_safe,5,10,chronological_712,42,2024-06-28,2024-06-27,236,0.0,0.01,0.5513235294117647,0.11059737459544319,0.3008474576271186,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
mafs,full_safe,5,10,chronological_712,42,2024-06-28,2024-06-27,236,0.0,0.02,0.5625,0.1614930947029026,0.17796610169491525,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
mafs,full_safe,5,10,chronological_712,42,2024-06-28,2024-06-27,236,0.0,0.03,0.5316176470588235,0.12808174348411078,0.0635593220338983,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
mafs,full_safe,5,10,chronological_712,42,2024-06-28,2024-06-27,236,0.0,0.04,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
mafs,full_safe,5,10,chronological_712,42,2024-06-28,2024-06-27,236,0.0,0.05,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
mafs,full_safe,5,10,chronological_712,42,2024-06-28,2024-06-27,236,0.0,0.06,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
mafs,full_safe,5,10,chronological_712,42,2024-06-28,2024-06-27,236,0.0,0.07,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
mafs,full_safe,5,10,chronological_712,42,2024-06-28,2024-06-27,236,0.0,0.08,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
mafs,full_safe,5,10,chronological_712,42,2024-06-28,2024-06-27,236,0.0,0.1,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
mafs,full_safe,5,10,chronological_712,2024,2024-06-28,2024-06-27,236,0.01,0.0,0.5545588235294118,0.11150446363794854,0.6271186440677966,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
mafs,full_safe,5,10,chronological_712,2024,2024-06-28,2024-06-27,236,0.01,0.01,0.5723529411764705,0.14363785000719748,0.5466101694915254,1.0,"balanced_accuracy,higher_mcc,closer_to_zero"
mafs,full_safe,5,10,chronological_712,2024,2024-06-28,2024-06-27,236,0.01,0.02,0.5435294117647059,0.0882078199150987,0.3898305084745763,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
mafs,full_safe,5,10,chronological_712,2024,2024-06-28,2024-06-27,236,0.01,0.03,0.5675,0.17281854340798067,0.18220338983050846,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
mafs,full_safe,5,10,chronological_712,2024,2024-06-28,2024-06-27,236,0.01,0.04,0.49529411764705883,-0.029546155030178607,0.025423728813559324,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
mafs,full_safe,5,10,chronological_712,2024,2024-06-28,2024-06-27,236,0.01,0.05,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
mafs,full_safe,5,10,chronological_712,2024,2024-06-28,2024-06-27,236,0.01,0.06,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
mafs,full_safe,5,10,chronological_712,2024,2024-06-28,2024-06-27,236,0.01,0.07,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
mafs,full_safe,5,10,chronological_712,2024,2024-06-28,2024-06-27,236,0.01,0.08,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
