model,feature_set,horizon,lookback,split_strategy,seed,prediction_anchor_date,threshold_calibration_end_date,n_threshold_samples,selected_threshold,candidate_threshold,validation_balanced_accuracy,validation_mcc,validation_predicted_up_rate,is_selected,selection_rule
patchtst,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.0,0.0,0.5503057658707047,0.10906129403621796,0.7046413502109705,1.0,"balanced_accuracy,higher_mcc,closer_to_zero"
patchtst,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.0,0.01,0.5402591729761211,0.08446618840169169,0.6666666666666666,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
patchtst,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.0,0.02,0.5300669772859639,0.060679770759477246,0.5991561181434599,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
patchtst,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.0,0.03,0.5159071054164239,0.031499323853418894,0.4767932489451477,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
patchtst,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.0,0.04,0.5042952824694233,0.008792601611828333,0.37130801687763715,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
patchtst,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.0,0.05,0.4891525917297612,-0.02342086358931923,0.29957805907172996,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
patchtst,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.0,0.06,0.5072437390797904,0.01731152787225873,0.21940928270042195,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
patchtst,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.0,0.07,0.5155794991263832,0.04199477816083301,0.16033755274261605,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
patchtst,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.0,0.08,0.5005824111822947,0.0017845868268083918,0.11814345991561181,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
patchtst,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.0,0.1,0.47808677926616194,-0.09518547135597942,0.05485232067510549,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
patchtst,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.0,0.0,0.585796447291788,0.17838431547463895,0.6540084388185654,1.0,"balanced_accuracy,higher_mcc,closer_to_zero"
patchtst,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.0,0.01,0.5422248107163657,0.0842474639843633,0.5654008438818565,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
patchtst,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.0,0.02,0.5321782178217822,0.06374675852202262,0.5274261603375527,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
patchtst,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.0,0.03,0.5207119976703553,0.04116409391113076,0.45147679324894513,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
patchtst,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.0,0.04,0.4979251601630751,-0.004367157461878613,0.3291139240506329,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
patchtst,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.0,0.05,0.47768637157833427,-0.05296433052666707,0.22362869198312235,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
patchtst,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.0,0.06,0.45646476412347115,-0.11495766392241805,0.16877637130801687,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
patchtst,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.0,0.07,0.4868593476994758,-0.04675544513738517,0.08438818565400844,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
patchtst,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.0,0.08,0.5063701223063483,0.03133971040254479,0.04219409282700422,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
patchtst,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.0,0.1,0.4963235294117647,-0.05609643100310519,0.004219409282700422,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
patchtst,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.0,0.0,0.5594787419918462,0.11867272081935312,0.5654008438818565,1.0,"balanced_accuracy,higher_mcc,closer_to_zero"
patchtst,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.0,0.01,0.5020384391380315,0.004093902053404437,0.41350210970464135,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
patchtst,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.0,0.02,0.4875873616773442,-0.029080856888471448,0.2320675105485232,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
patchtst,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.0,0.03,0.5080809551543389,0.023086111014323556,0.13924050632911392,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
patchtst,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.0,0.04,0.49180984274898076,-0.028504659273520982,0.08860759493670886,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
patchtst,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.0,0.05,0.5014196272568433,0.007345913121430991,0.0379746835443038,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
patchtst,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.0,0.06,0.5025480489225393,0.019564103097131125,0.016877637130801686,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
patchtst,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.0,0.07,0.504950495049505,0.07553578828140897,0.004219409282700422,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
patchtst,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.0,0.08,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
patchtst,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.0,0.1,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
patchtst,full_safe,5,10,chronological_712,42,2024-06-28,2024-06-27,236,0.0,0.0,0.5925,0.20014194618586,0.7033898305084746,1.0,"balanced_accuracy,higher_mcc,closer_to_zero"
patchtst,full_safe,5,10,chronological_712,42,2024-06-28,2024-06-27,236,0.0,0.01,0.5685294117647058,0.143076781167318,0.6610169491525424,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
patchtst,full_safe,5,10,chronological_712,42,2024-06-28,2024-06-27,236,0.0,0.02,0.5619117647058823,0.12597226855606242,0.6186440677966102,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
patchtst,full_safe,5,10,chronological_712,42,2024-06-28,2024-06-27,236,0.0,0.03,0.5663235294117648,0.1321668825095673,0.5635593220338984,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
patchtst,full_safe,5,10,chronological_712,42,2024-06-28,2024-06-27,236,0.0,0.04,0.5407352941176471,0.08056343317405529,0.4830508474576271,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
patchtst,full_safe,5,10,chronological_712,42,2024-06-28,2024-06-27,236,0.0,0.05,0.4814705882352941,-0.03770191410466476,0.3813559322033898,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
patchtst,full_safe,5,10,chronological_712,42,2024-06-28,2024-06-27,236,0.0,0.06,0.5019117647058824,0.004057797028126369,0.3177966101694915,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
patchtst,full_safe,5,10,chronological_712,42,2024-06-28,2024-06-27,236,0.0,0.07,0.5136764705882353,0.031041416184133377,0.2542372881355932,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
patchtst,full_safe,5,10,chronological_712,42,2024-06-28,2024-06-27,236,0.0,0.08,0.5291176470588236,0.07388882746078335,0.1864406779661017,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
patchtst,full_safe,5,10,chronological_712,42,2024-06-28,2024-06-27,236,0.0,0.1,0.5132352941176471,0.046966821831386216,0.0847457627118644,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
patchtst,full_safe,5,10,chronological_712,2024,2024-06-28,2024-06-27,236,0.02,0.0,0.5604411764705882,0.13308709043145125,0.7203389830508474,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
patchtst,full_safe,5,10,chronological_712,2024,2024-06-28,2024-06-27,236,0.02,0.01,0.5664705882352942,0.14382219344357508,0.7033898305084746,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
patchtst,full_safe,5,10,chronological_712,2024,2024-06-28,2024-06-27,236,0.02,0.02,0.6032352941176471,0.21553626690870653,0.6610169491525424,1.0,"balanced_accuracy,higher_mcc,closer_to_zero"
patchtst,full_safe,5,10,chronological_712,2024,2024-06-28,2024-06-27,236,0.02,0.03,0.5589705882352941,0.11778970622456632,0.5720338983050848,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
patchtst,full_safe,5,10,chronological_712,2024,2024-06-28,2024-06-27,236,0.02,0.04,0.5770588235294117,0.15245091898422983,0.5211864406779662,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
patchtst,full_safe,5,10,chronological_712,2024,2024-06-28,2024-06-27,236,0.02,0.05,0.581764705882353,0.16162141963277343,0.4957627118644068,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
patchtst,full_safe,5,10,chronological_712,2024,2024-06-28,2024-06-27,236,0.02,0.06,0.5714705882352942,0.141778358507836,0.4576271186440678,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
patchtst,full_safe,5,10,chronological_712,2024,2024-06-28,2024-06-27,236,0.02,0.07,0.5772058823529411,0.15508027886693887,0.4110169491525424,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
patchtst,full_safe,5,10,chronological_712,2024,2024-06-28,2024-06-27,236,0.02,0.08,0.5939705882352941,0.19449419055935166,0.3516949152542373,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
patchtst,full_safe,5,10,chronological_712,2024,2024-06-28,2024-06-27,236,0.02,0.1,0.5454411764705882,0.11072104429224139,0.2076271186440678,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
patchtst,full_safe,5,10,chronological_712,3407,2024-06-28,2024-06-27,236,0.0,0.0,0.5829411764705882,0.16840886303447156,0.614406779661017,1.0,"balanced_accuracy,higher_mcc,closer_to_zero"
patchtst,full_safe,5,10,chronological_712,3407,2024-06-28,2024-06-27,236,0.0,0.01,0.5547058823529412,0.10819349148284681,0.5169491525423728,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
patchtst,full_safe,5,10,chronological_712,3407,2024-06-28,2024-06-27,236,0.0,0.02,0.5625,0.12483946420309398,0.4279661016949153,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
patchtst,full_safe,5,10,chronological_712,3407,2024-06-28,2024-06-27,236,0.0,0.03,0.5526470588235295,0.11256887647779881,0.3093220338983051,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
patchtst,full_safe,5,10,chronological_712,3407,2024-06-28,2024-06-27,236,0.0,0.04,0.5617647058823529,0.14531393175878762,0.2288135593220339,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
patchtst,full_safe,5,10,chronological_712,3407,2024-06-28,2024-06-27,236,0.0,0.05,0.5201470588235294,0.05476255521397376,0.15677966101694915,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
patchtst,full_safe,5,10,chronological_712,3407,2024-06-28,2024-06-27,236,0.0,0.06,0.5132352941176471,0.046966821831386216,0.0847457627118644,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
patchtst,full_safe,5,10,chronological_712,3407,2024-06-28,2024-06-27,236,0.0,0.07,0.5052941176470588,0.0289121654791456,0.03389830508474576,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
patchtst,full_safe,5,10,chronological_712,3407,2024-06-28,2024-06-27,236,0.0,0.08,0.4939705882352941,-0.04616367828388211,0.01694915254237288,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
patchtst,full_safe,5,10,chronological_712,3407,2024-06-28,2024-06-27,236,0.0,0.1,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
patchtst,full_safe,5,15,chronological_712,42,2024-07-01,2024-06-28,236,0.03,0.0,0.5420588235294118,0.09494511577923323,0.7415254237288136,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
patchtst,full_safe,5,15,chronological_712,42,2024-07-01,2024-06-28,236,0.03,0.01,0.5627941176470588,0.1364380900459027,0.7076271186440678,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
patchtst,full_safe,5,15,chronological_712,42,2024-07-01,2024-06-28,236,0.03,0.02,0.5601470588235294,0.12860522480284836,0.690677966101695,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
patchtst,full_safe,5,15,chronological_712,42,2024-07-01,2024-06-28,236,0.03,0.03,0.5695588235294118,0.14320353587400292,0.6398305084745762,1.0,"balanced_accuracy,higher_mcc,closer_to_zero"
patchtst,full_safe,5,15,chronological_712,42,2024-07-01,2024-06-28,236,0.03,0.04,0.56,0.11921367919094238,0.5508474576271186,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
patchtst,full_safe,5,15,chronological_712,42,2024-07-01,2024-06-28,236,0.03,0.05,0.5467647058823529,0.0926479985886105,0.4661016949152542,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
patchtst,full_safe,5,15,chronological_712,42,2024-07-01,2024-06-28,236,0.03,0.06,0.5351470588235294,0.07038993387355821,0.4194915254237288,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
patchtst,full_safe,5,15,chronological_712,42,2024-07-01,2024-06-28,236,0.03,0.07,0.539264705882353,0.08223154057290193,0.3347457627118644,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
patchtst,full_safe,5,15,chronological_712,42,2024-07-01,2024-06-28,236,0.03,0.08,0.5423529411764706,0.09415184057386945,0.2711864406779661,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
patchtst,full_safe,5,15,chronological_712,42,2024-07-01,2024-06-28,236,0.03,0.1,0.5535294117647059,0.1488537807845283,0.1483050847457627,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
