horizon,lookback,split_tuning_skeleton,seed,validation_rmse,selected_feature_count,best_epoch,n_estimators,max_depth
5,5,chronological_712,42,85.57609409316822,370,,300,8.0
5,5,chronological_712,42,84.15051256320216,370,,300,
5,5,chronological_712,42,85.55308612273768,370,,600,8.0
5,5,chronological_712,42,85.52514098213462,370,,600,
5,5,chronological_712,2024,84.76848798911607,370,,300,8.0
5,5,chronological_712,2024,84.12678257293508,370,,300,
5,5,chronological_712,2024,84.8590394434184,370,,600,8.0
5,5,chronological_712,2024,84.39354769828778,370,,600,
5,5,chronological_712,3407,83.7786882399252,370,,300,8.0
5,5,chronological_712,3407,83.53047322408713,370,,300,
5,5,chronological_712,3407,83.6449303043079,370,,600,8.0
5,5,chronological_712,3407,84.42074687517787,370,,600,
5,10,chronological_712,42,99.29398171204905,740,,300,8.0
5,10,chronological_712,42,97.02569392881023,740,,300,
5,10,chronological_712,42,99.15662600526548,740,,600,8.0
5,10,chronological_712,42,97.65596411101255,740,,600,
5,10,chronological_712,2024,96.8514567425023,740,,300,8.0
5,10,chronological_712,2024,94.72005182056968,740,,300,
5,10,chronological_712,2024,95.69192918546999,740,,600,8.0
5,10,chronological_712,2024,96.32818250218725,740,,600,
5,10,chronological_712,3407,101.92236984963012,740,,300,8.0
5,10,chronological_712,3407,95.17577418709804,740,,300,
5,10,chronological_712,3407,99.28029417543725,740,,600,8.0
5,10,chronological_712,3407,95.38908080901557,740,,600,
5,15,chronological_712,42,107.40092707406534,1110,,300,8.0
5,15,chronological_712,42,106.54271367851894,1110,,300,
5,15,chronological_712,42,106.50926712459801,1110,,600,8.0
5,15,chronological_712,42,105.73306447469986,1110,,600,
5,15,chronological_712,2024,105.90806552873947,1110,,300,8.0
5,15,chronological_712,2024,102.02197783471004,1110,,300,
5,15,chronological_712,2024,105.75703385997583,1110,,600,8.0
5,15,chronological_712,2024,104.60819440829769,1110,,600,
5,15,chronological_712,3407,104.71314454693041,1110,,300,8.0
5,15,chronological_712,3407,102.03791220232885,1110,,300,
5,15,chronological_712,3407,105.44475937121722,1110,,600,8.0
5,15,chronological_712,3407,102.76024796744518,1110,,600,
5,20,chronological_712,42,112.42429264651263,1480,,300,8.0
5,20,chronological_712,42,108.40593405917085,1480,,300,
5,20,chronological_712,42,114.04345246318033,1480,,600,8.0
5,20,chronological_712,42,107.14135104912748,1480,,600,
5,20,chronological_712,2024,110.9754857759377,1480,,300,8.0
5,20,chronological_712,2024,111.23246606800562,1480,,300,
5,20,chronological_712,2024,112.88211803771362,1480,,600,8.0
5,20,chronological_712,2024,111.3826155073096,1480,,600,
5,20,chronological_712,3407,108.55220487912624,1480,,300,8.0
5,20,chronological_712,3407,109.45270575017416,1480,,300,
5,20,chronological_712,3407,109.6507327309697,1480,,600,8.0
5,20,chronological_712,3407,108.30654140642011,1480,,600,
10,5,chronological_712,42,136.527662851099,370,,300,8.0
10,5,chronological_712,42,134.97012686275036,370,,300,
10,5,chronological_712,42,136.77731420441143,370,,600,8.0
10,5,chronological_712,42,136.7757954307061,370,,600,
10,5,chronological_712,2024,134.9408242710889,370,,300,8.0
10,5,chronological_712,2024,136.38557432463932,370,,300,
10,5,chronological_712,2024,134.17596768734245,370,,600,8.0
10,5,chronological_712,2024,135.37682831102697,370,,600,
10,5,chronological_712,3407,136.2627753726137,370,,300,8.0
10,5,chronological_712,3407,139.0874551041061,370,,300,
10,5,chronological_712,3407,135.08247197852432,370,,600,8.0
10,5,chronological_712,3407,137.9089464049706,370,,600,
10,10,chronological_712,42,152.65436556159338,740,,300,8.0
10,10,chronological_712,42,147.61038607004124,740,,300,
10,10,chronological_712,42,148.97823530548607,740,,600,8.0
10,10,chronological_712,42,148.26381848785948,740,,600,
10,10,chronological_712,2024,148.81218350143445,740,,300,8.0
10,10,chronological_712,2024,148.875723115463,740,,300,
10,10,chronological_712,2024,147.46888365269493,740,,600,8.0
10,10,chronological_712,2024,148.2594674146392,740,,600,
10,10,chronological_712,3407,149.59849314897713,740,,300,8.0
10,10,chronological_712,3407,149.84265028905443,740,,300,
10,10,chronological_712,3407,148.19587872340568,740,,600,8.0
10,10,chronological_712,3407,147.80387392214044,740,,600,
10,15,chronological_712,42,158.20281050406726,1110,,300,8.0
10,15,chronological_712,42,153.9388231750926,1110,,300,
10,15,chronological_712,42,157.57307994020573,1110,,600,8.0
10,15,chronological_712,42,154.0978406710554,1110,,600,
10,15,chronological_712,2024,154.5713523586567,1110,,300,8.0
10,15,chronological_712,2024,155.68591781655212,1110,,300,
10,15,chronological_712,2024,155.44536636520127,1110,,600,8.0
10,15,chronological_712,2024,155.29471869799417,1110,,600,
10,15,chronological_712,3407,153.5021104353572,1110,,300,8.0
10,15,chronological_712,3407,157.7234988807868,1110,,300,
10,15,chronological_712,3407,155.9929172782171,1110,,600,8.0
10,15,chronological_712,3407,157.36659800537967,1110,,600,
10,20,chronological_712,42,163.58930656738383,1480,,300,8.0
10,20,chronological_712,42,161.73847194430434,1480,,300,
10,20,chronological_712,42,166.15544109766563,1480,,600,8.0
10,20,chronological_712,42,160.20072294239125,1480,,600,
10,20,chronological_712,2024,162.514979997886,1480,,300,8.0
10,20,chronological_712,2024,164.20097591854352,1480,,300,
10,20,chronological_712,2024,164.6205602105085,1480,,600,8.0
10,20,chronological_712,2024,165.89317772589237,1480,,600,
10,20,chronological_712,3407,166.5681435826329,1480,,300,8.0
10,20,chronological_712,3407,162.8931917704367,1480,,300,
10,20,chronological_712,3407,164.1848591179707,1480,,600,8.0
10,20,chronological_712,3407,164.60459568357234,1480,,600,
15,5,chronological_712,42,186.94025116776328,370,,300,8.0
15,5,chronological_712,42,188.85179858990244,370,,300,
15,5,chronological_712,42,188.21868504000662,370,,600,8.0
15,5,chronological_712,42,189.45291231209103,370,,600,
15,5,chronological_712,2024,184.90346832176203,370,,300,8.0
15,5,chronological_712,2024,185.6926286753817,370,,300,
15,5,chronological_712,2024,184.3108384053882,370,,600,8.0
15,5,chronological_712,2024,186.81037672878728,370,,600,
15,5,chronological_712,3407,189.4873857569829,370,,300,8.0
15,5,chronological_712,3407,186.07800346596355,370,,300,
15,5,chronological_712,3407,187.87550483128356,370,,600,8.0
15,5,chronological_712,3407,186.69180182492434,370,,600,
15,10,chronological_712,42,195.31532527622088,740,,300,8.0
15,10,chronological_712,42,194.42602369979758,740,,300,
15,10,chronological_712,42,193.47284517384443,740,,600,8.0
15,10,chronological_712,42,194.32481789419793,740,,600,
15,10,chronological_712,2024,192.4056229173918,740,,300,8.0
15,10,chronological_712,2024,194.17471226954663,740,,300,
15,10,chronological_712,2024,194.2183323719991,740,,600,8.0
15,10,chronological_712,2024,193.8475563236418,740,,600,
15,10,chronological_712,3407,193.01064227439767,740,,300,8.0
15,10,chronological_712,3407,196.47507152937376,740,,300,
15,10,chronological_712,3407,193.57505464017606,740,,600,8.0
15,10,chronological_712,3407,195.60402122810277,740,,600,
15,15,chronological_712,42,203.85168242738453,1110,,300,8.0
15,15,chronological_712,42,203.96681328864042,1110,,300,
15,15,chronological_712,42,203.0460167660317,1110,,600,8.0
15,15,chronological_712,42,204.78419629986558,1110,,600,
15,15,chronological_712,2024,204.56354402208026,1110,,300,8.0
15,15,chronological_712,2024,201.9808896239239,1110,,300,
15,15,chronological_712,2024,204.61365359174536,1110,,600,8.0
15,15,chronological_712,2024,204.13402317064822,1110,,600,
15,15,chronological_712,3407,204.91273736148224,1110,,300,8.0
15,15,chronological_712,3407,200.87171074671264,1110,,300,
15,15,chronological_712,3407,205.98520720155275,1110,,600,8.0
15,15,chronological_712,3407,203.52339719515444,1110,,600,
15,20,chronological_712,42,211.6331731022196,1480,,300,8.0
15,20,chronological_712,42,209.1487043944333,1480,,300,
15,20,chronological_712,42,211.91158328124652,1480,,600,8.0
15,20,chronological_712,42,209.9880280411139,1480,,600,
15,20,chronological_712,2024,215.70916345148936,1480,,300,8.0
15,20,chronological_712,2024,213.10687703650942,1480,,300,
15,20,chronological_712,2024,212.36354406984063,1480,,600,8.0
15,20,chronological_712,2024,210.84297609383637,1480,,600,
15,20,chronological_712,3407,211.2867354869797,1480,,300,8.0
15,20,chronological_712,3407,211.46281645190152,1480,,300,
15,20,chronological_712,3407,211.4440310764411,1480,,600,8.0
15,20,chronological_712,3407,212.2608659044379,1480,,600,
20,5,chronological_712,42,209.31741784825,370,,300,8.0
20,5,chronological_712,42,208.155720958,370,,300,
20,5,chronological_712,42,208.10600569654076,370,,600,8.0
20,5,chronological_712,42,210.88802662567474,370,,600,
20,5,chronological_712,2024,208.15488040629336,370,,300,8.0
20,5,chronological_712,2024,210.3559831438551,370,,300,
20,5,chronological_712,2024,208.0019428001885,370,,600,8.0
20,5,chronological_712,2024,208.67235104688996,370,,600,
20,5,chronological_712,3407,207.6719949074735,370,,300,8.0
20,5,chronological_712,3407,207.54088117993322,370,,300,
20,5,chronological_712,3407,207.75920063681983,370,,600,8.0
20,5,chronological_712,3407,209.18072905215772,370,,600,
20,10,chronological_712,42,219.34851407944572,740,,300,8.0
20,10,chronological_712,42,217.27934612259304,740,,300,
20,10,chronological_712,42,218.4461373435122,740,,600,8.0
20,10,chronological_712,42,216.0190037948729,740,,600,
20,10,chronological_712,2024,218.75857473163433,740,,300,8.0
20,10,chronological_712,2024,218.17175278696897,740,,300,
20,10,chronological_712,2024,218.18805557266566,740,,600,8.0
20,10,chronological_712,2024,220.14786563540576,740,,600,
20,10,chronological_712,3407,221.24106008319512,740,,300,8.0
20,10,chronological_712,3407,218.73277774278114,740,,300,
20,10,chronological_712,3407,217.77000222643815,740,,600,8.0
20,10,chronological_712,3407,218.4064850365771,740,,600,
20,15,chronological_712,42,221.28178667159438,1110,,300,8.0
20,15,chronological_712,42,224.47605389757535,1110,,300,
20,15,chronological_712,42,223.89612145941155,1110,,600,8.0
20,15,chronological_712,42,224.85278571750337,1110,,600,
20,15,chronological_712,2024,226.8132121641817,1110,,300,8.0
20,15,chronological_712,2024,228.63600494797885,1110,,300,
20,15,chronological_712,2024,225.63180824096128,1110,,600,8.0
