model,feature_set,horizon,lookback,split_strategy,seed,prediction_anchor_date,threshold_calibration_end_date,n_threshold_samples,selected_threshold,candidate_threshold,validation_balanced_accuracy,validation_mcc,validation_predicted_up_rate,is_selected,selection_rule
rnn,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.02,0.0,0.5734930110658125,0.15325031266541475,0.6582278481012658,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
rnn,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.02,0.01,0.5644292370413512,0.12869929122504462,0.569620253164557,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
rnn,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.02,0.02,0.5761502620850321,0.15147569669429828,0.4472573839662447,1.0,"balanced_accuracy,higher_mcc,closer_to_zero"
rnn,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.02,0.03,0.5424796156086197,0.08716366023277028,0.3670886075949367,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
rnn,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.02,0.04,0.5396403610949331,0.08630154137809075,0.2911392405063291,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
rnn,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.02,0.05,0.5550378567268491,0.1468103761672672,0.16455696202531644,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
rnn,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.02,0.06,0.5151426907396622,0.0580399979531886,0.07172995780590717,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
rnn,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.02,0.07,0.5012740244612697,0.013774916479561137,0.008438818565400843,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
rnn,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.02,0.08,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
rnn,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.02,0.1,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
rnn,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.02,0.0,0.5709449621432732,0.14630205999262824,0.6413502109704642,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
rnn,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.02,0.01,0.5422248107163657,0.0842474639843633,0.5654008438818565,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
rnn,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.02,0.02,0.5714909726266744,0.1414154494099971,0.5021097046413502,1.0,"balanced_accuracy,higher_mcc,closer_to_zero"
rnn,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.02,0.03,0.5661036691904484,0.13296453470355507,0.4092827004219409,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
rnn,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.02,0.04,0.5382207338380897,0.0869354486263851,0.25316455696202533,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
