model,feature_set,horizon,lookback,split_strategy,seed,prediction_anchor_date,threshold_calibration_end_date,n_threshold_samples,selected_threshold,candidate_threshold,validation_balanced_accuracy,validation_mcc,validation_predicted_up_rate,is_selected,selection_rule
simpletm,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.0,0.0,0.5737842166569598,0.16205474267936135,0.7172995780590717,1.0,"balanced_accuracy,higher_mcc,closer_to_zero"
simpletm,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.0,0.01,0.5587871287128713,0.12414722935703049,0.6751054852320675,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
simpletm,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.0,0.02,0.5375655212580082,0.07655430782523488,0.620253164556962,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
simpletm,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.0,0.03,0.5311953989516599,0.062472717433990556,0.5780590717299579,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
simpletm,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.0,0.04,0.5494321490972627,0.09792771275215692,0.5274261603375527,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
simpletm,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.0,0.05,0.5417880023296447,0.08274879584376404,0.4767932489451477,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
simpletm,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.0,0.06,0.5069889341875364,0.014015672700526303,0.4177215189873418,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
simpletm,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.0,0.07,0.47444670937682,-0.0543398996524113,0.31645569620253167,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
simpletm,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.0,0.08,0.4902810133954572,-0.0214442616369215,0.27848101265822783,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
simpletm,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.0,0.1,0.5181275480489226,0.04695234101542409,0.17721518987341772,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
simpletm,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.0,0.0,0.5287929528246942,0.057915719686405326,0.5907172995780591,1.0,"balanced_accuracy,higher_mcc,closer_to_zero"
simpletm,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.0,0.01,0.47885119394292375,-0.04196891652173329,0.459915611814346,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
simpletm,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.0,0.02,0.4830736750145602,-0.035994377974887824,0.31645569620253167,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
simpletm,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.0,0.03,0.4615608619685498,-0.0945980657258264,0.20253164556962025,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
simpletm,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.0,0.04,0.4881333721607455,-0.04044425953354169,0.09282700421940929,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
simpletm,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.0,0.05,0.4927926616191031,-0.037294635847265035,0.0379746835443038,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
simpletm,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.0,0.06,0.49264705882352944,-0.07950094653918142,0.008438818565400843,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
