model,feature_set,horizon,lookback,split_strategy,seed,prediction_anchor_date,threshold_calibration_end_date,n_threshold_samples,selected_threshold,candidate_threshold,validation_balanced_accuracy,validation_mcc,validation_predicted_up_rate,is_selected,selection_rule
svr,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.04,0.0,0.48784216656959817,-0.0665815024549912,0.03375527426160337,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
svr,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.04,0.01,0.4902446126965638,-0.06713912212353397,0.02109704641350211,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
svr,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.04,0.02,0.4889705882352941,-0.09757620682709077,0.012658227848101266,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
svr,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.04,0.03,0.4963235294117647,-0.05609643100310519,0.004219409282700422,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
svr,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.04,0.04,0.5,0.0,0.0,1.0,"balanced_accuracy,higher_mcc,closer_to_zero"
svr,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.04,0.05,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
svr,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.04,0.06,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
svr,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.04,0.07,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
svr,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.04,0.08,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
svr,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.04,0.1,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
svr,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.04,0.0,0.48784216656959817,-0.0665815024549912,0.03375527426160337,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
svr,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.04,0.01,0.4902446126965638,-0.06713912212353397,0.02109704641350211,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
svr,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.04,0.02,0.4889705882352941,-0.09757620682709077,0.012658227848101266,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
svr,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.04,0.03,0.4963235294117647,-0.05609643100310519,0.004219409282700422,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
svr,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.04,0.04,0.5,0.0,0.0,1.0,"balanced_accuracy,higher_mcc,closer_to_zero"
svr,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.04,0.05,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
svr,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.04,0.06,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
svr,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.04,0.07,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
svr,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.04,0.08,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
svr,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.04,0.1,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
svr,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.04,0.0,0.48784216656959817,-0.0665815024549912,0.03375527426160337,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
svr,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.04,0.01,0.4902446126965638,-0.06713912212353397,0.02109704641350211,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
svr,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.04,0.02,0.4889705882352941,-0.09757620682709077,0.012658227848101266,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
