horizon,lookback,split_tuning_skeleton,seed,validation_rmse,selected_feature_count,best_epoch,C,epsilon
5,5,chronological_712,42,404.5138867133402,370,,10.0,0.05
5,5,chronological_712,42,404.6273888062981,370,,10.0,0.2
5,5,chronological_712,42,289.6139312086295,370,,100.0,0.05
5,5,chronological_712,42,289.65411709233075,370,,100.0,0.2
5,5,chronological_712,2024,404.5138867133402,370,,10.0,0.05
5,5,chronological_712,2024,404.6273888062981,370,,10.0,0.2
5,5,chronological_712,2024,289.6139312086295,370,,100.0,0.05
5,5,chronological_712,2024,289.65411709233075,370,,100.0,0.2
5,5,chronological_712,3407,404.5138867133402,370,,10.0,0.05
5,5,chronological_712,3407,404.6273888062981,370,,10.0,0.2
5,5,chronological_712,3407,289.6139312086295,370,,100.0,0.05
5,5,chronological_712,3407,289.65411709233075,370,,100.0,0.2
5,10,chronological_712,42,394.5738586015449,740,,10.0,0.05
5,10,chronological_712,42,394.6599006513216,740,,10.0,0.2
5,10,chronological_712,42,283.883265568456,740,,100.0,0.05
5,10,chronological_712,42,283.8846800534891,740,,100.0,0.2
5,10,chronological_712,2024,394.5738586015449,740,,10.0,0.05
5,10,chronological_712,2024,394.6599006513216,740,,10.0,0.2
5,10,chronological_712,2024,283.883265568456,740,,100.0,0.05
5,10,chronological_712,2024,283.8846800534891,740,,100.0,0.2
5,10,chronological_712,3407,394.5738586015449,740,,10.0,0.05
5,10,chronological_712,3407,394.6599006513216,740,,10.0,0.2
5,10,chronological_712,3407,283.883265568456,740,,100.0,0.05
5,10,chronological_712,3407,283.8846800534891,740,,100.0,0.2
5,15,chronological_712,42,388.17714028352907,1110,,10.0,0.05
5,15,chronological_712,42,388.31858866957384,1110,,10.0,0.2
5,15,chronological_712,42,280.12922461391344,1110,,100.0,0.05
5,15,chronological_712,42,280.01982882379946,1110,,100.0,0.2
5,15,chronological_712,2024,388.17714028352907,1110,,10.0,0.05
5,15,chronological_712,2024,388.31858866957384,1110,,10.0,0.2
5,15,chronological_712,2024,280.12922461391344,1110,,100.0,0.05
5,15,chronological_712,2024,280.01982882379946,1110,,100.0,0.2
5,15,chronological_712,3407,388.17714028352907,1110,,10.0,0.05
5,15,chronological_712,3407,388.31858866957384,1110,,10.0,0.2
5,15,chronological_712,3407,280.12922461391344,1110,,100.0,0.05
5,15,chronological_712,3407,280.01982882379946,1110,,100.0,0.2
5,20,chronological_712,42,379.79028126221016,1480,,10.0,0.05
5,20,chronological_712,42,379.60794133355193,1480,,10.0,0.2
5,20,chronological_712,42,278.70104542121675,1480,,100.0,0.05
