model,feature_set,horizon,lookback,split_strategy,seed,prediction_anchor_date,threshold_calibration_end_date,n_threshold_samples,selected_threshold,candidate_threshold,validation_balanced_accuracy,validation_mcc,validation_predicted_up_rate,is_selected,selection_rule
tcn,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.01,0.0,0.5421884100174723,0.09037950133549234,0.3080168776371308,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
tcn,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.01,0.01,0.5454280722189866,0.10933089016385888,0.21518987341772153,1.0,"balanced_accuracy,higher_mcc,closer_to_zero"
tcn,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.01,0.02,0.5363642981945254,0.1081656954860353,0.12658227848101267,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
tcn,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.01,0.03,0.536073092603378,0.14219600178689448,0.06751054852320675,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
tcn,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.01,0.04,0.5161255096097845,0.11097996679375204,0.02109704641350211,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
tcn,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.01,0.05,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
tcn,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.01,0.06,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
tcn,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.01,0.07,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
tcn,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.01,0.08,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
tcn,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.01,0.1,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
tcn,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.0,0.0,0.5612987769365172,0.12230407702557569,0.4345991561181435,1.0,"balanced_accuracy,higher_mcc,closer_to_zero"
tcn,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.0,0.01,0.5495413511939429,0.10696575619148815,0.29957805907172996,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
tcn,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.0,0.02,0.5045500873616774,0.011897614906791221,0.1729957805907173,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
tcn,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.0,0.03,0.529994175888177,0.10672157006428083,0.08438818565400844,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
tcn,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.0,0.04,0.5173995340710542,0.10164471851719407,0.029535864978902954,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
tcn,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.0,0.05,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
tcn,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.0,0.06,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
tcn,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.0,0.07,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
tcn,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.0,0.08,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
tcn,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.0,0.1,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
tcn,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.01,0.0,0.5614079790331974,0.14997123810877638,0.20675105485232068,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
tcn,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.01,0.01,0.5659216656959813,0.19895627574993932,0.12236286919831224,1.0,"balanced_accuracy,higher_mcc,closer_to_zero"
