model,feature_set,horizon,lookback,split_strategy,seed,prediction_anchor_date,threshold_calibration_end_date,n_threshold_samples,selected_threshold,candidate_threshold,validation_balanced_accuracy,validation_mcc,validation_predicted_up_rate,is_selected,selection_rule
xgboost,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.01,0.0,0.5690885264997088,0.13672163128547357,0.5147679324894515,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
xgboost,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.01,0.01,0.5830663948747816,0.17222099435678148,0.350210970464135,1.0,"balanced_accuracy,higher_mcc,closer_to_zero"
xgboost,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.01,0.02,0.5697437390797904,0.19442658888608283,0.14767932489451477,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
xgboost,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.01,0.03,0.5434260337798485,0.18217712885435564,0.05907172995780591,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
xgboost,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.01,0.04,0.5247524752475248,0.17035299643284738,0.02109704641350211,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
xgboost,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.01,0.05,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
xgboost,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.01,0.06,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
xgboost,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.01,0.07,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
xgboost,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.01,0.08,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
xgboost,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.01,0.1,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
xgboost,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.01,0.0,0.5813919627256843,0.1610348890395435,0.510548523206751,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
xgboost,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.01,0.01,0.5916933605125219,0.19010722383204756,0.350210970464135,1.0,"balanced_accuracy,higher_mcc,closer_to_zero"
xgboost,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.01,0.02,0.5895457192778102,0.23885815170071248,0.16455696202531644,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
xgboost,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.01,0.03,0.5447000582411182,0.17620251280959276,0.06751054852320675,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
xgboost,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.01,0.04,0.5297029702970297,0.1870158444197576,0.02531645569620253,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
xgboost,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.01,0.05,0.504950495049505,0.07553578828140897,0.004219409282700422,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
xgboost,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.01,0.06,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
xgboost,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.01,0.07,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
xgboost,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.01,0.08,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
xgboost,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.01,0.1,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
xgboost,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.01,0.0,0.5761502620850321,0.15147569669429828,0.4472573839662447,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
xgboost,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.01,0.01,0.5962070471753058,0.21538830727935993,0.26582278481012656,1.0,"balanced_accuracy,higher_mcc,closer_to_zero"
xgboost,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.01,0.02,0.5659216656959813,0.19895627574993932,0.12236286919831224,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
xgboost,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.01,0.03,0.5496505532906232,0.19030422405805109,0.07172995780590717,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
xgboost,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.01,0.04,0.5148514851485149,0.13138974384637966,0.012658227848101266,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
xgboost,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.01,0.05,0.504950495049505,0.07553578828140897,0.004219409282700422,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
xgboost,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.01,0.06,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
xgboost,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.01,0.07,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
