horizon,lookback,split_tuning_skeleton,seed,validation_rmse,selected_feature_count,best_epoch,max_depth,learning_rate
5,5,chronological_712,42,59.432485517784066,370,,4,0.03
5,5,chronological_712,42,56.44132173552379,370,,4,0.08
5,5,chronological_712,42,61.01788189095263,370,,7,0.03
5,5,chronological_712,42,65.97302644569884,370,,7,0.08
5,5,chronological_712,2024,59.13240217964528,370,,4,0.03
5,5,chronological_712,2024,58.36253983560984,370,,4,0.08
5,5,chronological_712,2024,62.68041549382263,370,,7,0.03
5,5,chronological_712,2024,61.860946931092755,370,,7,0.08
5,5,chronological_712,3407,60.780332461861335,370,,4,0.03
5,5,chronological_712,3407,57.594412143227096,370,,4,0.08
5,5,chronological_712,3407,57.95338487028686,370,,7,0.03
5,5,chronological_712,3407,61.05175138485304,370,,7,0.08
5,10,chronological_712,42,64.8021607476536,740,,4,0.03
5,10,chronological_712,42,66.84923680337447,740,,4,0.08
5,10,chronological_712,42,68.90815777114348,740,,7,0.03
5,10,chronological_712,42,72.66129790749902,740,,7,0.08
5,10,chronological_712,2024,65.0175111040326,740,,4,0.03
5,10,chronological_712,2024,65.11698558369942,740,,4,0.08
5,10,chronological_712,2024,68.29171783522676,740,,7,0.03
5,10,chronological_712,2024,70.39730144726333,740,,7,0.08
5,10,chronological_712,3407,63.01264018534953,740,,4,0.03
5,10,chronological_712,3407,61.504963627033696,740,,4,0.08
5,10,chronological_712,3407,69.4936931970285,740,,7,0.03
5,10,chronological_712,3407,70.47241526380536,740,,7,0.08
5,15,chronological_712,42,64.08541614933104,1110,,4,0.03
5,15,chronological_712,42,64.01156224682799,1110,,4,0.08
5,15,chronological_712,42,69.69242275450394,1110,,7,0.03
5,15,chronological_712,42,69.5800839056552,1110,,7,0.08
5,15,chronological_712,2024,63.058095979394224,1110,,4,0.03
5,15,chronological_712,2024,65.43997041684038,1110,,4,0.08
5,15,chronological_712,2024,70.44741752470607,1110,,7,0.03
5,15,chronological_712,2024,68.29666187011169,1110,,7,0.08
5,15,chronological_712,3407,65.02310628469507,1110,,4,0.03
5,15,chronological_712,3407,66.33816286448582,1110,,4,0.08
5,15,chronological_712,3407,71.09790674955241,1110,,7,0.03
5,15,chronological_712,3407,68.41097347050908,1110,,7,0.08
5,20,chronological_712,42,62.446178948903956,1480,,4,0.03
5,20,chronological_712,42,61.924632657065395,1480,,4,0.08
5,20,chronological_712,42,69.98396247997913,1480,,7,0.03
5,20,chronological_712,42,67.23687626485321,1480,,7,0.08
5,20,chronological_712,2024,62.12015469585833,1480,,4,0.03
5,20,chronological_712,2024,61.714839290220375,1480,,4,0.08
5,20,chronological_712,2024,68.1221088478997,1480,,7,0.03
5,20,chronological_712,2024,72.10866939835313,1480,,7,0.08
5,20,chronological_712,3407,61.36666385484621,1480,,4,0.03
5,20,chronological_712,3407,60.89337398917888,1480,,4,0.08
5,20,chronological_712,3407,70.35845806660548,1480,,7,0.03
5,20,chronological_712,3407,64.79938769929252,1480,,7,0.08
10,5,chronological_712,42,88.07142432239262,370,,4,0.03
10,5,chronological_712,42,89.63742713108222,370,,4,0.08
10,5,chronological_712,42,88.0870159829068,370,,7,0.03
10,5,chronological_712,42,90.59973289446621,370,,7,0.08
10,5,chronological_712,2024,85.5201551236663,370,,4,0.03
10,5,chronological_712,2024,81.57224843669977,370,,4,0.08
10,5,chronological_712,2024,89.12965117068562,370,,7,0.03
10,5,chronological_712,2024,86.51813885369272,370,,7,0.08
10,5,chronological_712,3407,84.07170362456118,370,,4,0.03
10,5,chronological_712,3407,83.00929999768852,370,,4,0.08
10,5,chronological_712,3407,90.52182806396904,370,,7,0.03
10,5,chronological_712,3407,92.08698342545345,370,,7,0.08
10,10,chronological_712,42,82.0847768081446,740,,4,0.03
10,10,chronological_712,42,84.05487130107316,740,,4,0.08
10,10,chronological_712,42,89.95176707822671,740,,7,0.03
10,10,chronological_712,42,87.64561936682531,740,,7,0.08
10,10,chronological_712,2024,79.43386277367004,740,,4,0.03
10,10,chronological_712,2024,84.52893683907469,740,,4,0.08
10,10,chronological_712,2024,88.19092627787839,740,,7,0.03
10,10,chronological_712,2024,89.20228207211535,740,,7,0.08
10,10,chronological_712,3407,82.85632312208988,740,,4,0.03
10,10,chronological_712,3407,81.81883327066022,740,,4,0.08
10,10,chronological_712,3407,92.7986111335835,740,,7,0.03
10,10,chronological_712,3407,85.54873648548693,740,,7,0.08
10,15,chronological_712,42,76.53842745348875,1110,,4,0.03
10,15,chronological_712,42,79.61057932208753,1110,,4,0.08
10,15,chronological_712,42,90.93929546469414,1110,,7,0.03
10,15,chronological_712,42,86.38647091503928,1110,,7,0.08
10,15,chronological_712,2024,80.41952138330886,1110,,4,0.03
10,15,chronological_712,2024,75.06576869134263,1110,,4,0.08
10,15,chronological_712,2024,88.60967758173813,1110,,7,0.03
10,15,chronological_712,2024,86.0882943793865,1110,,7,0.08
10,15,chronological_712,3407,78.1232608190142,1110,,4,0.03
10,15,chronological_712,3407,78.60656825606644,1110,,4,0.08
10,15,chronological_712,3407,89.3090045080042,1110,,7,0.03
10,15,chronological_712,3407,89.54102260454395,1110,,7,0.08
10,20,chronological_712,42,78.69684300936578,1480,,4,0.03
10,20,chronological_712,42,79.5626352129381,1480,,4,0.08
10,20,chronological_712,42,84.99376582948564,1480,,7,0.03
10,20,chronological_712,42,87.26203447083373,1480,,7,0.08
10,20,chronological_712,2024,80.67133791342005,1480,,4,0.03
10,20,chronological_712,2024,78.3208870869827,1480,,4,0.08
10,20,chronological_712,2024,87.2726345774043,1480,,7,0.03
