horizon,lookback,split_tuning_skeleton,seed,validation_rmse,selected_feature_count,best_epoch
5,5,chronological_712,42,65.13737719123591,160,60
5,10,chronological_712,42,141.63969935658872,320,3
5,15,chronological_712,42,63.79097726555886,480,60
5,20,chronological_712,42,67.08872879775083,640,28
10,5,chronological_712,42,69.10491750556193,160,41
10,10,chronological_712,42,141.84563071732202,320,3
10,15,chronological_712,42,72.23220100839008,480,60
10,20,chronological_712,42,77.66809338996923,640,37
15,5,chronological_712,42,72.28780987010184,160,53
15,10,chronological_712,42,142.535763302029,320,3
15,15,chronological_712,42,90.84868402448147,480,60
15,20,chronological_712,42,86.97523225997882,640,43
20,5,chronological_712,42,82.21106856321512,160,60
20,10,chronological_712,42,140.88414342035492,320,3
20,15,chronological_712,42,108.19423755491015,480,60
20,20,chronological_712,42,96.16919429736294,640,46
