model,feature_set,horizon,lookback,split_strategy,seed,prediction_anchor_date,threshold_calibration_end_date,n_threshold_samples,selected_threshold,candidate_threshold,validation_balanced_accuracy,validation_mcc,validation_predicted_up_rate,is_selected,selection_rule
catboost,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.02,0.0,0.5373107163657542,0.0957543762414198,0.8185654008438819,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
catboost,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.02,0.01,0.5833940011648224,0.1749656759749328,0.6666666666666666,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
catboost,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.02,0.02,0.6041423995340711,0.21269724061597736,0.3755274261603376,1.0,"balanced_accuracy,higher_mcc,closer_to_zero"
catboost,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.02,0.03,0.5459740827023879,0.17163857471839689,0.0759493670886076,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
catboost,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.02,0.04,0.5247524752475248,0.17035299643284738,0.02109704641350211,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
catboost,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.02,0.05,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
catboost,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.02,0.06,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
catboost,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.02,0.07,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
catboost,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.02,0.08,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
catboost,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.02,0.1,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
catboost,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.06,0.0,0.5112842166569598,0.02735430892611149,0.7890295358649789,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
catboost,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.06,0.01,0.5405503785672685,0.08989471253853525,0.7257383966244726,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
catboost,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.06,0.02,0.5686881188118812,0.14606750804002866,0.6835443037974683,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
catboost,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.06,0.03,0.5681057076295866,0.13588534923684806,0.5654008438818565,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
catboost,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.06,0.04,0.5651208503203262,0.12922958977173987,0.459915611814346,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
catboost,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.06,0.05,0.5829207920792079,0.17571298011877845,0.3206751054852321,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
catboost,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.06,0.06,0.6045428072218987,0.25531558734345333,0.20675105485232068,1.0,"balanced_accuracy,higher_mcc,closer_to_zero"
catboost,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.06,0.07,0.5619539895165988,0.2442155348549893,0.06751054852320675,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
catboost,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.06,0.08,0.5260264997087944,0.15204178606651417,0.029535864978902954,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
catboost,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.06,0.1,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
catboost,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.05,0.0,0.48442050087361677,-0.04199477816083301,0.8396624472573839,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
catboost,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.05,0.01,0.5122670355270821,0.02760481816164772,0.7383966244725738,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
catboost,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.05,0.02,0.5794263249854397,0.1611931901336458,0.6118143459915611,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
catboost,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.05,0.03,0.5788439138031449,0.1559713234735751,0.4936708860759494,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
catboost,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.05,0.04,0.5976266744321491,0.20995219145832264,0.3037974683544304,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
catboost,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.05,0.05,0.5993011065812464,0.2801733012732406,0.14345991561181434,1.0,"balanced_accuracy,higher_mcc,closer_to_zero"
catboost,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.05,0.06,0.542152009318579,0.19015009040796907,0.05063291139240506,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
catboost,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.05,0.07,0.5099009900990099,0.1070507794983037,0.008438818565400843,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
catboost,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.05,0.08,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
catboost,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.05,0.1,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
catboost,full_safe,5,10,chronological_712,42,2024-06-28,2024-06-27,236,0.03,0.0,0.5279411764705882,0.07153708768522075,0.8177966101694916,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
catboost,full_safe,5,10,chronological_712,42,2024-06-28,2024-06-27,236,0.03,0.01,0.5530882352941177,0.11801671683044054,0.7288135593220338,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
catboost,full_safe,5,10,chronological_712,42,2024-06-28,2024-06-27,236,0.03,0.02,0.5627941176470588,0.1364380900459027,0.7076271186440678,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
catboost,full_safe,5,10,chronological_712,42,2024-06-28,2024-06-27,236,0.03,0.03,0.5966176470588236,0.19658855211718054,0.6186440677966102,1.0,"balanced_accuracy,higher_mcc,closer_to_zero"
catboost,full_safe,5,10,chronological_712,42,2024-06-28,2024-06-27,236,0.03,0.04,0.5825,0.16406770419382644,0.4449152542372881,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
catboost,full_safe,5,10,chronological_712,42,2024-06-28,2024-06-27,236,0.03,0.05,0.5786764705882352,0.16822443831179432,0.3093220338983051,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
catboost,full_safe,5,10,chronological_712,42,2024-06-28,2024-06-27,236,0.03,0.06,0.5958823529411765,0.25256903303172107,0.1694915254237288,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
catboost,full_safe,5,10,chronological_712,42,2024-06-28,2024-06-27,236,0.03,0.07,0.5426470588235295,0.19185534495904916,0.05084745762711865,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
catboost,full_safe,5,10,chronological_712,42,2024-06-28,2024-06-27,236,0.03,0.08,0.5063235294117647,0.055785381167458674,0.012711864406779662,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
catboost,full_safe,5,10,chronological_712,42,2024-06-28,2024-06-27,236,0.03,0.1,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
