model,feature_set,horizon,lookback,split_strategy,seed,prediction_anchor_date,threshold_calibration_end_date,n_threshold_samples,selected_threshold,candidate_threshold,validation_balanced_accuracy,validation_mcc,validation_predicted_up_rate,is_selected,selection_rule
dlinear,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.0,0.0,0.5424432149097262,0.1343199457462636,0.10970464135021098,1.0,"balanced_accuracy,higher_mcc,closer_to_zero"
dlinear,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.0,0.01,0.4964691322073384,-0.01933654412615014,0.03375527426160337,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
dlinear,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.0,0.02,0.504950495049505,0.07553578828140897,0.004219409282700422,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
dlinear,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.0,0.03,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
dlinear,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.0,0.04,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
dlinear,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.0,0.05,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
dlinear,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.0,0.06,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
dlinear,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.0,0.07,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
dlinear,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.0,0.08,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
dlinear,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.0,0.1,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
dlinear,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.02,0.0,0.4897350029120559,-0.02058551927889801,0.4177215189873418,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
dlinear,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.02,0.01,0.4986167734420501,-0.003305718890180059,0.21940928270042195,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
dlinear,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.02,0.02,0.5176907396622016,0.061570064030805324,0.08860759493670886,1.0,"balanced_accuracy,higher_mcc,closer_to_zero"
dlinear,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.02,0.03,0.5038220733838089,0.024064538804012926,0.02531645569620253,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
dlinear,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.02,0.04,0.504950495049505,0.07553578828140897,0.004219409282700422,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
dlinear,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.02,0.05,0.504950495049505,0.07553578828140897,0.004219409282700422,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
dlinear,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.02,0.06,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
dlinear,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.02,0.07,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
dlinear,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.02,0.08,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
dlinear,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.02,0.1,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
dlinear,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.0,0.0,0.5401863715783343,0.11073620942117803,0.1518987341772152,1.0,"balanced_accuracy,higher_mcc,closer_to_zero"
dlinear,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.0,0.01,0.5014196272568433,0.007345913121430991,0.0379746835443038,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
dlinear,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.0,0.02,0.504950495049505,0.07553578828140897,0.004219409282700422,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
dlinear,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.0,0.03,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
dlinear,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.0,0.04,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
dlinear,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.0,0.05,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
dlinear,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.0,0.06,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
dlinear,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.0,0.07,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
dlinear,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.0,0.08,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
dlinear,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.0,0.1,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
dlinear,full_safe,5,10,chronological_712,42,2024-06-28,2024-06-27,236,0.01,0.0,0.5402941176470588,0.08583565644171147,0.3135593220338983,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
dlinear,full_safe,5,10,chronological_712,42,2024-06-28,2024-06-27,236,0.01,0.01,0.5708823529411765,0.19710857785204022,0.1483050847457627,1.0,"balanced_accuracy,higher_mcc,closer_to_zero"
dlinear,full_safe,5,10,chronological_712,42,2024-06-28,2024-06-27,236,0.01,0.02,0.5439705882352941,0.1839590763787377,0.059322033898305086,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
dlinear,full_safe,5,10,chronological_712,42,2024-06-28,2024-06-27,236,0.01,0.03,0.51,0.10781433867501866,0.00847457627118644,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
dlinear,full_safe,5,10,chronological_712,42,2024-06-28,2024-06-27,236,0.01,0.04,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
dlinear,full_safe,5,10,chronological_712,42,2024-06-28,2024-06-27,236,0.01,0.05,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
dlinear,full_safe,5,10,chronological_712,42,2024-06-28,2024-06-27,236,0.01,0.06,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
dlinear,full_safe,5,10,chronological_712,42,2024-06-28,2024-06-27,236,0.01,0.07,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
dlinear,full_safe,5,10,chronological_712,42,2024-06-28,2024-06-27,236,0.01,0.08,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
dlinear,full_safe,5,10,chronological_712,42,2024-06-28,2024-06-27,236,0.01,0.1,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
