model,feature_set,horizon,lookback,split_strategy,seed,prediction_anchor_date,threshold_calibration_end_date,n_threshold_samples,selected_threshold,candidate_threshold,validation_balanced_accuracy,validation_mcc,validation_predicted_up_rate,is_selected,selection_rule
gradient_boosting,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.01,0.0,0.5467748980780431,0.1052587280050959,0.7383966244725738,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
gradient_boosting,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.01,0.01,0.6037419918462434,0.20601933739082368,0.5443037974683544,1.0,"balanced_accuracy,higher_mcc,closer_to_zero"
gradient_boosting,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.01,0.02,0.5928217821782178,0.1953728338208853,0.3291139240506329,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
gradient_boosting,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.01,0.03,0.5772422830518347,0.20396334685900594,0.16877637130801687,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
gradient_boosting,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.01,0.04,0.5298485730926034,0.12965462875731415,0.05485232067510549,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
gradient_boosting,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.01,0.05,0.504950495049505,0.07553578828140897,0.004219409282700422,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
gradient_boosting,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.01,0.06,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
gradient_boosting,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.01,0.07,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
gradient_boosting,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.01,0.08,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
gradient_boosting,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.01,0.1,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
