model,feature_set,horizon,lookback,split_strategy,seed,prediction_anchor_date,threshold_calibration_end_date,n_threshold_samples,selected_threshold,candidate_threshold,validation_balanced_accuracy,validation_mcc,validation_predicted_up_rate,is_selected,selection_rule
itransformer,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.06,0.0,0.5231872451951077,0.10900808973531396,0.9535864978902954,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
itransformer,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.06,0.01,0.5254440885264997,0.08855447480973852,0.9113924050632911,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
itransformer,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.06,0.02,0.5400043680838672,0.11577522446029781,0.8649789029535865,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
itransformer,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.06,0.03,0.5459376820034945,0.11789465640650906,0.8185654008438819,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
itransformer,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.06,0.04,0.5491773442050087,0.10901953019709257,0.7257383966244726,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
itransformer,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.06,0.05,0.557367501456028,0.11800172955182323,0.6371308016877637,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
itransformer,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.06,0.06,0.5641380314502038,0.1268977971769569,0.510548523206751,1.0,"balanced_accuracy,higher_mcc,closer_to_zero"
itransformer,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.06,0.07,0.5550742574257426,0.11029314058066245,0.4219409282700422,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
itransformer,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.06,0.08,0.5484129295282469,0.10258922895433509,0.3206751054852321,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
itransformer,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.06,0.1,0.5389123471170646,0.10978931783764448,0.14345991561181434,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
