model,feature_set,horizon,lookback,split_strategy,seed,prediction_anchor_date,threshold_calibration_end_date,n_threshold_samples,selected_threshold,candidate_threshold,validation_balanced_accuracy,validation_mcc,validation_predicted_up_rate,is_selected,selection_rule
knn,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.06,0.0,0.5066249271986022,0.01805200258521612,0.8438818565400844,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
knn,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.06,0.01,0.5176543389633081,0.04661744732639862,0.8312236286919831,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
knn,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.06,0.02,0.5200567850902738,0.051473815911241276,0.8185654008438819,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
knn,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.06,0.03,0.5261357018054746,0.06482888821519729,0.8016877637130801,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
knn,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.06,0.04,0.5419700058241118,0.09771604149892484,0.7637130801687764,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
knn,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.06,0.05,0.5699621432731509,0.14987868987645925,0.6919831223628692,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
knn,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.06,0.06,0.5901645311589983,0.17892772155651182,0.540084388185654,1.0,"balanced_accuracy,higher_mcc,closer_to_zero"
knn,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.06,0.07,0.5724737914967968,0.14403815637444875,0.45147679324894513,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
knn,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.06,0.08,0.5549286546301689,0.1112593141342315,0.3924050632911392,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
knn,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.06,0.1,0.542334012813046,0.08854310629419392,0.33755274261603374,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
