horizon,lookback,split_tuning_skeleton,seed,selection_mode,validation_rmse
5,5,chronological_712,42,fixed_by_codex,
5,10,chronological_712,42,fixed_by_codex,
5,15,chronological_712,42,fixed_by_codex,
5,20,chronological_712,42,fixed_by_codex,
10,5,chronological_712,42,fixed_by_codex,
10,10,chronological_712,42,fixed_by_codex,
10,15,chronological_712,42,fixed_by_codex,
10,20,chronological_712,42,fixed_by_codex,
15,5,chronological_712,42,fixed_by_codex,
15,10,chronological_712,42,fixed_by_codex,
15,15,chronological_712,42,fixed_by_codex,
15,20,chronological_712,42,fixed_by_codex,
20,5,chronological_712,42,fixed_by_codex,
20,10,chronological_712,42,fixed_by_codex,
20,15,chronological_712,42,fixed_by_codex,
20,20,chronological_712,42,fixed_by_codex,
