model,feature_set,horizon,lookback,split_strategy,seed,prediction_anchor_date,threshold_calibration_end_date,n_threshold_samples,selected_threshold,candidate_threshold,validation_balanced_accuracy,validation_mcc,validation_predicted_up_rate,is_selected,selection_rule
lightgbm,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.04,0.0,0.4883881770529994,-0.037387171243891536,0.8945147679324894,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lightgbm,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.04,0.01,0.5197655794991264,0.04573998397592697,0.759493670886076,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lightgbm,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.04,0.02,0.5402591729761211,0.08446618840169169,0.6666666666666666,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lightgbm,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.04,0.03,0.5959522422830519,0.19029048007876714,0.4641350210970464,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lightgbm,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.04,0.04,0.6062536400698894,0.22850501374602677,0.3037974683544304,1.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lightgbm,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.04,0.05,0.5820471753057659,0.23149216314878454,0.14345991561181434,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lightgbm,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.04,0.06,0.5335250436808386,0.15123336206022409,0.05063291139240506,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lightgbm,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.04,0.07,0.5099009900990099,0.1070507794983037,0.008438818565400843,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lightgbm,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.04,0.08,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lightgbm,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.04,0.1,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lightgbm,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.04,0.0,0.5054965055329063,0.015907241941314803,0.8649789029535865,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lightgbm,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.04,0.01,0.5344714618520676,0.07798275724370164,0.7426160337552743,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lightgbm,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.04,0.02,0.5757498543972044,0.15404400987171485,0.6160337552742616,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lightgbm,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.04,0.03,0.5956610366919045,0.19273032198734555,0.4050632911392405,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lightgbm,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.04,0.04,0.5971898660454281,0.23390502943710195,0.21518987341772153,1.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lightgbm,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.04,0.05,0.574403028538148,0.25358302603239025,0.09282700421940929,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lightgbm,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.04,0.06,0.5297029702970297,0.1870158444197576,0.02531645569620253,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lightgbm,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.04,0.07,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lightgbm,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.04,0.08,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
