model,feature_set,horizon,lookback,split_strategy,seed,prediction_anchor_date,threshold_calibration_end_date,n_threshold_samples,selected_threshold,candidate_threshold,validation_balanced_accuracy,validation_mcc,validation_predicted_up_rate,is_selected,selection_rule
lnn,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.03,0.0,0.5303945835760047,0.10814625121805158,0.9156118143459916,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lnn,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.03,0.01,0.5100101921956902,0.02392296565261885,0.7805907172995781,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lnn,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.03,0.02,0.5488861386138614,0.10256608591633991,0.6666666666666666,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lnn,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.03,0.03,0.5604615608619685,0.11964943601958461,0.5147679324894515,1.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lnn,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.03,0.04,0.5586051252184042,0.11893723011694306,0.3881856540084388,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lnn,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.03,0.05,0.4858765288293535,-0.040874237571060554,0.1350210970464135,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lnn,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.03,0.06,0.4975975538730344,-0.0212542232692673,0.012658227848101266,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lnn,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.03,0.07,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lnn,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.03,0.08,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lnn,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.03,0.1,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lnn,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.02,0.0,0.5005460104834013,0.0015598723658326727,0.8607594936708861,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lnn,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.02,0.01,0.522168025626092,0.05042256020330336,0.7468354430379747,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lnn,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.02,0.02,0.5494321490972627,0.09792771275215692,0.5274261603375527,1.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lnn,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.02,0.03,0.4915550378567269,-0.018465455925048384,0.2869198312236287,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lnn,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.02,0.04,0.4722990681421083,-0.08125312231126272,0.1308016877637131,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lnn,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.02,0.05,0.49264705882352944,-0.07950094653918142,0.008438818565400843,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lnn,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.02,0.06,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lnn,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.02,0.07,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lnn,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.02,0.08,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lnn,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.02,0.1,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
