model,feature_set,horizon,lookback,split_strategy,seed,prediction_anchor_date,threshold_calibration_end_date,n_threshold_samples,selected_threshold,candidate_threshold,validation_balanced_accuracy,validation_mcc,validation_predicted_up_rate,is_selected,selection_rule
lstm,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.05,0.0,0.5078989516598719,0.022020130369665956,0.8523206751054853,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lstm,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.05,0.01,0.4841292952824694,-0.03792877463469752,0.7805907172995781,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lstm,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.05,0.02,0.5231508444962143,0.04978732056953512,0.6962025316455697,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lstm,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.05,0.03,0.5251164822364589,0.050602710110832734,0.5949367088607594,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lstm,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.05,0.04,0.5037492719860222,0.007417975657903837,0.510548523206751,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lstm,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.05,0.05,0.5426252184041933,0.08617768203379983,0.39662447257383965,1.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lstm,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.05,0.06,0.5035672684915551,0.008467380736726546,0.22362869198312235,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lstm,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.05,0.07,0.5323966220151427,0.12417211100561984,0.07172995780590717,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lstm,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.05,0.08,0.5025480489225393,0.019564103097131125,0.016877637130801686,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lstm,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.05,0.1,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lstm,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.04,0.0,0.4493302271403611,-0.11179929662395029,0.7215189873417721,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lstm,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.04,0.01,0.4372815958066395,-0.12424848974371604,0.5274261603375527,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lstm,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.04,0.02,0.44900262085032033,-0.10274550270329952,0.4050632911392405,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lstm,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.04,0.03,0.47939720442632494,-0.04365827337455162,0.3206751054852321,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lstm,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.04,0.04,0.5082265579499127,0.0217227692696208,0.16877637130801687,1.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lstm,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.04,0.05,0.5050960978450786,0.027908414202690923,0.03375527426160337,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lstm,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.04,0.06,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lstm,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.04,0.07,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lstm,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.04,0.08,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lstm,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.04,0.1,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lstm,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.02,0.0,0.5272641234711707,0.06515745917749642,0.7805907172995781,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lstm,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.02,0.01,0.520602795573675,0.04365827337455162,0.679324894514768,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lstm,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.02,0.02,0.5326150262085032,0.06632553236187241,0.6160337552742616,1.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lstm,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.02,0.03,0.5323238206173558,0.06435780292801944,0.5569620253164557,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
lstm,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.02,0.04,0.5306129877693652,0.0607501872543506,0.459915611814346,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
