model,feature_set,horizon,lookback,split_strategy,seed,prediction_anchor_date,threshold_calibration_end_date,n_threshold_samples,selected_threshold,candidate_threshold,validation_balanced_accuracy,validation_mcc,validation_predicted_up_rate,is_selected,selection_rule
mafs,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.0,0.0,0.5398587652882936,0.10632100654970739,0.8354430379746836,1.0,"balanced_accuracy,higher_mcc,closer_to_zero"
mafs,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.0,0.01,0.5179091438555621,0.03674766138348156,0.6329113924050633,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
mafs,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.0,0.02,0.5202751892836343,0.04170492599007966,0.3628691983122363,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
mafs,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.0,0.03,0.5328334304018637,0.08850301378754995,0.16033755274261605,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
mafs,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.0,0.04,0.5198019801980198,0.15204102978341905,0.016877637130801686,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
mafs,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.0,0.05,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
mafs,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.0,0.06,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
mafs,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.0,0.07,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
mafs,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.0,0.08,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
mafs,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.0,0.1,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
mafs,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.02,0.0,0.5065885264997088,0.013232076279753627,0.5864978902953587,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
mafs,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.02,0.01,0.47473791496796736,-0.05159450716095361,0.3755274261603376,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
mafs,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.02,0.02,0.509646185206756,0.023558019027164045,0.20675105485232068,1.0,"balanced_accuracy,higher_mcc,closer_to_zero"
mafs,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.02,0.03,0.5062245195107746,0.05506776028855618,0.012658227848101266,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
mafs,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.02,0.04,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
