model,feature_set,horizon,lookback,split_strategy,seed,prediction_anchor_date,threshold_calibration_end_date,n_threshold_samples,selected_threshold,candidate_threshold,validation_balanced_accuracy,validation_mcc,validation_predicted_up_rate,is_selected,selection_rule
patchtst,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.04,0.0,0.5192195690157251,0.06300983739768086,0.8987341772151899,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
patchtst,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.04,0.01,0.5213308095515434,0.05577601868303724,0.8270042194092827,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
patchtst,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.04,0.02,0.5590783343040187,0.13226455645645144,0.7341772151898734,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
patchtst,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.04,0.03,0.5661400698893418,0.13876588094563633,0.6666666666666666,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
patchtst,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.04,0.04,0.5744758299359347,0.15085258894541925,0.6075949367088608,1.0,"balanced_accuracy,higher_mcc,closer_to_zero"
patchtst,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.04,0.05,0.5408051834595224,0.08083723563708976,0.5274261603375527,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
patchtst,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.04,0.06,0.5280649388468259,0.0558782275422331,0.4430379746835443,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
patchtst,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.04,0.07,0.5140506697728596,0.029131158554652783,0.350210970464135,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
patchtst,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.04,0.08,0.5062609202096681,0.013947143434497987,0.270042194092827,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
patchtst,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.04,0.1,0.4797976121141526,-0.05566901832314656,0.1518987341772152,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
patchtst,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.07,0.0,0.567013686662784,0.18260294922737844,0.8438818565400844,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
patchtst,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.07,0.01,0.550596971461852,0.11780164586600651,0.7637130801687764,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
patchtst,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.07,0.02,0.5430984274898079,0.09749903334376213,0.7426160337552743,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
patchtst,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.07,0.03,0.5392763541059988,0.08626397007944298,0.7172995780590717,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
patchtst,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.07,0.04,0.5466292952824694,0.10151724013345662,0.7088607594936709,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
patchtst,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.07,0.05,0.5613351776354106,0.13139729055246296,0.6919831223628692,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
patchtst,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.07,0.06,0.5461924868957484,0.09413509363393709,0.620253164556962,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
patchtst,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.07,0.07,0.5789895165987187,0.15641540677784668,0.5232067510548524,1.0,"balanced_accuracy,higher_mcc,closer_to_zero"
patchtst,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.07,0.08,0.577278683750728,0.15455736750145602,0.42616033755274263,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
patchtst,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.07,0.1,0.5581683168316831,0.1255924161601749,0.29957805907172996,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
