model,feature_set,horizon,lookback,split_strategy,seed,prediction_anchor_date,threshold_calibration_end_date,n_threshold_samples,selected_threshold,candidate_threshold,validation_balanced_accuracy,validation_mcc,validation_predicted_up_rate,is_selected,selection_rule
raft,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.02,0.0,0.47222626674432144,-0.05648033615190698,0.6160337552742616,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
raft,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.02,0.01,0.48365608619685496,-0.03260957873187855,0.4345991561181435,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
raft,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.02,0.02,0.5244976703552708,0.05854602139713631,0.21940928270042195,1.0,"balanced_accuracy,higher_mcc,closer_to_zero"
raft,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.02,0.03,0.5089181712288876,0.03741273811342592,0.05907172995780591,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
raft,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.02,0.04,0.498871578334304,-0.00776609248443863,0.02109704641350211,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
raft,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.02,0.05,0.4963235294117647,-0.05609643100310519,0.004219409282700422,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
raft,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.02,0.06,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
raft,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.02,0.07,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
raft,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.02,0.08,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
raft,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.02,0.1,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
raft,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.02,0.0,0.5041860803727432,0.00844815210331705,0.5991561181434599,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
raft,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.02,0.01,0.5293389633080955,0.05830977098835042,0.45147679324894513,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
raft,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.02,0.02,0.5467020966802563,0.1108535661757159,0.22362869198312235,1.0,"balanced_accuracy,higher_mcc,closer_to_zero"
raft,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.02,0.03,0.5248980780430984,0.11231663371247913,0.05063291139240506,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
raft,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.02,0.04,0.4963235294117647,-0.05609643100310519,0.004219409282700422,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
raft,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.02,0.05,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
raft,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.02,0.06,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
raft,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.02,0.07,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
raft,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.02,0.08,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
raft,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.02,0.1,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
raft,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.02,0.0,0.4607600465928946,-0.07787003788369792,0.540084388185654,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
raft,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.02,0.01,0.5164531158998253,0.034412282067906835,0.33755274261603374,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
raft,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.02,0.02,0.5472481071636576,0.16811237614494723,0.08438818565400844,1.0,"balanced_accuracy,higher_mcc,closer_to_zero"
raft,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.02,0.03,0.5148514851485149,0.13138974384637966,0.012658227848101266,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
raft,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.02,0.04,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
raft,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.02,0.05,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
raft,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.02,0.06,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
raft,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.02,0.07,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
raft,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.02,0.08,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
raft,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.02,0.1,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
raft,full_safe,5,10,chronological_712,42,2024-06-28,2024-06-27,236,0.01,0.0,0.5127941176470588,0.025660032890833594,0.4152542372881356,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
raft,full_safe,5,10,chronological_712,42,2024-06-28,2024-06-27,236,0.01,0.01,0.5511764705882353,0.1376085401757434,0.16101694915254236,1.0,"balanced_accuracy,higher_mcc,closer_to_zero"
raft,full_safe,5,10,chronological_712,42,2024-06-28,2024-06-27,236,0.01,0.02,0.5152941176470588,0.0750359969141447,0.0423728813559322,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
raft,full_safe,5,10,chronological_712,42,2024-06-28,2024-06-27,236,0.01,0.03,0.5113235294117647,0.08669763970387616,0.01694915254237288,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
raft,full_safe,5,10,chronological_712,42,2024-06-28,2024-06-27,236,0.01,0.04,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
raft,full_safe,5,10,chronological_712,42,2024-06-28,2024-06-27,236,0.01,0.05,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
raft,full_safe,5,10,chronological_712,42,2024-06-28,2024-06-27,236,0.01,0.06,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
raft,full_safe,5,10,chronological_712,42,2024-06-28,2024-06-27,236,0.01,0.07,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
raft,full_safe,5,10,chronological_712,42,2024-06-28,2024-06-27,236,0.01,0.08,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
raft,full_safe,5,10,chronological_712,42,2024-06-28,2024-06-27,236,0.01,0.1,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
raft,full_safe,5,10,chronological_712,2024,2024-06-28,2024-06-27,236,0.02,0.0,0.5185294117647059,0.03770191410466476,0.6186440677966102,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
raft,full_safe,5,10,chronological_712,2024,2024-06-28,2024-06-27,236,0.02,0.01,0.5344117647058824,0.06813808107225985,0.4703389830508475,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
raft,full_safe,5,10,chronological_712,2024,2024-06-28,2024-06-27,236,0.02,0.02,0.575735294117647,0.17006983771410647,0.2627118644067797,1.0,"balanced_accuracy,higher_mcc,closer_to_zero"
raft,full_safe,5,10,chronological_712,2024,2024-06-28,2024-06-27,236,0.02,0.03,0.5492647058823529,0.16746232521476329,0.09322033898305085,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
raft,full_safe,5,10,chronological_712,2024,2024-06-28,2024-06-27,236,0.02,0.04,0.5089705882352941,0.052258099443717336,0.029661016949152543,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
raft,full_safe,5,10,chronological_712,2024,2024-06-28,2024-06-27,236,0.02,0.05,0.505,0.07607387227263504,0.00423728813559322,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
raft,full_safe,5,10,chronological_712,2024,2024-06-28,2024-06-27,236,0.02,0.06,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
raft,full_safe,5,10,chronological_712,2024,2024-06-28,2024-06-27,236,0.02,0.07,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
raft,full_safe,5,10,chronological_712,2024,2024-06-28,2024-06-27,236,0.02,0.08,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
raft,full_safe,5,10,chronological_712,2024,2024-06-28,2024-06-27,236,0.02,0.1,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
raft,full_safe,5,10,chronological_712,3407,2024-06-28,2024-06-27,236,0.01,0.0,0.5254411764705883,0.06400497020703552,0.1906779661016949,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
raft,full_safe,5,10,chronological_712,3407,2024-06-28,2024-06-27,236,0.01,0.01,0.5426470588235295,0.19185534495904916,0.05084745762711865,1.0,"balanced_accuracy,higher_mcc,closer_to_zero"
raft,full_safe,5,10,chronological_712,3407,2024-06-28,2024-06-27,236,0.01,0.02,0.505,0.07607387227263504,0.00423728813559322,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
raft,full_safe,5,10,chronological_712,3407,2024-06-28,2024-06-27,236,0.01,0.03,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
raft,full_safe,5,10,chronological_712,3407,2024-06-28,2024-06-27,236,0.01,0.04,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
raft,full_safe,5,10,chronological_712,3407,2024-06-28,2024-06-27,236,0.01,0.05,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
raft,full_safe,5,10,chronological_712,3407,2024-06-28,2024-06-27,236,0.01,0.06,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
raft,full_safe,5,10,chronological_712,3407,2024-06-28,2024-06-27,236,0.01,0.07,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
raft,full_safe,5,10,chronological_712,3407,2024-06-28,2024-06-27,236,0.01,0.08,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
raft,full_safe,5,10,chronological_712,3407,2024-06-28,2024-06-27,236,0.01,0.1,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
raft,full_safe,5,15,chronological_712,42,2024-07-01,2024-06-28,236,0.02,0.0,0.4970588235294118,-0.005838936992162498,0.4533898305084746,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
raft,full_safe,5,15,chronological_712,42,2024-07-01,2024-06-28,236,0.02,0.01,0.5536764705882353,0.11713166167079003,0.288135593220339,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
raft,full_safe,5,15,chronological_712,42,2024-07-01,2024-06-28,236,0.02,0.02,0.5829411764705883,0.2575221656912464,0.11440677966101695,1.0,"balanced_accuracy,higher_mcc,closer_to_zero"
raft,full_safe,5,15,chronological_712,42,2024-07-01,2024-06-28,236,0.02,0.03,0.5139705882352941,0.07629599223663422,0.03389830508474576,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
raft,full_safe,5,15,chronological_712,42,2024-07-01,2024-06-28,236,0.02,0.04,0.505,0.07607387227263504,0.00423728813559322,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
raft,full_safe,5,15,chronological_712,42,2024-07-01,2024-06-28,236,0.02,0.05,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
raft,full_safe,5,15,chronological_712,42,2024-07-01,2024-06-28,236,0.02,0.06,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
raft,full_safe,5,15,chronological_712,42,2024-07-01,2024-06-28,236,0.02,0.07,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
raft,full_safe,5,15,chronological_712,42,2024-07-01,2024-06-28,236,0.02,0.08,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
raft,full_safe,5,15,chronological_712,42,2024-07-01,2024-06-28,236,0.02,0.1,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
raft,full_safe,5,15,chronological_712,2024,2024-07-01,2024-06-28,236,0.03,0.0,0.5401470588235294,0.08462706116476172,0.673728813559322,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
raft,full_safe,5,15,chronological_712,2024,2024-07-01,2024-06-28,236,0.03,0.01,0.5379411764705883,0.07588235294117647,0.576271186440678,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
raft,full_safe,5,15,chronological_712,2024,2024-07-01,2024-06-28,236,0.03,0.02,0.5592647058823529,0.12266222033711849,0.3516949152542373,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
raft,full_safe,5,15,chronological_712,2024,2024-07-01,2024-06-28,236,0.03,0.03,0.5625,0.1614930947029026,0.17796610169491525,1.0,"balanced_accuracy,higher_mcc,closer_to_zero"
raft,full_safe,5,15,chronological_712,2024,2024-07-01,2024-06-28,236,0.03,0.04,0.5366176470588235,0.14395228153207149,0.06779661016949153,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
raft,full_safe,5,15,chronological_712,2024,2024-07-01,2024-06-28,236,0.03,0.05,0.5113235294117647,0.08669763970387616,0.01694915254237288,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
raft,full_safe,5,15,chronological_712,2024,2024-07-01,2024-06-28,236,0.03,0.06,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
raft,full_safe,5,15,chronological_712,2024,2024-07-01,2024-06-28,236,0.03,0.07,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
raft,full_safe,5,15,chronological_712,2024,2024-07-01,2024-06-28,236,0.03,0.08,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
raft,full_safe,5,15,chronological_712,2024,2024-07-01,2024-06-28,236,0.03,0.1,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
raft,full_safe,5,15,chronological_712,3407,2024-07-01,2024-06-28,236,0.02,0.0,0.4792647058823529,-0.04107977295910088,0.5338983050847458,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
raft,full_safe,5,15,chronological_712,3407,2024-07-01,2024-06-28,236,0.02,0.01,0.5208823529411765,0.04310398714502997,0.3559322033898305,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
raft,full_safe,5,15,chronological_712,3407,2024-07-01,2024-06-28,236,0.02,0.02,0.5227941176470589,0.059458370280532226,0.17372881355932204,1.0,"balanced_accuracy,higher_mcc,closer_to_zero"
raft,full_safe,5,15,chronological_712,3407,2024-07-01,2024-06-28,236,0.02,0.03,0.5163235294117647,0.11202695299389795,0.0211864406779661,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
raft,full_safe,5,15,chronological_712,3407,2024-07-01,2024-06-28,236,0.02,0.04,0.505,0.07607387227263504,0.00423728813559322,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
raft,full_safe,5,15,chronological_712,3407,2024-07-01,2024-06-28,236,0.02,0.05,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
raft,full_safe,5,15,chronological_712,3407,2024-07-01,2024-06-28,236,0.02,0.06,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
raft,full_safe,5,15,chronological_712,3407,2024-07-01,2024-06-28,236,0.02,0.07,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
raft,full_safe,5,15,chronological_712,3407,2024-07-01,2024-06-28,236,0.02,0.08,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
raft,full_safe,5,15,chronological_712,3407,2024-07-01,2024-06-28,236,0.02,0.1,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
raft,full_safe,5,20,chronological_712,42,2024-07-02,2024-07-01,235,0.03,0.0,0.5556010725458067,0.1286962692189318,0.7617021276595745,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
raft,full_safe,5,20,chronological_712,42,2024-07-02,2024-07-01,235,0.03,0.01,0.5294205273350217,0.061226992511825,0.6595744680851063,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
raft,full_safe,5,20,chronological_712,42,2024-07-02,2024-07-01,235,0.03,0.02,0.5419335617458663,0.08270487975582792,0.502127659574468,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
raft,full_safe,5,20,chronological_712,42,2024-07-02,2024-07-01,235,0.03,0.03,0.5683003128258602,0.14131015355123172,0.34893617021276596,1.0,"balanced_accuracy,higher_mcc,closer_to_zero"
raft,full_safe,5,20,chronological_712,42,2024-07-02,2024-07-01,235,0.03,0.04,0.5341129152390883,0.08049122249034253,0.225531914893617,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
raft,full_safe,5,20,chronological_712,42,2024-07-02,2024-07-01,235,0.03,0.05,0.544391479219425,0.12936208399662638,0.13191489361702127,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
raft,full_safe,5,20,chronological_712,42,2024-07-02,2024-07-01,235,0.03,0.06,0.5378742737971101,0.1482741976903592,0.06808510638297872,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
raft,full_safe,5,20,chronological_712,42,2024-07-02,2024-07-01,235,0.03,0.07,0.5153061224489796,0.13445095168711424,0.01276595744680851,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
raft,full_safe,5,20,chronological_712,42,2024-07-02,2024-07-01,235,0.03,0.08,0.5051020408163265,0.07729284925278093,0.00425531914893617,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
raft,full_safe,5,20,chronological_712,42,2024-07-02,2024-07-01,235,0.03,0.1,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
raft,full_safe,5,20,chronological_712,2024,2024-07-02,2024-07-01,235,0.01,0.0,0.5791747355876657,0.15735638172871402,0.43829787234042555,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
raft,full_safe,5,20,chronological_712,2024,2024-07-02,2024-07-01,235,0.01,0.01,0.5939222404290183,0.22468690461837612,0.2170212765957447,1.0,"balanced_accuracy,higher_mcc,closer_to_zero"
raft,full_safe,5,20,chronological_712,2024,2024-07-02,2024-07-01,235,0.01,0.02,0.5335170564576196,0.16374872569304358,0.0425531914893617,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
raft,full_safe,5,20,chronological_712,2024,2024-07-02,2024-07-01,235,0.01,0.03,0.5102040816326531,0.10954291234610221,0.00851063829787234,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
raft,full_safe,5,20,chronological_712,2024,2024-07-02,2024-07-01,235,0.01,0.04,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
raft,full_safe,5,20,chronological_712,2024,2024-07-02,2024-07-01,235,0.01,0.05,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
raft,full_safe,5,20,chronological_712,2024,2024-07-02,2024-07-01,235,0.01,0.06,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
raft,full_safe,5,20,chronological_712,2024,2024-07-02,2024-07-01,235,0.01,0.07,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
raft,full_safe,5,20,chronological_712,2024,2024-07-02,2024-07-01,235,0.01,0.08,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
raft,full_safe,5,20,chronological_712,2024,2024-07-02,2024-07-01,235,0.01,0.1,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
raft,full_safe,5,20,chronological_712,3407,2024-07-02,2024-07-01,235,0.04,0.0,0.5169819752718606,0.03709364224430099,0.7148936170212766,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
raft,full_safe,5,20,chronological_712,3407,2024-07-02,2024-07-01,235,0.04,0.01,0.5302398331595412,0.05979765955438591,0.5361702127659574,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
raft,full_safe,5,20,chronological_712,3407,2024-07-02,2024-07-01,235,0.04,0.02,0.5128482049754208,0.026063967042849717,0.3829787234042553,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
raft,full_safe,5,20,chronological_712,3407,2024-07-02,2024-07-01,235,0.04,0.03,0.5253984805601073,0.06599609817329626,0.17446808510638298,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
