horizon,lookback,split_strategy,seed,train_start_date,train_end_date,train_max_target_date,validation_start_date,validation_end_date,test_start_date,test_end_date,prediction_anchor_date,prediction_target_date,n_train,n_predictions,fixed_split_threshold_source,threshold_calibration_max_target_date,n_threshold_samples,selected_feature_count,selected_columns_hash
5,5,chronological_712,42,2016-07-05,2023-06-16,2023-06-27,2023-06-28,2024-06-19,2024-06-27,2026-06-18,2024-06-27,2024-07-04,1691,479,validation,2024-06-26,237,160,eaf28197372777168130e2f1ccd4f5d85289cb73d85ac924a17518b5834c89f6
5,5,chronological_712,2024,2016-07-05,2023-06-16,2023-06-27,2023-06-28,2024-06-19,2024-06-27,2026-06-18,2024-06-27,2024-07-04,1691,479,validation,2024-06-26,237,160,eaf28197372777168130e2f1ccd4f5d85289cb73d85ac924a17518b5834c89f6
5,5,chronological_712,3407,2016-07-05,2023-06-16,2023-06-27,2023-06-28,2024-06-19,2024-06-27,2026-06-18,2024-06-27,2024-07-04,1691,479,validation,2024-06-26,237,160,eaf28197372777168130e2f1ccd4f5d85289cb73d85ac924a17518b5834c89f6
5,10,chronological_712,42,2016-07-12,2023-06-20,2023-06-29,2023-06-30,2024-06-20,2024-06-28,2026-06-18,2024-06-28,2024-07-05,1688,478,validation,2024-06-27,236,320,469667eb6a84daaed653232382748eec5f7cdb2cb02c55dbf4c68b52a5c45652
5,10,chronological_712,2024,2016-07-12,2023-06-20,2023-06-29,2023-06-30,2024-06-20,2024-06-28,2026-06-18,2024-06-28,2024-07-05,1688,478,validation,2024-06-27,236,320,469667eb6a84daaed653232382748eec5f7cdb2cb02c55dbf4c68b52a5c45652
5,10,chronological_712,3407,2016-07-12,2023-06-20,2023-06-29,2023-06-30,2024-06-20,2024-06-28,2026-06-18,2024-06-28,2024-07-05,1688,478,validation,2024-06-27,236,320,469667eb6a84daaed653232382748eec5f7cdb2cb02c55dbf4c68b52a5c45652
5,15,chronological_712,42,2016-07-19,2023-06-21,2023-06-30,2023-07-03,2024-06-21,2024-07-01,2026-06-18,2024-07-01,2024-07-08,1684,477,validation,2024-06-28,236,480,0473a9c469cd14cf3d8f3b619d2940808cca6f28ffbce4a64f01a4621301f99e
5,15,chronological_712,2024,2016-07-19,2023-06-21,2023-06-30,2023-07-03,2024-06-21,2024-07-01,2026-06-18,2024-07-01,2024-07-08,1684,477,validation,2024-06-28,236,480,0473a9c469cd14cf3d8f3b619d2940808cca6f28ffbce4a64f01a4621301f99e
5,15,chronological_712,3407,2016-07-19,2023-06-21,2023-06-30,2023-07-03,2024-06-21,2024-07-01,2026-06-18,2024-07-01,2024-07-08,1684,477,validation,2024-06-28,236,480,0473a9c469cd14cf3d8f3b619d2940808cca6f28ffbce4a64f01a4621301f99e
5,20,chronological_712,42,2016-07-26,2023-06-27,2023-07-04,2023-07-05,2024-06-24,2024-07-02,2026-06-18,2024-07-02,2024-07-09,1681,476,validation,2024-07-01,235,640,56b4b0ff0dd6fc31ed86e9a06fdd4ba5f34e909cbfa567bd75b7b08da7d4508e
