model,feature_set,horizon,lookback,split_strategy,seed,prediction_anchor_date,threshold_calibration_end_date,n_threshold_samples,selected_threshold,candidate_threshold,validation_balanced_accuracy,validation_mcc,validation_predicted_up_rate,is_selected,selection_rule
simpletm,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.04,0.0,0.5326514269073966,0.09712175060157524,0.8734177215189873,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
simpletm,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.04,0.01,0.4855489225393128,-0.037087304749115764,0.8185654008438819,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
simpletm,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.04,0.02,0.49898078043098426,-0.0024891491802286536,0.7932489451476793,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
simpletm,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.04,0.03,0.5184915550378567,0.04229583120714812,0.7510548523206751,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
simpletm,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.04,0.04,0.590746942341293,0.18922884075031152,0.6582278481012658,1.0,"balanced_accuracy,higher_mcc,closer_to_zero"
simpletm,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.04,0.05,0.5593331391962726,0.11766824071638485,0.5358649789029536,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
simpletm,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.04,0.06,0.47870559114735006,-0.04253620642183678,0.43037974683544306,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
simpletm,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.04,0.07,0.47699475829935933,-0.04826639337239525,0.3333333333333333,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
simpletm,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.04,0.08,0.46283488642981946,-0.09009274004374139,0.2109704641350211,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
simpletm,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.04,0.1,0.47808677926616194,-0.09518547135597942,0.05485232067510549,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
simpletm,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.06,0.0,0.5281377402446127,0.1384319779495264,0.9578059071729957,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
simpletm,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.06,0.01,0.5476485148514851,0.16953705729871799,0.9156118143459916,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
simpletm,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.06,0.02,0.5668680838672102,0.17008813629513558,0.8143459915611815,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
simpletm,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.06,0.03,0.5836852067559697,0.18551880083132183,0.7257383966244726,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
simpletm,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.06,0.04,0.5637376237623762,0.13506296233010584,0.679324894514768,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
simpletm,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.06,0.05,0.5843768200349446,0.1715877053736833,0.6160337552742616,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
simpletm,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.06,0.06,0.5852140361094933,0.1689946941822435,0.5358649789029536,1.0,"balanced_accuracy,higher_mcc,closer_to_zero"
simpletm,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.06,0.07,0.5846316249271986,0.16972103660793572,0.4177215189873418,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
simpletm,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.06,0.08,0.5556202679091438,0.12216065457033258,0.28270042194092826,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
simpletm,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.06,0.1,0.48205445544554454,-0.05679222405909773,0.10970464135021098,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
simpletm,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.05,0.0,0.5281377402446127,0.1384319779495264,0.9578059071729957,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
simpletm,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.05,0.01,0.529120559114735,0.09924971664672809,0.9071729957805907,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
simpletm,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.05,0.02,0.5349082702387886,0.0921775917237449,0.8312236286919831,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
simpletm,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.05,0.03,0.5616263832265579,0.1409583508537436,0.7510548523206751,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
simpletm,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.05,0.04,0.5624635993011066,0.1314744246418193,0.6708860759493671,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
