model,feature_set,horizon,lookback,split_strategy,seed,prediction_anchor_date,threshold_calibration_end_date,n_threshold_samples,selected_threshold,candidate_threshold,validation_balanced_accuracy,validation_mcc,validation_predicted_up_rate,is_selected,selection_rule
svr,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.01,0.0,0.48110803727431567,-0.03788611526861017,0.4177215189873418,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
svr,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.01,0.01,0.5076805474665114,0.016453904039507233,0.3080168776371308,1.0,"balanced_accuracy,higher_mcc,closer_to_zero"
svr,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.01,0.02,0.4727358765288293,-0.06515745917749642,0.21940928270042195,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
svr,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.01,0.03,0.4836196854979616,-0.04242681417056393,0.17721518987341772,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
svr,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.01,0.04,0.49195544554455445,-0.02464960554529091,0.11814345991561181,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
svr,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.01,0.05,0.4990171811298777,-0.004433551330755755,0.05063291139240506,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
svr,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.01,0.06,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
svr,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.01,0.07,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
svr,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.01,0.08,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
svr,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.01,0.1,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
svr,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.01,0.0,0.48110803727431567,-0.03788611526861017,0.4177215189873418,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
svr,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.01,0.01,0.5076805474665114,0.016453904039507233,0.3080168776371308,1.0,"balanced_accuracy,higher_mcc,closer_to_zero"
svr,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.01,0.02,0.4727358765288293,-0.06515745917749642,0.21940928270042195,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
svr,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.01,0.03,0.4836196854979616,-0.04242681417056393,0.17721518987341772,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
svr,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.01,0.04,0.49195544554455445,-0.02464960554529091,0.11814345991561181,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
svr,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.01,0.05,0.4990171811298777,-0.004433551330755755,0.05063291139240506,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
svr,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.01,0.06,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
svr,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.01,0.07,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
svr,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.01,0.08,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
svr,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.01,0.1,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
svr,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.01,0.0,0.48110803727431567,-0.03788611526861017,0.4177215189873418,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
svr,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.01,0.01,0.5076805474665114,0.016453904039507233,0.3080168776371308,1.0,"balanced_accuracy,higher_mcc,closer_to_zero"
svr,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.01,0.02,0.4727358765288293,-0.06515745917749642,0.21940928270042195,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
svr,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.01,0.03,0.4836196854979616,-0.04242681417056393,0.17721518987341772,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
svr,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.01,0.04,0.49195544554455445,-0.02464960554529091,0.11814345991561181,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
svr,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.01,0.05,0.4990171811298777,-0.004433551330755755,0.05063291139240506,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
svr,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.01,0.06,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
svr,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.01,0.07,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
svr,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.01,0.08,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
svr,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.01,0.1,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
svr,full_safe,5,10,chronological_712,42,2024-06-28,2024-06-27,236,0.06,0.0,0.49073529411764705,-0.018442825254637574,0.4406779661016949,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
svr,full_safe,5,10,chronological_712,42,2024-06-28,2024-06-27,236,0.06,0.01,0.4798529411764706,-0.04193752011072773,0.3432203389830508,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
svr,full_safe,5,10,chronological_712,42,2024-06-28,2024-06-27,236,0.06,0.02,0.4913235294117647,-0.019802950859533486,0.25,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
svr,full_safe,5,10,chronological_712,42,2024-06-28,2024-06-27,236,0.06,0.03,0.49441176470588233,-0.014180684058130139,0.1864406779661017,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
svr,full_safe,5,10,chronological_712,42,2024-06-28,2024-06-27,236,0.06,0.04,0.4767647058823529,-0.06315681550224711,0.15677966101694915,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
svr,full_safe,5,10,chronological_712,42,2024-06-28,2024-06-27,236,0.06,0.05,0.4735294117647059,-0.0961515688675357,0.08050847457627118,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
svr,full_safe,5,10,chronological_712,42,2024-06-28,2024-06-27,236,0.06,0.06,0.5026470588235294,0.020266980709997023,0.01694915254237288,1.0,"balanced_accuracy,higher_mcc,closer_to_zero"
svr,full_safe,5,10,chronological_712,42,2024-06-28,2024-06-27,236,0.06,0.07,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
svr,full_safe,5,10,chronological_712,42,2024-06-28,2024-06-27,236,0.06,0.08,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
svr,full_safe,5,10,chronological_712,42,2024-06-28,2024-06-27,236,0.06,0.1,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
