model,feature_set,horizon,lookback,split_strategy,seed,prediction_anchor_date,threshold_calibration_end_date,n_threshold_samples,selected_threshold,candidate_threshold,validation_balanced_accuracy,validation_mcc,validation_predicted_up_rate,is_selected,selection_rule
tcn,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.03,0.0,0.47619394292370415,-0.05010738561523882,0.6708860759493671,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
tcn,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.03,0.01,0.47178945835760044,-0.05588658128344743,0.5274261603375527,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
tcn,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.03,0.02,0.5250800815375656,0.05245589014333586,0.33755274261603374,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
tcn,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.03,0.03,0.5425888177053,0.12167004453494847,0.13924050632911392,1.0,"balanced_accuracy,higher_mcc,closer_to_zero"
tcn,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.03,0.04,0.5285745486313337,0.13433493005058314,0.046413502109704644,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
tcn,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.03,0.05,0.504950495049505,0.07553578828140897,0.004219409282700422,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
tcn,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.03,0.06,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
tcn,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.03,0.07,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
tcn,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.03,0.08,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
tcn,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.03,0.1,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
tcn,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.03,0.0,0.4955591147350029,-0.008962387448736349,0.5991561181434599,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
tcn,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.03,0.01,0.44801980198019803,-0.10322653115582324,0.45569620253164556,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
tcn,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.03,0.02,0.49919918462434476,-0.0016749340829512176,0.33755274261603374,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
tcn,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.03,0.03,0.5256260920209668,0.06356481518593161,0.19831223628691982,1.0,"balanced_accuracy,higher_mcc,closer_to_zero"
tcn,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.03,0.04,0.5127402446126966,0.04533076398361443,0.08438818565400844,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
tcn,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.03,0.05,0.49519510774606873,-0.030252563067901965,0.02531645569620253,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
tcn,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.03,0.06,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
tcn,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.03,0.07,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
tcn,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.03,0.08,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
tcn,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.03,0.1,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
tcn,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.04,0.0,0.45526354105998834,-0.0944748884704585,0.6751054852320675,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
tcn,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.04,0.01,0.43134828188701224,-0.13730343622597554,0.5738396624472574,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
tcn,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.04,0.02,0.5007644146767618,0.0015400824816340399,0.4050632911392405,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
tcn,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.04,0.03,0.5219496214327315,0.0540176454854861,0.20253164556962025,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
tcn,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.04,0.04,0.5435716365754222,0.15164478733513162,0.08860759493670886,1.0,"balanced_accuracy,higher_mcc,closer_to_zero"
tcn,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.04,0.05,0.5148514851485149,0.13138974384637966,0.012658227848101266,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
tcn,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.04,0.06,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
tcn,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.04,0.07,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
tcn,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.04,0.08,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
tcn,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.04,0.1,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
tcn,full_safe,5,10,chronological_712,42,2024-06-28,2024-06-27,236,0.04,0.0,0.4852941176470588,-0.03437715283589166,0.7669491525423728,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
tcn,full_safe,5,10,chronological_712,42,2024-06-28,2024-06-27,236,0.04,0.01,0.4614705882352941,-0.07823248601955948,0.614406779661017,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
tcn,full_safe,5,10,chronological_712,42,2024-06-28,2024-06-27,236,0.04,0.02,0.47,-0.059374621027167965,0.4745762711864407,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
tcn,full_safe,5,10,chronological_712,42,2024-06-28,2024-06-27,236,0.04,0.03,0.54,0.08767558806911945,0.2838983050847458,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
tcn,full_safe,5,10,chronological_712,42,2024-06-28,2024-06-27,236,0.04,0.04,0.548235294117647,0.1497646637353348,0.11440677966101695,1.0,"balanced_accuracy,higher_mcc,closer_to_zero"
tcn,full_safe,5,10,chronological_712,42,2024-06-28,2024-06-27,236,0.04,0.05,0.5176470588235295,0.1028028185778046,0.029661016949152543,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
tcn,full_safe,5,10,chronological_712,42,2024-06-28,2024-06-27,236,0.04,0.06,0.4963235294117647,-0.055936670788702236,0.00423728813559322,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
tcn,full_safe,5,10,chronological_712,42,2024-06-28,2024-06-27,236,0.04,0.07,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
tcn,full_safe,5,10,chronological_712,42,2024-06-28,2024-06-27,236,0.04,0.08,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
