horizon,lookback,split_strategy,seed,expected_predictions,actual_predictions,unique_anchor_dates,status
5,5,chronological_712,42,479,479,479,PASS
5,5,chronological_712,2024,479,479,479,PASS
5,5,chronological_712,3407,479,479,479,PASS
5,10,chronological_712,42,478,478,478,PASS
5,10,chronological_712,2024,478,478,478,PASS
5,10,chronological_712,3407,478,478,478,PASS
5,15,chronological_712,42,477,477,477,PASS
5,15,chronological_712,2024,477,477,477,PASS
5,15,chronological_712,3407,477,477,477,PASS
5,20,chronological_712,42,476,476,476,PASS
5,20,chronological_712,2024,476,476,476,PASS
5,20,chronological_712,3407,476,476,476,PASS
10,5,chronological_712,42,473,473,473,PASS
10,5,chronological_712,2024,473,473,473,PASS
10,5,chronological_712,3407,473,473,473,PASS
10,10,chronological_712,42,472,472,472,PASS
10,10,chronological_712,2024,472,472,472,PASS
10,10,chronological_712,3407,472,472,472,PASS
10,15,chronological_712,42,471,471,471,PASS
10,15,chronological_712,2024,471,471,471,PASS
10,15,chronological_712,3407,471,471,471,PASS
10,20,chronological_712,42,470,470,470,PASS
10,20,chronological_712,2024,470,470,470,PASS
10,20,chronological_712,3407,470,470,470,PASS
15,5,chronological_712,42,467,467,467,PASS
15,5,chronological_712,2024,467,467,467,PASS
15,5,chronological_712,3407,467,467,467,PASS
15,10,chronological_712,42,466,466,466,PASS
15,10,chronological_712,2024,466,466,466,PASS
15,10,chronological_712,3407,466,466,466,PASS
15,15,chronological_712,42,465,465,465,PASS
15,15,chronological_712,2024,465,465,465,PASS
15,15,chronological_712,3407,465,465,465,PASS
15,20,chronological_712,42,464,464,464,PASS
15,20,chronological_712,2024,464,464,464,PASS
15,20,chronological_712,3407,464,464,464,PASS
20,5,chronological_712,42,461,461,461,PASS
20,5,chronological_712,2024,461,461,461,PASS
20,5,chronological_712,3407,461,461,461,PASS
20,10,chronological_712,42,460,460,460,PASS
20,10,chronological_712,2024,460,460,460,PASS
20,10,chronological_712,3407,460,460,460,PASS
20,15,chronological_712,42,459,459,459,PASS
20,15,chronological_712,2024,459,459,459,PASS
20,15,chronological_712,3407,459,459,459,PASS
20,20,chronological_712,42,458,458,458,PASS
20,20,chronological_712,2024,458,458,458,PASS
20,20,chronological_712,3407,458,458,458,PASS
