model,feature_set,horizon,lookback,split_strategy,seed,prediction_anchor_date,threshold_calibration_end_date,n_threshold_samples,selected_threshold,candidate_threshold,validation_balanced_accuracy,validation_mcc,validation_predicted_up_rate,is_selected,selection_rule
xgboost,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.05,0.0,0.495304309842749,-0.011556013710825383,0.7974683544303798,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
xgboost,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.05,0.01,0.5319234129295283,0.07076989487997792,0.7257383966244726,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
xgboost,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.05,0.02,0.5477577169481654,0.10192812420066567,0.6877637130801688,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
xgboost,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.05,0.03,0.5825203843913803,0.1632674836550291,0.48945147679324896,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
xgboost,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.05,0.04,0.5864516598718695,0.18903214578443925,0.2869198312236287,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
xgboost,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.05,0.05,0.6079280722189866,0.30451387033546856,0.14345991561181434,1.0,"balanced_accuracy,higher_mcc,closer_to_zero"
xgboost,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.05,0.06,0.5408779848573093,0.20111139875461598,0.04219409282700422,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
xgboost,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.05,0.07,0.504950495049505,0.07553578828140897,0.004219409282700422,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
xgboost,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.05,0.08,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
xgboost,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.05,0.1,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
