model,feature_set,horizon,lookback,split_strategy,seed,prediction_anchor_date,threshold_calibration_end_date,n_threshold_samples,selected_threshold,candidate_threshold,validation_balanced_accuracy,validation_mcc,validation_predicted_up_rate,is_selected,selection_rule
xlinear,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.02,0.0,0.4514414676761794,-0.10067607645571713,0.6497890295358649,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
xlinear,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.02,0.01,0.44689138031450204,-0.10516593478750152,0.4767932489451477,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
xlinear,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.02,0.02,0.5220952242283052,0.051765630883584074,0.2320675105485232,1.0,"balanced_accuracy,higher_mcc,closer_to_zero"
xlinear,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.02,0.03,0.5100465928945835,0.051986462090127014,0.0379746835443038,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
xlinear,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.02,0.04,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
xlinear,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.02,0.05,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
xlinear,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.02,0.06,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
xlinear,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.02,0.07,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
xlinear,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.02,0.08,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
xlinear,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.02,0.1,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
xlinear,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.03,0.0,0.42286691904484563,-0.15594407192965143,0.6033755274261603,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
xlinear,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.03,0.01,0.4307658707047175,-0.13749079990082338,0.45569620253164556,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
xlinear,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.03,0.02,0.4669481654047758,-0.07165532198616925,0.29535864978902954,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
