"dataset","model","run_id","horizon","lookback","seed","validation_rmse","selected_feature_count","best_epoch","base_fixed_params","selected_grid_params"
"corn_factors_daily_v2","knn","2026-07-20-16-44-44-model-catalog-autodl","5","5","42","190.80228154371704","370","","p=2; n_jobs=-1","n_neighbors=15; weights=uniform"
"corn_factors_daily_v2","knn","2026-07-20-16-44-44-model-catalog-autodl","5","5","2024","190.80228154371704","370","","p=2; n_jobs=-1","n_neighbors=15; weights=uniform"
"corn_factors_daily_v2","knn","2026-07-20-16-44-44-model-catalog-autodl","5","5","3407","190.80228154371704","370","","p=2; n_jobs=-1","n_neighbors=15; weights=uniform"
"corn_factors_daily_v2","knn","2026-07-20-16-44-44-model-catalog-autodl","5","10","42","200.67145047510257","740","","p=2; n_jobs=-1","n_neighbors=15; weights=uniform"
"corn_factors_daily_v2","knn","2026-07-20-16-44-44-model-catalog-autodl","5","10","2024","200.67145047510257","740","","p=2; n_jobs=-1","n_neighbors=15; weights=uniform"
"corn_factors_daily_v2","knn","2026-07-20-16-44-44-model-catalog-autodl","5","10","3407","200.67145047510257","740","","p=2; n_jobs=-1","n_neighbors=15; weights=uniform"
"corn_factors_daily_v2","knn","2026-07-20-16-44-44-model-catalog-autodl","5","15","42","200.15584690647302","1110","","p=2; n_jobs=-1","n_neighbors=15; weights=uniform"
"corn_factors_daily_v2","knn","2026-07-20-16-44-44-model-catalog-autodl","5","15","2024","200.15584690647302","1110","","p=2; n_jobs=-1","n_neighbors=15; weights=uniform"
"corn_factors_daily_v2","knn","2026-07-20-16-44-44-model-catalog-autodl","5","15","3407","200.15584690647302","1110","","p=2; n_jobs=-1","n_neighbors=15; weights=uniform"
"corn_factors_daily_v2","knn","2026-07-20-16-44-44-model-catalog-autodl","5","20","42","213.04549762137097","1480","","p=2; n_jobs=-1","n_neighbors=15; weights=uniform"
"corn_factors_daily_v2","knn","2026-07-20-16-44-44-model-catalog-autodl","5","20","2024","213.04549762137097","1480","","p=2; n_jobs=-1","n_neighbors=15; weights=uniform"
"corn_factors_daily_v2","knn","2026-07-20-16-44-44-model-catalog-autodl","5","20","3407","213.04549762137097","1480","","p=2; n_jobs=-1","n_neighbors=15; weights=uniform"
"corn_factors_daily_v2","knn","2026-07-20-16-44-44-model-catalog-autodl","10","5","42","187.0351542297568","370","","p=2; n_jobs=-1","n_neighbors=15; weights=uniform"
"corn_factors_daily_v2","knn","2026-07-20-16-44-44-model-catalog-autodl","10","5","2024","187.0351542297568","370","","p=2; n_jobs=-1","n_neighbors=15; weights=uniform"
"corn_factors_daily_v2","knn","2026-07-20-16-44-44-model-catalog-autodl","10","5","3407","187.0351542297568","370","","p=2; n_jobs=-1","n_neighbors=15; weights=uniform"
"corn_factors_daily_v2","knn","2026-07-20-16-44-44-model-catalog-autodl","10","10","42","206.90849808571562","740","","p=2; n_jobs=-1","n_neighbors=15; weights=uniform"
"corn_factors_daily_v2","knn","2026-07-20-16-44-44-model-catalog-autodl","10","10","2024","206.90849808571562","740","","p=2; n_jobs=-1","n_neighbors=15; weights=uniform"
"corn_factors_daily_v2","knn","2026-07-20-16-44-44-model-catalog-autodl","10","10","3407","206.90849808571562","740","","p=2; n_jobs=-1","n_neighbors=15; weights=uniform"
"corn_factors_daily_v2","knn","2026-07-20-16-44-44-model-catalog-autodl","10","15","42","211.12459343167677","1110","","p=2; n_jobs=-1","n_neighbors=15; weights=uniform"
"corn_factors_daily_v2","knn","2026-07-20-16-44-44-model-catalog-autodl","10","15","2024","211.12459343167677","1110","","p=2; n_jobs=-1","n_neighbors=15; weights=uniform"
"corn_factors_daily_v2","knn","2026-07-20-16-44-44-model-catalog-autodl","10","15","3407","211.12459343167677","1110","","p=2; n_jobs=-1","n_neighbors=15; weights=uniform"
"corn_factors_daily_v2","knn","2026-07-20-16-44-44-model-catalog-autodl","10","20","42","221.6349370774683","1480","","p=2; n_jobs=-1","n_neighbors=15; weights=uniform"
"corn_factors_daily_v2","knn","2026-07-20-16-44-44-model-catalog-autodl","10","20","2024","221.6349370774683","1480","","p=2; n_jobs=-1","n_neighbors=15; weights=uniform"
