ensemble,eval_target,variant,n_predictions,coverage,auc,average_precision,balanced_accuracy,accuracy,tn,fp,fn,tp,predicted_positive_rate,actual_positive_rate,mean_score
top6_h1,1,hard_vote_strict,72,1.0,0.8216783216783217,0.7423738055317003,0.7657342657342657,0.7638888888888888,29,10,7,26,0.5,0.4583333333333333,0.5787037037037037
top6_h2,2,hard_vote_strict,70,1.0,0.7944078947368421,0.8322625445220808,0.712171052631579,0.7142857142857143,22,10,10,28,0.5428571428571428,0.5428571428571428,0.6095238095238095
top6_h1,1,soft_uniform_05,72,1.0,0.6534576534576535,0.5881030038143991,0.6328671328671329,0.625,21,18,9,24,0.5833333333333334,0.4583333333333333,0.5357263366626877
top6_h1,1,soft_uniform_band_55_45,72,0.875,0.6484848484848484,0.5980021882338235,0.6257575757575757,0.6190476190476191,16,17,7,23,0.6349206349206349,0.47619047619047616,0.5427018561943106
top6_h1,1,soft_weighted_05,72,1.0,0.6278166278166278,0.612493501576263,0.6223776223776224,0.6111111111111112,19,20,8,25,0.625,0.4583333333333333,0.5433320419363373
top6_h1,1,soft_weighted_band_55_45,72,0.8055555555555556,0.6076099881093936,0.6366572664479605,0.603448275862069,0.603448275862069,13,16,7,22,0.6551724137931034,0.5,0.5547794862571869
top6_h1,1,soft_uniform_rollthr,72,1.0,0.6534576534576535,0.5881030038143991,0.5897435897435896,0.5833333333333334,20,19,11,22,0.5694444444444444,0.4583333333333333,0.5357263366626877
top6_h1,1,soft_weighted_rollthr,72,1.0,0.6278166278166278,0.612493501576263,0.5664335664335665,0.5555555555555556,17,22,10,23,0.625,0.4583333333333333,0.5433320419363373
h1_h2_same_anchor_confirmation,h1_target,confirm_uniform_55_45,70,0.5857142857142857,0.5574162679425838,0.6148284462578889,0.5107655502392344,0.5365853658536586,3,16,3,19,0.8536585365853658,0.5365853658536586,0.6201668354928642
h1_h2_same_anchor_confirmation,h1_target,confirm_weighted_55_45,70,0.5428571428571428,0.53125,0.6872918922792015,0.5028409090909092,0.5526315789473685,3,13,4,18,0.8157894736842105,0.5789473684210527,0.6113271548799223
top6_h2,2,soft_weighted_rollthr,70,1.0,0.540296052631579,0.6645261722233194,0.4613486842105263,0.4714285714285714,11,21,16,22,0.6142857142857143,0.5428571428571428,0.6177399764723838
top6_h2,2,soft_weighted_05,70,1.0,0.540296052631579,0.6645261722233194,0.45723684210526316,0.4857142857142857,4,28,8,30,0.8285714285714286,0.5428571428571428,0.6177399764723838
top6_h2,2,soft_uniform_rollthr,70,1.0,0.540296052631579,0.671537803333001,0.4564144736842105,0.4714285714285714,9,23,14,24,0.6714285714285714,0.5428571428571428,0.6222177801531361
top6_h2,2,soft_uniform_band_55_45,70,0.9,0.5438775510204082,0.6871996372260678,0.45,0.49206349206349204,2,26,6,29,0.873015873015873,0.5555555555555556,0.6355442396443419
top6_h2,2,soft_uniform_05,70,1.0,0.540296052631579,0.671537803333001,0.44161184210526316,0.4714285714285714,3,29,8,30,0.8428571428571429,0.5428571428571428,0.6222177801531361
top6_h2,2,soft_weighted_band_55_45,70,0.8714285714285714,0.5219780219780219,0.6828482982316537,0.43846153846153846,0.4918032786885246,2,24,7,28,0.8524590163934426,0.5737704918032787,0.6338697551420494
h1_h2_same_anchor_confirmation,h2_target,confirm_uniform_55_45,70,0.5857142857142857,0.4358974358974359,0.6420696601415267,0.4371794871794872,0.5365853658536586,1,14,5,21,0.8536585365853658,0.6341463414634146,0.6201668354928642
h1_h2_same_anchor_confirmation,h2_target,confirm_weighted_55_45,70,0.5428571428571428,0.40476190476190477,0.6646984221877329,0.4107142857142857,0.5,1,13,6,18,0.8157894736842105,0.631578947368421,0.6113271548799223
