feature_set,model,family,package,source_kind,input_kind,lookback_months,horizon_months,head,classifier_loss,regressor_loss,n_predictions,class_0_count,class_1_count,auc,average_precision,balanced_accuracy,accuracy,tn,fp,fn,tp,reg_price_r2,naive_price_r2,r2_status,price_rmse,price_mae,predicted_positive_rate,actual_positive_rate,r2_ok,expected_predictions,completion_ratio,valid_ba
no_news,aeon_deep_inceptiontime,tsc_deep_learning,aeon,official_aeon,aeon_collection,12,1,cls,deep_categorical_crossentropy,deep_mean_squared_error,72,39,33,0.48329448329448327,0.48518554070571196,0.5384615384615384,0.5277777777777778,16,23,11,22,-0.25485240782683083,0.8495432884599309,abnormal,255.1393128688951,162.73115746058897,0.625,0.4583333333333333,False,72,1.0,True
no_news,sgd_log_loss,linear,sklearn,official_tabular_package,tabular_flat,6,1,cls,log_loss,squared_error,78,39,39,0.4980276134122288,0.48788869327669715,0.5128205128205128,0.5128205128205128,12,27,11,28,-308726376.22843826,0.8885904951041629,abnormal,4534548.768844622,616187.4932054332,0.7051282051282052,0.5,False,78,1.0,True
no_news,sgd_log_loss,linear,sklearn,official_tabular_package,tabular_flat,12,1,cls,log_loss,squared_error,72,39,33,0.48329448329448327,0.45094553238133234,0.5116550116550117,0.4861111111111111,8,31,6,27,-6.257335505343265e+23,0.8495432884599309,abnormal,180167220331026.7,80624811418863.9,0.8055555555555556,0.4583333333333333,False,72,1.0,True
no_news,sgd_log_loss,linear,sklearn,official_tabular_package,tabular_flat,9,1,cls,log_loss,squared_error,75,39,36,0.4608262108262108,0.45941158726468256,0.48717948717948717,0.48,12,27,12,24,-4.612013216370903e+22,0.8694828593903242,abnormal,51494014556450.15,6782344283849.258,0.68,0.48,False,75,1.0,True
no_news,mlp_small_relu,neural_sklearn,sklearn,official_tabular_package,tabular_flat,12,1,cls,log_loss_mlp,squared_error_mlp,72,39,33,0.37451437451437447,0.4258878404350829,0.38111888111888115,0.375,12,27,18,15,-0.3850013738829663,0.8495432884599309,abnormal,268.04404273924206,184.82356050604326,0.5833333333333334,0.4583333333333333,False,72,1.0,True
no_news,aeon_deep_inceptiontime,tsc_deep_learning,aeon,official_aeon,aeon_collection,12,1,reg,deep_categorical_crossentropy,deep_mean_squared_error,72,39,33,0.547008547008547,0.5163218979675515,0.5081585081585082,0.5,16,23,13,20,-0.25485240782683083,0.8495432884599309,abnormal,255.1393128688951,162.73115746058897,0.5972222222222222,0.4583333333333333,False,72,1.0,True
no_news,sgd_log_loss,linear,sklearn,official_tabular_package,tabular_flat,6,1,reg,log_loss,squared_error,78,39,39,0.49474030243261014,0.5219946180487612,0.47435897435897434,0.47435897435897434,16,23,18,21,-308726376.22843826,0.8885904951041629,abnormal,4534548.768844622,616187.4932054332,0.5641025641025641,0.5,False,78,1.0,True
no_news,mlp_small_relu,neural_sklearn,sklearn,official_tabular_package,tabular_flat,12,1,reg,log_loss_mlp,squared_error_mlp,72,39,33,0.39937839937839936,0.44113226194129784,0.4627039627039627,0.4583333333333333,16,23,16,17,-0.3850013738829663,0.8495432884599309,abnormal,268.04404273924206,184.82356050604326,0.5555555555555556,0.4583333333333333,False,72,1.0,True
no_news,sgd_log_loss,linear,sklearn,official_tabular_package,tabular_flat,9,1,reg,log_loss,squared_error,75,39,36,0.46474358974358976,0.4638235294117647,0.4551282051282051,0.4533333333333333,16,23,18,18,-4.612013216370903e+22,0.8694828593903242,abnormal,51494014556450.15,6782344283849.258,0.5466666666666666,0.48,False,75,1.0,True
no_news,sgd_log_loss,linear,sklearn,official_tabular_package,tabular_flat,12,1,reg,log_loss,squared_error,72,39,33,0.5163170163170163,0.46670653907496007,0.4347319347319347,0.4305555555555556,15,24,17,16,-6.257335505343265e+23,0.8495432884599309,abnormal,180167220331026.7,80624811418863.9,0.5555555555555556,0.4583333333333333,False,72,1.0,True
no_news,aeon_deep_inceptiontime,tsc_deep_learning,aeon,official_aeon,aeon_collection,6,2,cls,deep_categorical_crossentropy,deep_mean_squared_error,76,32,44,0.4950284090909091,0.6148440434766369,0.5539772727272727,0.5526315789473685,18,14,20,24,-0.27599335378241485,0.7550604746033104,abnormal,275.5686616962747,190.71410364281203,0.5,0.5789473684210527,False,76,1.0,True
no_news,nearest_centroid,neighbors,sklearn,official_tabular_package,tabular_flat,9,2,cls,centroid_distance,ridge_l2,73,32,41,0.5419207317073171,0.6012673952041248,0.546875,0.6027397260273972,3,29,0,41,-0.3132712703231073,0.7285329057925135,abnormal,265.708089345617,218.8987394512833,0.958904109589041,0.5616438356164384,False,73,1.0,True
no_news,nearest_centroid,neighbors,sklearn,official_tabular_package,tabular_flat,6,2,cls,centroid_distance,ridge_l2,76,32,44,0.5696022727272727,0.633398243909335,0.5326704545454546,0.5921052631578947,5,27,4,40,-0.5101903795370182,0.7550604746033104,abnormal,299.7929879143927,240.87666872897074,0.881578947368421,0.5789473684210527,False,76,1.0,True
no_news,aeon_deep_inceptiontime,tsc_deep_learning,aeon,official_aeon,aeon_collection,9,2,cls,deep_categorical_crossentropy,deep_mean_squared_error,73,32,41,0.46189024390243905,0.5787527760811286,0.5323932926829269,0.547945205479452,13,19,14,27,-0.17069929662105499,0.7285329057925135,abnormal,250.87086855567873,195.31751802472294,0.6301369863013698,0.5616438356164384,False,73,1.0,True
no_news,keras_tcn_filters8_k2_d1,deep_sequence,keras-tcn,official_keras_layers,keras_sequence,6,2,cls,binary_crossentropy,mean_squared_error,76,32,44,0.36363636363636365,0.5015307232121451,0.5255681818181819,0.5394736842105263,14,18,17,27,-0.20187843815114803,0.7550604746033104,abnormal,267.4458682479886,191.3903910359105,0.5921052631578947,0.5789473684210527,False,76,1.0,True
no_news,aeon_deep_mlp,tsc_deep_learning,aeon,official_aeon,aeon_collection,12,2,cls,deep_categorical_crossentropy,deep_mean_squared_error,70,32,38,0.5172697368421053,0.5862054694639562,0.515625,0.5142857142857142,17,15,19,19,-0.43381798883252953,0.7304428442540063,abnormal,272.2603608701568,200.85024644244018,0.4857142857142857,0.5428571428571428,False,70,1.0,True
no_news,nearest_centroid,neighbors,sklearn,official_tabular_package,tabular_flat,12,2,cls,centroid_distance,ridge_l2,70,32,38,0.5135690789473685,0.5593696822610412,0.515625,0.5571428571428572,1,31,0,38,-0.5558307305270667,0.7304428442540063,abnormal,283.6080645618521,232.60857029468474,0.9857142857142858,0.5428571428571428,False,70,1.0,True
no_news,gaussian_nb,bayes,sklearn,official_tabular_package,tabular_flat,6,2,cls,gaussian_nb,bayesian_ridge,76,32,44,0.49325284090909094,0.5646278054174556,0.5127840909090908,0.5789473684210527,3,29,3,41,-0.10793405269523393,0.7550604746033104,abnormal,256.780816988413,192.09094638745077,0.9210526315789473,0.5789473684210527,False,76,1.0,True
no_news,aeon_deep_mlp,tsc_deep_learning,aeon,official_aeon,aeon_collection,6,2,cls,deep_categorical_crossentropy,deep_mean_squared_error,76,32,44,0.6122159090909092,0.742432670904055,0.49573863636363635,0.5,15,17,21,23,-0.5604039708828481,0.7550604746033104,abnormal,304.7362678223629,211.73844090953926,0.5263157894736842,0.5789473684210527,False,76,1.0,True
no_news,gaussian_nb,bayes,sklearn,official_tabular_package,tabular_flat,9,2,cls,gaussian_nb,bayesian_ridge,73,32,41,0.4161585365853659,0.5178865836807939,0.49123475609756095,0.547945205479452,1,31,2,39,-0.328230688108337,0.7285329057925135,abnormal,267.2171389671634,220.1812390807636,0.958904109589041,0.5616438356164384,False,73,1.0,True
no_news,lda_shrinkage,discriminant,sklearn,official_tabular_package,tabular_flat,9,2,cls,lda_shrinkage,ridge_l2,73,32,41,0.4192073170731707,0.5190397477242461,0.4874237804878049,0.5205479452054794,7,25,10,31,-0.3132712703231073,0.7285329057925135,abnormal,265.708089345617,218.8987394512833,0.7671232876712328,0.5616438356164384,False,73,1.0,True
no_news,sgd_log_loss,linear,sklearn,official_tabular_package,tabular_flat,12,2,cls,log_loss,squared_error,70,32,38,0.4514802631578947,0.5224486041831138,0.48355263157894735,0.5142857142857142,4,28,6,32,-6.442321722731737e+23,0.7304428442540063,abnormal,182498209549424.53,81581927489116.89,0.8571428571428571,0.5428571428571428,False,70,1.0,True
no_news,sgd_modified_huber,linear,sklearn,official_tabular_package,tabular_flat,12,2,cls,modified_huber,huber,70,32,38,0.4909539473684211,0.5384154831523252,0.4761513157894737,0.5142857142857142,1,31,3,35,-0.3498145425210273,0.7304428442540063,abnormal,264.1645004302904,216.92784637165687,0.9428571428571428,0.5428571428571428,False,70,1.0,True
no_news,gaussian_nb,bayes,sklearn,official_tabular_package,tabular_flat,12,2,cls,gaussian_nb,bayesian_ridge,70,32,38,0.4564144736842105,0.5193689299217826,0.4761513157894737,0.5142857142857142,1,31,3,35,-0.5616771005427825,0.7304428442540063,abnormal,284.140424196435,233.09199820735964,0.9428571428571428,0.5428571428571428,False,70,1.0,True
no_news,logistic_l1_liblinear,linear,sklearn,official_tabular_package,tabular_flat,6,2,cls,log_loss_l1,lasso_l1,76,32,44,0.3977272727272727,0.5091254146589637,0.4659090909090909,0.5,8,24,14,30,-0.14024564713871746,0.7550604746033104,abnormal,260.4982633925882,205.58523262227018,0.7105263157894737,0.5789473684210527,False,76,1.0,True
no_news,lda_shrinkage,discriminant,sklearn,official_tabular_package,tabular_flat,6,2,cls,lda_shrinkage,ridge_l2,76,32,44,0.42116477272727276,0.544120883465889,0.4616477272727273,0.5,7,25,13,31,-0.5101903795370182,0.7550604746033104,abnormal,299.7929879143927,240.87666872897074,0.7368421052631579,0.5789473684210527,False,76,1.0,True
no_news,aeon_deep_mlp,tsc_deep_learning,aeon,official_aeon,aeon_collection,9,2,cls,deep_categorical_crossentropy,deep_mean_squared_error,73,32,41,0.5419207317073171,0.6437707392813057,0.45922256097560976,0.4657534246575342,13,19,20,21,-0.5536309804090371,0.7285329057925135,abnormal,289.0024277803079,197.87003608765585,0.547945205479452,0.5616438356164384,False,73,1.0,True
no_news,perceptron,linear,sklearn,official_tabular_package,tabular_flat,6,2,cls,perceptron,pa,76,32,44,0.484375,0.5741626794258373,0.45738636363636365,0.5,6,26,12,32,-0.3498776859492041,0.7550604746033104,abnormal,283.43457707293277,228.77641017723477,0.7631578947368421,0.5789473684210527,False,76,1.0,True
no_news,keras_tcn_filters8_k2_d1,deep_sequence,keras-tcn,official_keras_layers,keras_sequence,12,2,cls,binary_crossentropy,mean_squared_error,70,32,38,0.4588815789473684,0.5145407145078318,0.453125,0.45714285714285713,13,19,19,19,-0.7745583023822573,0.7304428442540063,abnormal,302.8883292810424,205.49141998325712,0.5428571428571428,0.5428571428571428,False,70,1.0,True
no_news,lda_shrinkage,discriminant,sklearn,official_tabular_package,tabular_flat,12,2,cls,lda_shrinkage,ridge_l2,70,32,38,0.42516447368421056,0.5113074895029782,0.45230263157894735,0.4857142857142857,2,30,6,32,-0.5558307305270667,0.7304428442540063,abnormal,283.6080645618521,232.60857029468474,0.8857142857142857,0.5428571428571428,False,70,1.0,True
no_news,sgd_log_loss,linear,sklearn,official_tabular_package,tabular_flat,6,2,cls,log_loss,squared_error,76,32,44,0.45419034090909083,0.5566651429954896,0.44886363636363635,0.5,4,28,10,34,-246400.85800466387,0.7550604746033104,abnormal,121095.38995957388,24903.55531453372,0.8157894736842105,0.5789473684210527,False,76,1.0,True
no_news,keras_tcn_filters16_k2_d1,deep_sequence,keras-tcn,official_keras_layers,keras_sequence,12,2,cls,binary_crossentropy,mean_squared_error,70,32,38,0.4440789473684211,0.49913581038234367,0.4375,0.44285714285714284,12,20,19,19,-1.0359207297692596,0.7304428442540063,abnormal,324.42763123599946,202.2737650476228,0.5571428571428572,0.5428571428571428,False,70,1.0,True
no_news,mlp_small_relu,neural_sklearn,sklearn,official_tabular_package,tabular_flat,6,2,cls,log_loss_mlp,squared_error_mlp,76,32,44,0.41761363636363635,0.5485410842760587,0.4375,0.4473684210526316,12,20,22,22,-0.20531245218459215,0.7550604746033104,abnormal,267.8276696629678,207.438758185312,0.5526315789473685,0.5789473684210527,False,76,1.0,True
no_news,logistic_l1_liblinear,linear,sklearn,official_tabular_package,tabular_flat,12,2,cls,log_loss_l1,lasso_l1,70,32,38,0.4876644736842105,0.5689889403842064,0.43585526315789475,0.45714285714285713,6,26,12,26,-0.1278299206304605,0.7304428442540063,abnormal,241.46779116878773,186.63599043214356,0.7428571428571429,0.5428571428571428,False,70,1.0,True
no_news,aeon_deep_inceptiontime,tsc_deep_learning,aeon,official_aeon,aeon_collection,12,2,cls,deep_categorical_crossentropy,deep_mean_squared_error,70,32,38,0.5550986842105263,0.6854802546877113,0.4276315789473684,0.44285714285714284,8,24,15,23,-1.898831590581859,0.7304428442540063,abnormal,387.12293002667144,256.7627855414223,0.6714285714285714,0.5428571428571428,False,70,1.0,True
no_news,perceptron,linear,sklearn,official_tabular_package,tabular_flat,12,2,cls,perceptron,pa,70,32,38,0.36184210526315785,0.4812239027262884,0.42598684210526316,0.45714285714285713,2,30,8,30,-0.30177982044429075,0.7304428442540063,abnormal,259.42162234092206,211.42285160904385,0.8571428571428571,0.5428571428571428,False,70,1.0,True
no_news,logistic_l1_liblinear,linear,sklearn,official_tabular_package,tabular_flat,9,2,cls,log_loss_l1,lasso_l1,73,32,41,0.4153963414634147,0.5203224283419303,0.42301829268292684,0.4520547945205479,6,26,14,27,-0.01542371288255695,0.7285329057925135,likely_abnormal,233.64215605819632,186.88064165069247,0.726027397260274,0.5616438356164384,False,73,1.0,True
