模型,模型类型,特征,回看月,预测月,Head,测试月数,BA,AUC,AP,R2,R2状态
aeon_knn_euclidean,官方aeon短时序,含新闻PCA,6,2,回归头,76,0.662,0.531,0.629,0.706,ok
aeon_deep_timecnn,官方aeon短时序,含新闻PCA,12,2,分类头,70,0.647,0.494,0.570,0.686,ok
knn_5_distance,ML类官方包,含新闻PCA,6,2,回归头,76,0.642,0.534,0.632,0.706,ok
aeon_deep_timecnn,官方aeon短时序,不含新闻,12,2,分类头,70,0.629,0.490,0.560,0.688,ok
knn_3_uniform,ML类官方包,含新闻PCA,12,2,分类头,70,0.627,0.516,0.560,0.525,ok
aeon_rise,官方aeon短时序,不含新闻,6,2,分类头,76,0.625,0.521,0.633,0.720,ok
aeon_deep_timecnn,官方aeon短时序,不含新闻,9,2,回归头,73,0.611,0.610,0.712,0.715,ok
aeon_rise,官方aeon短时序,含新闻PCA,6,2,回归头,76,0.607,0.541,0.670,0.712,ok
logistic_l1_liblinear,ML类官方包,含新闻PCA,12,2,分类头,70,0.603,0.640,0.689,0.597,ok
aeon_knn_dtw,官方aeon短时序,不含新闻,9,2,回归头,73,0.602,0.530,0.639,0.591,ok
