month,first_trade_date,last_trade_date,n_obs,dce_corn_open_first,dce_corn_high_max,dce_corn_low_min,dce_corn_close_last,dce_corn_close_mean,dce_corn_close_std,dce_corn_settle_last,dce_corn_volume_sum,dce_corn_open_interest_last,dce_corn_ret_1m,dce_corn_month_range_pct,dce_corn_starch_open_first,dce_corn_starch_high_max,dce_corn_starch_low_min,dce_corn_starch_close_last,dce_corn_starch_close_mean,dce_corn_starch_close_std,dce_corn_starch_settle_last,dce_corn_starch_volume_sum,dce_corn_starch_open_interest_last,dce_corn_starch_ret_1m,dce_corn_starch_month_range_pct,cbot_corn_open_first,cbot_corn_high_max,cbot_corn_low_min,cbot_corn_close_last,cbot_corn_close_mean,cbot_corn_close_std,cbot_corn_ret_1m,cbot_corn_month_range_pct,cbot_wheat_open_first,cbot_wheat_high_max,cbot_wheat_low_min,cbot_wheat_close_last,cbot_wheat_close_mean,cbot_wheat_close_std,cbot_wheat_ret_1m,cbot_wheat_month_range_pct,dce_corn_close,dce_corn_ret_1m_compound,dce_corn_starch_ret_1m_compound,cs_c_spread_close_mean,cs_c_spread_close_last,domestic_corn_spot_price_cny_t_mean,domestic_corn_spot_price_cny_t_last,corn_basis_cny_t_mean,corn_basis_cny_t_last,corn_basis_rate_mean,corn_basis_rate_last,corn_100ppi_main_futures_price_cny_t_mean,corn_100ppi_main_futures_price_cny_t_last,cbot_corn_ret_1m_compound,cbot_wheat_ret_1m_compound,cbot_wheat_corn_ratio_mean,cbot_wheat_corn_ratio_last,hlj_precip_mm_sum,hlj_precip_mm_mean,jilin_precip_mm_sum,jilin_precip_mm_mean,inner_mongolia_precip_mm_sum,inner_mongolia_precip_mm_mean,ne_avg_precip_mm_sum,ne_avg_precip_mm_mean,hlj_t2m_c_mean,hlj_t2m_c_last,jilin_t2m_c_mean,jilin_t2m_c_last,inner_mongolia_t2m_c_mean,inner_mongolia_t2m_c_last,ne_avg_t2m_c_mean,ne_avg_t2m_c_last,is_harvest_season_ne_cn_flag,is_harvest_season_ne_cn_share,corn_100ppi_nearby_futures_price_cny_t_mean,corn_100ppi_nearby_futures_price_cny_t_last,corn_100ppi_nearby_basis_cny_t_mean,corn_100ppi_nearby_basis_cny_t_last,corn_100ppi_nearby_basis_rate_mean,corn_100ppi_nearby_basis_rate_last,dce_corn_close_ret_1m,dce_corn_close_ma3,dce_corn_close_ret_3m,dce_corn_close_vol_3m,dce_corn_close_ma6,dce_corn_close_ret_6m,dce_corn_close_vol_6m,dce_corn_close_ma12,dce_corn_close_ret_12m,dce_corn_close_vol_12m,dce_corn_close_next_month,dce_corn_close_next_month_ret,spike,pca_001,pca_002,pca_003,pca_004,pca_005,pca_006,pca_007,pca_008,pca_009,pca_010,pca_011,pca_012,pca_013,pca_014,pca_015,pca_016,pca_017,pca_018,pca_019,pca_020,pca_021,pca_022,pca_023,pca_024,pca_025,pca_026,pca_027,pca_028,pca_029,pca_030,pca_031,pca_032,dce_corn_close_next_month_direction
16-Jun,2016/6/29,2016/6/30,2,1568,1590,1554,1581,1573.5,10.606601717798211,1577.0,1752074,1495398,-0.085388994,0.0227703984819734,1999,2008,1970,1991,1983.0,11.31370849898476,1994.0,234874,247404,-0.109994977,0.0190858864892014,389.0,390.75,362.5,369.0,373.375,6.187184335382291,-0.096205962,0.0765582655826558,457.0,460.5,437.5,445.25,444.75,0.7071067811865476,-0.081414935,0.051656372824256,1581,0.0089342693984675,0.0010055303377214,409.5,410,1891.0,1890.67,317.5,309.67,0.1678994999999999,0.163788,1573.5,1581,-0.04579039,0.0022509848058525,1.1913409612256285,1.206639566395664,23.14,11.57,37.75,18.875,9.38,4.69,23.42333333333333,11.711666666666666,21.135,20.62,21.305,20.79,21.39,21.22,21.276666666666664,20.876666666666665,0,0,1880.5,1860,10.5,30.67,0.0055545,0.016222,-0.085388994,1492.3333333333333,-0.11827957,0.0441049895909272,1488.6666666666667,-0.039215686,0.0582933353579126,1543.0,0.0670461733080329,0.0461096316298671,1446.0,-0.08538899430740043,1.0,-0.31119314,0.003043382,-0.009078081,-0.097567715,-0.05666091,0.15025705,-0.10167521,0.012491171,-0.08045557,-0.08151358,0.08465382,0.002839918,-0.11342128,0.07721375,-0.04426815,-0.00691899,-0.049936958,0.028009437,0.087323956,-0.00449902,-0.06413399,0.104342066,0.023581302,-0.11204614,0.026118467,-0.012262188,-0.09053419,0.065577,0.028060503,0.09393792,0.020661918,0.019767553,0.0
16-Jul,2016/7/1,2016/7/29,21,1580,1594,1444,1446,1505.428571428571,32.75602452766736,1453.0,17461446,1922200,-0.085388994,0.1037344398340249,1990,2002,1766,1772,1876.0,58.55339443618956,1774.0,3248006,467712,-0.109994977,0.1331828442437923,367.25,373.0,326.75,333.5,345.6666666666667,10.496229481739295,-0.096205962,0.1386806596701649,444.75,451.75,403.5,409.0,425.1547619047619,8.733368547729796,-0.081414935,0.1179706601466992,1446,-0.085388995,-0.109994978,370.57142857142856,326,1872.0004761904763,1840.0,366.5719047619048,394.0,0.19589,0.21413,1505.428571428571,1446,-0.096205962,-0.081414935,1.2304433620458748,1.2263868065967016,47.57,2.2652380952380957,105.51,5.024285714285715,89.63999999999999,4.268571428571428,80.90666666666667,3.852698412698413,23.789523809523807,23.25,23.647142857142857,23.55,25.902857142857144,25.34,24.44650793650793,24.046666666666667,0,0,1731.571428571429,1655,140.42904761904762,185.0,0.0751716666666666,0.100543,-0.085388994,1492.3333333333333,-0.11827957,0.0441049895909272,1488.6666666666667,-0.039215686,0.0582933353579126,1543.0,0.0670461733080329,0.0461096316298671,1450.0,0.0027662517289073207,0.0,-0.25021657,0.18833618,0.061926216,-0.04639072,-0.05318729,-0.03148188,-0.14355251,0.16591369,0.031935513,-0.028402885,-0.030687945,0.08868733,-0.008300114,0.010856832,0.1504111,-0.10995224,0.110121466,0.001298868,0.026247157,-0.013344721,0.046684068,0.09237553,-0.012656121,-0.12127442,-0.020039907,0.052237578,-0.0315688,-0.07604707,0.03393105,0.011785436,0.002910239,-0.003205066,1.0
16-Aug,2016/8/1,2016/8/31,23,1450,1496,1438,1450,1460.2608695652175,11.86751636459927,1456.0,14071138,2034414,0.0027662517289073,0.04,1790,1885,1738,1739,1808.434782608696,31.18686507745992,1751.0,7030692,680672,-0.018623025,0.0845313398504887,332.25,344.25,312.0,315.25,328.45652173913044,8.859590391052722,-0.054722639,0.1022997620935765,407.5,449.25,386.75,391.0,418.19565217391306,16.05635609801443,-0.04400978,0.159846547314578,1450,0.0027662502995242,-0.018623024,348.17391304347825,289,1822.608695652174,1845.33,362.3478260869565,395.33,0.1987676086956521,0.214233,1460.2608695652175,1450,-0.05472264,-0.044009778,1.272968549658977,1.2402854877081682,34.58,1.5034782608695652,83.89,3.6473913043478254,71.89,3.125652173913044,63.45333333333333,2.758840579710145,23.64521739130435,18.81,23.06217391304348,16.68,24.09304347826087,14.08,23.60014492753623,16.52333333333333,0,0,1691.6521739130435,1797,130.95652173913044,48.33,0.07193,0.02619,0.0027662517289073,1492.3333333333333,-0.11827957,0.0441049895909272,1488.6666666666667,-0.039215686,0.0582933353579126,1543.0,0.0670461733080329,0.0461096316298671,1394.0,-0.0386206896551724,1.0,0.28079277,0.045769002,0.3280864,-0.0634074,-0.017122652,-0.04311128,-0.09855624,0.008838132,0.14108805,0.10981648,-0.06796777,-0.001098074,-0.136114,0.05678811,-0.019087886,0.039572578,-0.023674106,-0.096240856,0.10325752,0.115613386,-0.008927414,0.05322695,-0.07792288,-0.05973487,-0.059914984,-0.086106986,-0.013612016,-0.000594526,0.019778905,-0.09761841,0.087708525,0.051052026,0.0
16-Sep,2016/9/1,2016/9/30,20,1450,1473,1382,1394,1430.75,22.92522168864862,1392.0,15165936,1965638,-0.03862069,0.0652797704447632,1737,1762,1600,1643,1671.45,32.98400728901973,1636.0,10175048,859990,-0.05520414,0.0986001217285453,315.5,343.25,315.0,336.25,333.275,4.931037576306564,0.0666137985725614,0.0840148698884758,389.75,411.75,389.5,402.0,402.2125,3.716318034942935,0.0281329923273656,0.0553482587064676,1394,-0.038620688,-0.05520414,240.7,249,1791.3665,1698.67,360.6165,304.67,0.20086975,0.179358,1430.75,1394,0.0539254571088023,0.0268589747212166,1.206961338561248,1.195539033457249,95.47,4.7735,93.02,4.651000000000001,37.25,1.8625,75.24666666666667,3.762333333333333,15.7795,11.96,15.954,12.4,16.7875,14.74,16.173666666666666,13.033333333333331,1,1,1676.85,1450,114.5165,248.67,0.06578505,0.146391,-0.03862069,1430.0,-0.11827957,0.0441049895909272,1488.6666666666667,-0.039215686,0.0582933353579126,1543.0,0.0670461733080329,0.0461096316298671,1517.0,0.08823529411764697,1.0,-0.031209683,0.024498718,0.4054787,0.05825117,-0.17639954,-0.035889156,0.034574073,-0.03262359,-0.06724404,0.00355811,0.06700669,-0.001204158,-0.010354835,0.10581338,-0.042395785,0.04210127,0.084583804,0.056866318,0.1589554,-0.053845223,-0.081055276,-0.027132235,0.002602934,0.032499116,0.059813257,0.037223164,-0.045444943,-0.087405324,0.00012304,0.027948821,-0.042544812,-0.06056774,1.0
16-Oct,2016/10/10,2016/10/31,16,1400,1538,1399,1517,1470.0,34.642940598819386,1519.0,13432796,1698200,0.0882352941176469,0.091628213579433,1650,1823,1648,1770,1748.9375,38.12692618085019,1765.0,9972614,750790,0.0772976262933657,0.0988700564971751,339.5,359.25,336.5,354.5,351.203125,5.456814356075052,0.0542750929368029,0.0641748942172073,396.0,428.25,396.0,415.25,412.34375,7.552524412406755,0.032960199004975,0.0776640577965081,1517,0.0882352939216857,0.077297626720713,278.9375,253,1676.875625,1684.67,206.875625,167.67,0.12342275,0.099527,1470.0,1517,0.0434142755176643,0.0532656944698923,1.1741151876963627,1.1713681241184768,4.2,0.2625,4.5,0.28125,3.3,0.20625,4.0,0.25,1.19625,-7.84,3.22375,-5.76,4.0,-4.7,2.806666666645833,-6.1,1,1,1521.0,1766,155.875625,-81.33,0.093065563,-0.048277,0.0882352941176469,1453.6666666666667,0.0491009681881051,0.0646919324477522,1488.6666666666667,-0.039215686,0.0582933353579126,1543.0,0.0670461733080329,0.0461096316298671,1544.0,0.017798286090969118,0.0,0.089832395,0.10487232,0.22389609,-0.0813289,-0.20121168,-0.13799186,-0.110135935,-0.033635926,-0.12754175,0.070464134,-0.015532881,-0.002261716,0.011626412,-0.14931755,0.07680553,-0.21250753,-0.14451326,-0.06970679,-0.01264994,-0.08654075,-0.010809795,0.12787762,0.03972223,0.08503034,-0.059745815,0.07029392,-0.031158006,0.03019176,-0.011594695,-0.09060276,-0.052579932,-0.015361451,1.0
16-Nov,2016/11/1,2016/11/30,22,1515,1648,1489,1544,1551.1363636363635,33.19394014481659,1551.0,19602736,1774168,0.0177982860909691,0.1029792746113989,1770,1957,1749,1904,1853.7272727272727,48.06561172296707,1922.0,13785484,796270,0.0757062146892655,0.1092436974789916,354.25,362.5,335.5,348.5,349.6931818181818,6.725896921150356,-0.016925247,0.0774748923959827,416.0,429.75,392.5,402.75,413.5681818181818,9.133657607919256,-0.030102348,0.0924891371818746,1544,0.0177982865815311,0.0757062158669144,302.59090909090907,360,1690.4845454545457,1687.33,141.8481818181818,143.33,0.0839085,0.084945,1548.6363636363635,1544,-0.016925246,-0.030102349,1.1826590329941862,1.1556671449067433,15.06,0.6845454545454545,15.27,0.6940909090909091,7.77,0.3531818181818181,12.7,0.5772727272727273,-10.32272727,-5.23,-7.021363636,-3.62,-5.470454545,-2.1,-7.604848485,-3.65,1,1,1661.5454545454545,1602,28.939090909090908,85.33,0.0170661363636363,0.050571,0.0177982860909691,1485.0,0.0648275862068965,0.0635569476178172,1488.6666666666667,-0.039215686,0.0582933353579126,1543.0,0.0670461733080329,0.0461096316298671,1519.0,-0.016191709844559532,0.0,-0.2410214,0.075181894,0.012402159,-0.004791254,-0.10076425,-0.052463025,-0.04483742,-0.13034981,-0.123220064,-0.001748837,0.13983408,0.026995827,0.01686026,-0.2723339,-0.09355716,-0.16701181,0.08677321,-0.026487922,0.004194845,0.10724172,-0.08198089,0.07884733,-0.109531604,-0.06856595,-0.020871112,-0.05013902,0.06584649,0.08257318,0.029698709,0.03206068,0.015642405,-0.049053047,0.0
16-Dec,2016/12/1,2016/12/30,22,1544,1589,1482,1519,1532.9545454545455,23.67533832961292,1519.0,24041126,2004282,-0.01619171,0.0704410796576695,1910,1952,1768,1786,1847.4545454545453,45.563903082036965,1792.0,12358170,911814,-0.06197479,0.103023516237402,349.0,364.75,341.75,351.0,353.1931818181818,5.7528108130792965,0.007173601147776,0.0655270655270655,402.75,420.75,392.75,408.75,405.7386363636364,7.170324622693551,0.0148975791433891,0.0685015290519877,1519,-0.016191708,-0.061974789,314.5,267,1642.2136363636362,1594.67,109.2590909090909,75.67,0.0663701818181818,0.047452,1532.9545454545455,1519,0.007173602253313,0.0148975804865476,1.148790919281161,1.1645299145299146,2.4,0.109090909090909,10.05,0.4568181818181818,3.7,0.1681818181818181,5.383333333333333,0.2446969696969696,-17.48318182,-16.43,-12.635,-14.5,-11.49409091,-12.97,-13.87075758,-14.63333333,0,0,1561.6363636363635,1489,80.57727272727273,105.67,0.0490960909090909,0.066264,-0.01619171,1526.6666666666667,0.0896700143472022,0.0532630126197192,1478.3333333333333,-0.039215686,0.0582933353579126,1543.0,0.0670461733080329,0.0461096316298671,1560.0,0.02699144173798551,1.0,0.18995349,-0.10526013,0.39645568,0.011017999,-0.16697885,0.15742925,0.1295238,-0.04617759,-0.10606623,-0.11733384,0.007158941,0.056597438,0.004934905,0.11049135,0.030652713,-0.060988568,-0.083345845,0.06914172,-0.046803445,0.008848465,-0.04015014,0.06606394,0.04092779,0.08614699,-0.028521463,0.06347415,-0.04243809,0.061747428,0.046449605,-0.10877443,0.10382537,0.034150455,1.0
17-Jan,2017/1/2,2017/1/26,19,1516,1582,1498,1560,1533.4736842105262,23.779936503635906,1559.0,21146528,2411400,0.0269914417379855,0.0538461538461538,1794,1850,1743,1801,1800.3333333333333,24.27053405941885,1804.0,9008124,1076382,0.0083986562150055,0.05941143808995,351.0,371.0,351.0,363.75,361.328947368421,4.924466011363678,0.0363247863247864,0.0549828178694158,408.75,437.5,404.75,427.0,424.2105263157895,6.959836742724631,0.0446483180428134,0.0766978922716627,1560,0.0269914417607639,0.0083986545483687,265.8888888888889,241,1565.3327777777777,1559.33,30.888333333333332,-0.67,0.0196588333333333,-0.00043,1534.4444444444443,1560,0.036324786801307,0.0446483189561517,1.174056825710016,1.1738831615120275,2.97,0.1563157894736841,3.81,0.2005263157894737,1.02,0.0536842105263157,2.599999999999999,0.1368421052631578,-18.52736842,-10.2,-15.28052632,-8.03,-13.23526316,-7.34,-15.68105263,-8.523333333,0,0,1501.5,1495,63.83277777777778,64.33,0.0407538333333333,0.041255,0.0269914417379855,1541.0,0.028345418589321,0.0227472288240735,1497.3333333333333,0.0788381742738588,0.0435872358644788,1543.0,0.0670461733080329,0.0461096316298671,1603.0,0.027564102564102466,1.0,0.293151,-0.21560583,0.33387432,-0.072269075,-0.055922396,0.08572544,0.1408729,-0.04452799,0.13023454,-0.08369592,-0.10310452,-0.016199037,-0.083023205,-0.0251564,0.113034874,0.03904939,0.059417658,0.054271426,0.06304805,0.06409322,-0.09847319,-0.029657891,-0.019755881,-0.050857622,-0.032869365,0.06408844,-0.03010695,0.034610398,-0.025387868,0.022801504,-0.015407098,-0.000507787,1.0
17-Feb,2017/2/3,2017/2/28,18,1558,1632,1553,1603,1588.7777777777778,14.436699784008614,1605.0,31357860,2487278,0.0275641025641024,0.0492825951341235,1801,1932,1787,1919,1845.8333333333333,33.78870329841384,1915.0,9815728,917616,0.0655191560244308,0.0755601875977071,366.75,387.25,362.5,373.0,372.77777777777777,4.6438517931911,0.0254295532646047,0.0663538873994638,434.25,477.0,419.75,444.25,445.8888888888889,10.997734466638692,0.0403981264637003,0.1288688801350591,1603,0.0275641030956141,0.0655191561434165,257.05555555555554,316,1542.4427777777778,1527.33,-46.335,-75.67,-0.030101222,-0.049544,1588.7777777777778,1603,0.0170415814476034,0.0230282086660047,1.1959841454000288,1.191018766756032,4.840000000000001,0.2688888888888889,7.8,0.4333333333333333,3.88,0.2155555555555555,5.506666666666666,0.3059259259259259,-11.97388889,-4.26,-9.942222222,-0.35,-6.981666667,-0.3,-9.632592592,-1.636666667,0,0,1509.9444444444443,1501,32.498333333333335,26.33,0.0210392777777777,0.017239,0.0275641025641024,1560.6666666666667,0.0382124352331605,0.0250987504355789,1522.8333333333333,0.1055172413793104,0.0435419498978172,1543.0,0.0670461733080329,0.0461096316298671,1672.0,0.04304429195258885,1.0,-0.32489544,0.09338348,-0.09819547,-0.058127206,-0.12428399,0.12972797,0.14864707,0.0718906,0.080811925,-0.05739609,0.00048861,-0.06960213,0.14044046,-0.031036252,0.130027,-0.008320919,-0.024200018,0.0869489,0.08742133,0.003640218,0.074238405,-0.039900895,0.042137258,-0.00899469,-0.06981937,-0.04202013,0.0589671,0.062414303,-0.08552257,-0.070133634,-0.036998782,0.026978754,1.0
17-Mar,2017/3/1,2017/3/31,23,1608,1722,1593,1672,1666.0,31.09662361093266,1672.0,32433774,2272606,0.0430442919525888,0.0771531100478468,1926,2143,1861,2056,1966.3478260869565,95.60886640876132,2054.0,10232112,760996,0.0713913496612819,0.1371595330739299,373.0,383.0,354.25,364.75,365.64130434782606,8.455708832363324,-0.022117962,0.0788211103495545,444.25,462.5,416.5,427.0,435.6521739130435,13.21989270913754,-0.038829488,0.1077283372365339,1672,0.0430442933142234,0.0713913514441944,300.3478260869565,384,1548.1156521739133,1582.67,-121.0147826,-89.33,-0.078181,-0.056443,1669.1304347826087,1672,-0.022117963,-0.038829487,1.1913210785749893,1.1706648389307746,1.84,0.08,0.65,0.0282608695652173,0.08,0.0034782608695652,0.8566666666666662,0.0372463768115941,-2.276956522,3.3,-0.555217391,4.62,0.3308695652173913,4.28,-0.833768116,4.066666666666666,0,0,1580.4347826086955,1616,-32.31913043,-33.33,-0.020775261,-0.021059,0.0430442919525888,1611.6666666666667,0.1007241606319946,0.0091073066265285,1569.1666666666667,0.1994261119081779,0.0342047192662921,1543.0,0.0670461733080329,0.0461096316298671,1622.0,-0.029904306220095656,1.0,0.19305544,-0.1156224,0.32724378,0.003078878,0.015653709,-0.030549027,-0.08742354,-0.11965369,0.12734847,-0.072124824,-0.057610147,-0.029861355,0.08932125,0.057160374,0.04391028,-0.07423832,0.10543438,0.19963114,-0.12376291,0.027562624,-0.12707886,-0.1150047,-0.05617303,0.06312316,-0.045682717,-0.13020164,-0.036209065,0.054674257,0.008068392,-0.047798544,0.016767666,-0.058625005,0.0
