date,open,high,low,close,volume,hold,settle,contract
2019-06-19,3364.0,3364.0,3200.0,3200.0,4,4,3282.0,B2006
2019-06-20,3225.0,3225.0,3151.0,3151.0,6,4,3179.0,B2006
2019-06-21,3246.0,3246.0,3124.0,3200.0,24,6,3189.0,B2006
2019-07-05,3050.0,3050.0,3050.0,3050.0,2,4,3050.0,B2006
2019-08-07,3097.0,3164.0,3097.0,3164.0,4,4,3130.0,B2006
2019-08-08,3209.0,3209.0,3209.0,3209.0,2,6,3209.0,B2006
2019-08-19,3072.0,3150.0,3072.0,3150.0,4,4,3111.0,B2006
2019-08-20,3147.0,3147.0,3147.0,3147.0,2,2,3147.0,B2006
2019-10-15,3300.0,3300.0,3200.0,3200.0,4,2,3250.0,B2006
2019-10-31,3174.0,3289.0,3174.0,3289.0,8,8,3260.0,B2006
2019-11-01,3298.0,3298.0,3240.0,3289.0,16,4,3263.0,B2006
2019-11-05,3286.0,3286.0,3286.0,3286.0,2,4,3286.0,B2006
2019-11-12,3249.0,3249.0,3249.0,3249.0,2,4,3249.0,B2006
2019-12-26,3211.0,3211.0,3211.0,3211.0,2,2,3211.0,B2006
2019-12-31,3360.0,3360.0,3360.0,3360.0,2,4,3360.0,B2006
2020-01-03,3200.0,3250.0,3200.0,3250.0,2,1,3225.0,B2006
2020-01-09,3200.0,3200.0,3200.0,3200.0,1,0,3200.0,B2006
2020-01-21,3076.0,3166.0,3076.0,3166.0,10,3,3121.0,B2006
2020-01-22,3165.0,3165.0,3022.0,3150.0,3,4,3112.0,B2006
2020-02-03,3111.0,3111.0,2963.0,2963.0,200,93,3009.0,B2006
2020-02-04,3030.0,3070.0,3030.0,3070.0,532,207,3044.0,B2006
2020-02-05,3041.0,3143.0,3041.0,3066.0,4039,1006,0.0,B2006
2020-02-06,3148.0,3149.0,3081.0,3106.0,860,1318,0.0,B2006
2020-02-07,3102.0,3102.0,3077.0,3097.0,435,1422,0.0,B2006
2020-02-10,3103.0,3130.0,3101.0,3113.0,1516,1577,0.0,B2006
2020-02-11,3113.0,3114.0,3098.0,3103.0,1211,2020,3102.0,B2006
2020-02-12,3049.0,3109.0,3049.0,3085.0,1174,2547,3092.0,B2006
2020-02-13,3100.0,3110.0,3089.0,3095.0,2155,3994,0.0,B2006
2020-02-14,3087.0,3091.0,3075.0,3080.0,827,4222,3083.0,B2006
2020-02-17,3177.0,3177.0,3062.0,3106.0,1004,4439,3097.0,B2006
2020-02-18,3094.0,3103.0,3065.0,3068.0,3023,6082,0.0,B2006
2020-02-19,3069.0,3085.0,3069.0,3078.0,2941,6831,0.0,B2006
2020-02-20,3078.0,3093.0,3073.0,3092.0,3850,8254,0.0,B2006
