date,open,high,low,close,volume,hold,settle,contract
2018-12-18,2721.0,2800.0,2703.0,2715.0,10,2,2741.0,M1912
2018-12-19,2745.0,2800.0,2703.0,2745.0,10,2,2745.0,M1912
2018-12-20,2745.0,2765.0,2741.0,2750.0,6,4,2750.0,M1912
2018-12-21,2713.0,2745.0,2713.0,2742.0,34,12,2729.0,M1912
2018-12-24,2763.0,2763.0,2695.0,2695.0,10,18,2722.0,M1912
2018-12-25,2679.0,2763.0,2679.0,2682.0,16,16,2690.0,M1912
2018-12-26,2712.0,2727.0,2701.0,2704.0,20,22,2711.0,M1912
2018-12-27,2710.0,2710.0,2687.0,2700.0,30,26,2698.0,M1912
2018-12-28,2675.0,2700.0,2675.0,2700.0,8,24,2690.0,M1912
2019-01-03,2703.0,2703.0,2703.0,2703.0,2,22,2703.0,M1912
2019-01-04,2707.0,2707.0,2703.0,2707.0,2,22,2707.0,M1912
2019-01-07,2733.0,2758.0,2728.0,2750.0,10,26,2740.0,M1912
2019-01-08,2752.0,2752.0,2735.0,2736.0,24,42,2745.0,M1912
2019-01-09,2730.0,2733.0,2730.0,2733.0,16,46,2732.0,M1912
2019-01-10,2733.0,2734.0,2705.0,2732.0,8,46,2726.0,M1912
2019-01-11,2708.0,2712.0,2698.0,2698.0,14,52,2704.0,M1912
2019-01-14,2685.0,2685.0,2606.0,2637.0,60,76,2654.0,M1912
2019-01-15,2673.0,2673.0,2631.0,2631.0,10,78,2643.0,M1912
2019-01-16,2641.0,2641.0,2605.0,2605.0,96,136,2616.0,M1912
2019-01-17,2615.0,2624.0,2615.0,2624.0,16,142,2621.0,M1912
2019-01-18,2615.0,2624.0,2615.0,2625.0,0,142,2625.0,M1912
2019-01-21,2662.0,2684.0,2650.0,2658.0,26,134,2659.0,M1912
2019-01-22,2662.0,2684.0,2650.0,2659.0,0,134,2659.0,M1912
2019-01-23,2658.0,2684.0,2635.0,2646.0,26,134,2646.0,M1912
2019-01-24,2661.0,2676.0,2661.0,2676.0,18,130,2667.0,M1912
